MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
BTC,08/27/2009,0.0,0.0,0.0,0.0,0,23.10,20.90,0.0,0.00,0.00,0,0,0
BTC,08/26/2009,0.0,0.0,0.0,0.0,0,23.10,20.90,0.0,0.00,0.00,0,0,0
BTC,08/25/2009,0.0,0.0,0.0,0.0,0,23.10,20.90,0.0,0.00,0.00,0,0,0
BTC,08/24/2009,0.0,0.0,0.0,0.0,0,23.10,20.90,0.0,0.00,0.00,0,0,0
BTC,08/21/2009,0.0,0.0,0.0,21.4,0,23.10,20.90,21.4,0.00,0.00,0,0,0
BTC,08/05/2009,0.0,0.0,0.0,32.0,0,35.20,28.80,32.0,0.00,0.00,0,0,0
BTC,08/04/2009,0.0,0.0,0.0,32.0,0,35.20,28.80,32.0,0.00,0.00,0,0,0
BTC,06/29/2009,0.0,0.0,0.0,0.0,0,0.00,0.00,0.0,0.00,0.00,0,0,0
BTC,06/26/2009,0.0,33.4,33.4,33.4,1180,33.40,30.40,31.9,1.50,4.70,0,1180,0
BTC,06/25/2009,0.0,31.9,31.9,31.9,4000,35.10,31.90,33.5,-1.60,-4.78,0,3000,0
BTC,06/24/2009,0.0,33.5,33.5,33.5,2320,35.10,31.90,33.5,0.00,0.00,0,2320,0
BTC,06/23/2009,0.0,33.5,33.5,33.5,1000,36.90,33.50,35.2,-1.70,-4.83,0,0,20
BTC,06/22/2009,0.0,0.0,0.0,35.2,0,36.90,33.50,35.2,0.00,0.00,0,0,0
BTC,06/19/2009,35.2,35.2,35.2,35.2,100,36.90,33.50,35.2,0.00,0.00,0,100,0
BTC,06/18/2009,0.0,35.2,35.2,35.2,860,35.20,32.00,33.6,1.60,4.76,0,0,0
BTC,06/17/2009,0.0,0.0,0.0,33.6,0,35.20,32.00,33.6,0.00,0.00,0,0,0
BTC,06/16/2009,0.0,0.0,0.0,33.6,0,35.20,32.00,33.6,0.00,0.00,0,0,0
BTC,06/15/2009,0.0,33.6,33.6,33.6,200,35.20,32.00,33.6,0.00,0.00,0,200,0
BTC,06/12/2009,33.6,33.6,33.6,33.6,350,35.20,32.00,32.0,1.60,5.00,0,350,0
BTC,06/11/2009,0.0,0.0,0.0,32.0,690,32.00,29.00,30.5,1.50,4.92,0,0,0
BTC,06/10/2009,0.0,0.0,0.0,30.5,550,30.50,27.70,29.1,1.40,4.81,0,550,0
BTC,06/09/2009,0.0,0.0,0.0,29.1,450,29.10,26.50,27.8,1.30,4.68,0,210,190
BTC,06/08/2009,0.0,27.8,27.8,27.8,20,27.80,25.20,26.5,1.30,4.91,0,0,0
BTC,06/05/2009,0.0,26.5,26.5,26.5,3430,29.10,26.50,27.8,-1.30,-4.68,0,3420,0
BTC,06/04/2009,0.0,27.8,27.8,27.8,20,27.80,25.20,26.5,1.30,4.91,0,0,0
BTC,06/03/2009,0.0,26.5,26.5,26.5,1100,26.50,24.10,25.3,1.20,4.74,0,0,0
BTC,06/02/2009,0.0,25.3,25.3,25.3,850,25.30,22.90,24.1,1.20,4.98,0,0,0
BTC,06/01/2009,0.0,24.1,24.1,24.1,10,24.10,21.90,23.0,1.10,4.78,0,10,0
BTC,05/29/2009,23.0,23.0,23.0,23.0,7400,24.10,21.90,23.0,0.00,0.00,0,0,890
BTC,05/28/2009,23.0,23.0,23.0,23.0,600,24.30,22.10,23.2,-0.20,-0.86,0,600,0
BTC,05/27/2009,23.2,23.2,23.2,23.2,1950,23.20,21.00,22.1,1.10,4.98,0,1950,0
BTC,05/26/2009,0.0,22.1,22.1,22.1,9650,22.10,20.10,21.1,1.00,4.74,0,5000,0
BTC,05/25/2009,21.1,21.1,21.1,21.1,1200,21.10,19.10,20.1,1.00,4.98,0,900,0
BTC,05/22/2009,20.1,20.1,20.1,20.1,100,20.10,18.30,19.2,0.90,4.69,0,0,0
BTC,05/21/2009,19.2,19.2,19.2,19.2,620,19.20,17.40,18.3,0.90,4.92,0,0,0
BTC,05/20/2009,18.3,18.3,18.3,18.3,5980,18.30,16.70,17.5,0.80,4.57,0,5980,10
BTC,05/19/2009,17.5,17.5,17.5,17.5,7910,19.20,17.40,18.3,-0.80,-4.37,0,0,2400
BTC,05/18/2009,18.3,18.3,18.3,18.3,5630,20.10,18.30,19.2,-0.90,-4.69,0,0,2500
BTC,05/15/2009,19.2,19.2,19.2,19.2,900,21.20,19.20,20.2,-1.00,-4.95,0,0,900
BTC,05/14/2009,20.2,20.2,20.2,20.2,10,22.20,20.20,21.2,-1.00,-4.72,0,10,0
BTC,05/13/2009,21.2,21.2,21.2,21.2,1250,23.40,21.20,22.3,-1.10,-4.93,0,0,0
BTC,05/12/2009,20.3,22.3,20.3,22.3,5100,22.30,20.30,21.3,1.00,4.69,0,3000,0
BTC,05/11/2009,21.3,22.5,21.3,21.3,2950,23.50,21.30,22.4,-1.10,-4.91,0,1570,0
BTC,05/08/2009,20.8,22.4,20.8,22.4,1950,22.80,20.80,21.8,0.60,2.75,0,0,0
BTC,05/07/2009,20.5,21.8,20.5,21.8,3660,21.90,19.90,20.9,0.90,4.31,0,1590,0
BTC,05/06/2009,22.8,22.8,20.9,20.9,310,23.10,20.90,22.0,-1.10,-5.00,0,0,0
BTC,05/05/2009,22.1,22.4,21.4,22.0,3230,22.40,20.40,21.4,0.60,2.80,0,0,0
BTC,05/04/2009,21.4,21.4,21.4,21.4,50,21.50,19.50,20.5,0.90,4.39,0,0,0
BTC,04/29/2009,0.0,20.5,20.5,20.5,40,20.70,18.90,19.8,0.70,3.54,0,0,0
BTC,04/28/2009,19.8,19.8,19.8,19.8,50,19.80,18.00,18.9,0.90,4.76,0,0,0
BTC,04/27/2009,17.1,18.9,17.1,18.9,20,19.80,18.00,18.0,0.90,5.00,0,0,0
BTC,04/24/2009,18.0,18.0,18.0,18.0,1010,19.80,18.00,18.9,-0.90,-4.76,0,170,0
BTC,04/23/2009,19.7,19.7,18.9,18.9,110,19.70,17.90,18.8,0.10,0.53,0,0,0
BTC,04/22/2009,18.8,20.5,18.8,18.8,4020,20.50,18.70,19.6,-0.80,-4.08,0,0,1890
BTC,04/21/2009,19.6,21.4,19.6,19.6,2590,21.60,19.60,20.6,-1.00,-4.85,0,2400,0
BTC,04/20/2009,19.0,20.6,19.0,20.6,110,20.70,18.90,19.8,0.80,4.04,0,0,0
BTC,04/17/2009,21.8,21.8,19.8,19.8,2800,21.80,19.80,20.8,-1.00,-4.81,0,1000,0
BTC,04/16/2009,20.9,20.9,20.7,20.8,4330,21.00,19.00,20.0,0.80,4.00,0,0,0
BTC,04/15/2009,20.0,21.0,20.0,20.0,460,22.00,20.00,21.0,-1.00,-4.76,0,0,0
BTC,04/14/2009,21.0,21.0,20.0,21.0,1410,22.00,20.00,21.0,0.00,0.00,0,0,0
BTC,04/13/2009,20.5,21.0,20.5,21.0,910,21.00,19.00,20.0,1.00,5.00,0,0,680
BTC,04/10/2009,20.3,20.9,20.0,20.0,4870,21.90,19.90,20.9,-0.90,-4.31,0,0,0
BTC,04/09/2009,20.9,21.9,20.9,20.9,650,23.10,20.90,22.0,-1.10,-5.00,0,530,0
BTC,04/08/2009,20.4,22.0,20.4,22.0,1510,22.40,20.40,21.4,0.60,2.80,0,0,0
BTC,04/07/2009,21.2,21.4,19.5,21.4,1470,21.40,19.40,20.4,1.00,4.90,0,0,0
BTC,04/03/2009,20.6,20.6,19.7,20.4,750,20.60,18.80,19.7,0.70,3.55,0,0,0
BTC,04/02/2009,19.0,19.8,18.1,19.7,580,19.90,18.10,19.0,0.70,3.68,0,0,0
BTC,04/01/2009,19.1,19.1,19.0,19.0,2190,21.00,19.00,20.0,-1.00,-5.00,0,0,0
BTC,03/31/2009,18.8,20.0,18.8,20.0,130,20.60,18.80,19.7,0.30,1.52,0,0,0
BTC,03/30/2009,19.7,19.7,19.7,19.7,100,19.90,18.10,19.0,0.70,3.68,0,0,0
BTC,03/27/2009,19.3,19.4,19.0,19.0,610,19.40,17.60,18.5,0.50,2.70,0,0,0
BTC,03/26/2009,18.1,19.0,18.0,18.5,2590,19.30,17.50,18.4,0.10,0.54,0,680,0
BTC,03/25/2009,18.5,18.5,18.4,18.4,130,19.40,17.60,18.5,-0.10,-0.54,0,0,0
