MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
CKV,08/06/2010,18.5,18.5,17.8,17.9,14800,19.20,16.80,18.0,-0.10,-0.56,0,0,0
CKV,08/05/2010,18.2,18.2,17.9,18.0,25000,19.20,16.80,18.0,0.00,0.00,0,0,0
CKV,08/04/2010,17.6,18.2,17.6,18.0,11100,19.40,17.00,18.2,-0.20,-1.10,0,0,0
CKV,08/03/2010,18.4,18.4,18.1,18.2,30900,19.60,17.20,18.4,-0.20,-1.09,0,0,0
CKV,08/02/2010,18.8,18.9,18.3,18.4,13500,20.10,17.50,18.8,-0.40,-2.13,0,0,0
CKV,07/30/2010,18.7,19.0,18.7,18.8,21500,20.00,17.40,18.7,0.10,0.53,0,0,0
CKV,07/29/2010,18.5,19.1,18.3,18.7,11800,19.50,17.10,18.3,0.40,2.19,0,0,0
CKV,07/28/2010,18.8,18.8,18.1,18.3,36100,19.70,17.30,18.5,-0.20,-1.08,0,0,0
CKV,07/27/2010,19.0,19.0,18.3,18.5,19800,20.00,17.40,18.7,-0.20,-1.07,0,0,0
CKV,07/26/2010,19.3,19.5,18.5,18.7,65900,20.80,18.20,19.5,-0.80,-4.10,0,0,0
CKV,07/23/2010,19.8,19.8,19.2,19.5,23100,20.90,18.30,19.6,-0.10,-0.51,0,0,0
CKV,07/22/2010,19.5,20.0,19.3,19.6,36800,22.10,19.30,20.7,-1.10,-5.31,0,0,0
CKV,07/21/2010,22.0,22.5,20.2,20.7,40700,23.10,20.10,21.6,-0.90,-4.17,0,0,0
CKV,07/20/2010,21.5,21.8,21.0,21.6,92700,21.80,19.00,20.4,1.20,5.88,0,0,0
CKV,07/19/2010,20.0,20.7,19.7,20.4,160500,20.70,18.10,19.4,1.00,5.15,0,0,0
CKV,07/16/2010,18.7,19.4,18.7,19.4,84100,19.40,17.00,18.2,1.20,6.59,0,0,0
CKV,07/15/2010,17.8,18.8,17.8,18.2,23100,20.00,17.40,18.7,-0.50,-2.67,0,0,0
CKV,07/14/2010,19.0,19.0,18.6,18.7,11300,20.00,17.40,18.7,0.00,0.00,0,0,0
CKV,07/13/2010,19.0,19.0,18.1,18.7,13400,19.90,17.30,18.6,0.10,0.54,0,0,0
CKV,07/12/2010,18.6,18.7,18.6,18.6,8100,19.90,17.30,18.6,0.00,0.00,0,0,0
CKV,07/09/2010,19.6,19.7,18.3,18.6,41100,19.70,17.30,18.5,0.10,0.54,0,0,0
