MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
CPC,08/06/2010,23.2,23.2,23.0,23.1,65300,24.80,21.60,23.2,-0.10,-0.43,0,0,0
CPC,08/05/2010,23.1,23.8,23.0,23.2,34900,24.60,21.40,23.0,0.20,0.87,0,0,0
CPC,08/04/2010,23.2,23.3,22.9,23.0,97700,24.90,21.70,23.3,-0.30,-1.29,0,0,0
CPC,08/03/2010,24.3,24.3,23.0,23.3,83200,25.20,22.00,23.6,-0.30,-1.27,0,0,0
CPC,08/02/2010,24.0,24.1,23.3,23.6,106800,25.70,22.50,24.1,-0.50,-2.07,0,0,0
CPC,07/30/2010,24.5,24.5,23.8,24.1,29800,25.40,22.20,23.8,0.30,1.26,0,0,600
CPC,07/29/2010,23.5,24.0,23.1,23.8,41200,24.90,21.70,23.3,0.50,2.15,0,0,0
CPC,07/28/2010,23.8,24.0,22.8,23.3,216500,25.50,22.30,23.9,-0.60,-2.51,0,0,0
CPC,07/27/2010,23.5,25.0,23.5,23.9,219000,26.60,23.20,24.9,-1.00,-4.02,0,0,0
CPC,07/26/2010,25.2,26.0,24.4,24.9,180400,28.00,24.40,26.2,-1.30,-4.96,0,100,4000
CPC,07/23/2010,27.5,27.8,25.7,26.2,60500,29.10,25.30,27.2,-1.00,-3.68,0,0,0
CPC,07/22/2010,27.0,28.3,26.8,27.2,143000,30.80,26.80,28.8,-1.60,-5.56,0,2000,0
CPC,07/21/2010,29.8,29.9,28.0,28.8,186800,29.90,26.10,28.0,0.80,2.86,0,0,0
CPC,07/20/2010,28.0,28.0,27.5,28.0,379500,28.00,24.40,26.2,1.80,6.87,0,7000,0
CPC,07/19/2010,24.7,26.4,24.7,26.2,321500,26.40,23.00,24.7,1.50,6.07,0,2000,0
CPC,07/16/2010,24.6,25.3,24.2,24.7,109700,27.10,23.70,25.4,-0.70,-2.76,10000,0,0
CPC,07/15/2010,24.8,26.0,24.8,25.4,81900,26.70,23.30,25.0,0.40,1.60,0,2500,0
CPC,07/14/2010,27.4,27.4,24.5,25.0,78600,27.40,24.00,25.7,-0.70,-2.72,0,0,0
CPC,07/13/2010,25.7,25.7,25.5,25.7,175800,25.70,22.50,24.1,1.60,6.64,0,0,0
CPC,07/12/2010,23.0,24.2,23.0,24.1,309900,24.20,21.20,22.7,1.40,6.17,0,0,0
CPC,07/09/2010,22.6,23.0,22.5,22.7,32200,24.00,21.00,22.5,0.20,0.89,0,0,0
CPC,07/08/2010,22.5,22.5,22.5,22.5,7100,24.00,21.00,22.5,0.00,0.00,0,0,0
CPC,07/07/2010,22.3,23.3,22.3,22.5,27200,23.70,20.70,22.2,0.30,1.35,0,0,0
CPC,07/06/2010,22.6,22.6,21.9,22.2,21700,24.10,21.10,22.6,-0.40,-1.77,0,0,0
CPC,07/05/2010,22.5,22.7,22.5,22.6,8300,24.20,21.20,22.7,-0.10,-0.44,0,0,0
CPC,07/02/2010,22.7,22.8,22.6,22.7,37100,24.10,21.10,22.6,0.10,0.44,0,0,0
CPC,07/01/2010,22.5,22.8,22.4,22.6,33100,24.10,21.10,22.6,0.00,0.00,0,0,0
CPC,06/30/2010,22.5,22.9,22.4,22.6,37600,24.50,21.30,22.9,-0.30,-1.31,0,0,0
CPC,06/29/2010,23.0,23.4,22.7,22.9,18700,24.60,21.40,23.0,-0.10,-0.43,0,0,0
CPC,06/28/2010,23.0,23.2,22.6,23.0,20900,24.80,21.60,23.2,-0.20,-0.86,0,0,0
CPC,06/25/2010,23.5,23.5,23.0,23.2,22500,25.70,22.50,24.1,-0.90,-3.73,0,0,0
CPC,06/24/2010,24.0,24.3,24.0,24.1,15000,25.60,22.40,24.0,0.10,0.42,0,0,0
CPC,06/23/2010,23.5,24.2,23.5,24.0,9300,26.00,22.60,24.3,-0.30,-1.23,0,0,0
CPC,06/22/2010,23.4,24.8,23.4,24.3,117100,24.80,21.60,23.2,1.10,4.74,0,0,15000
CPC,06/21/2010,23.2,23.6,23.0,23.2,73700,23.90,20.90,22.4,0.80,3.57,0,0,45000
CPC,06/18/2010,23.3,23.3,22.3,22.4,51700,24.30,21.30,22.8,-0.40,-1.75,0,0,23400
CPC,06/17/2010,22.7,23.2,22.6,22.8,24400,24.30,21.30,22.8,0.00,0.00,0,0,0
CPC,06/16/2010,22.8,23.1,22.5,22.8,25300,24.60,21.40,23.0,-0.20,-0.87,0,0,0
CPC,06/15/2010,23.0,23.3,22.7,23.0,22000,24.60,21.40,23.0,0.00,0.00,0,0,0
CPC,06/14/2010,23.0,23.3,23.0,23.0,9300,25.00,21.80,23.4,-0.40,-1.71,0,0,0
CPC,06/11/2010,23.9,24.1,22.8,23.4,23200,24.20,21.20,22.7,0.70,3.08,0,0,0
CPC,06/10/2010,21.2,23.4,21.2,22.7,16100,24.10,21.10,22.6,0.10,0.44,0,0,0
CPC,06/09/2010,24.0,24.0,22.4,22.6,700,24.00,21.00,22.5,0.10,0.44,0,0,0
CPC,06/08/2010,22.5,22.5,22.5,22.5,15000,24.20,21.20,22.7,-0.20,-0.88,0,0,0
CPC,06/07/2010,23.0,23.0,22.3,22.7,10800,24.70,21.50,23.1,-0.40,-1.73,0,0,0
CPC,06/04/2010,23.2,23.2,23.0,23.1,5900,25.70,22.50,24.1,-1.00,-4.15,0,0,0
CPC,06/03/2010,24.0,24.3,23.6,24.1,42400,24.30,21.30,22.8,1.30,5.70,0,0,0
CPC,06/02/2010,23.4,23.4,22.0,22.8,14400,24.20,21.20,22.7,0.10,0.44,0,0,0
CPC,06/01/2010,23.0,23.1,22.3,22.7,11500,25.40,22.20,23.8,-1.10,-4.62,0,0,0
CPC,05/31/2010,24.6,24.6,23.3,23.8,38400,26.70,23.30,25.0,-1.20,-4.80,0,10000,0
CPC,05/28/2010,25.3,25.3,24.8,25.0,58600,25.70,22.50,24.1,0.90,3.73,0,10900,0
CPC,05/27/2010,24.0,24.5,23.0,24.1,24300,24.70,21.50,23.1,1.00,4.33,0,16500,0
CPC,05/26/2010,22.4,23.3,22.4,23.1,31000,23.30,20.30,21.8,1.30,5.96,0,0,0
