MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
CTI,08/06/2010,46.8,46.8,45.9,46.0,251220,49.10,44.50,46.8,-0.80,-1.71,0,0,0
CTI,08/05/2010,46.6,47.0,45.0,46.8,339670,49.00,44.40,46.7,0.10,0.21,0,0,0
CTI,08/04/2010,46.4,46.7,45.6,46.7,138230,48.90,44.30,46.6,0.10,0.21,0,0,0
CTI,08/03/2010,46.0,47.8,45.6,46.6,332480,48.80,44.20,46.5,0.10,0.22,0,0,0
CTI,08/02/2010,45.6,46.8,45.3,46.5,188610,49.30,44.70,47.0,-0.50,-1.06,0,0,0
CTI,07/30/2010,45.2,47.0,45.0,47.0,401970,49.00,44.40,46.7,0.30,0.64,0,0,0
CTI,07/29/2010,44.4,46.9,44.4,46.7,415140,47.20,42.80,45.0,1.70,3.78,0,0,0
CTI,07/28/2010,43.8,45.0,43.4,45.0,306860,45.40,41.20,43.3,1.70,3.93,0,0,0
CTI,07/27/2010,42.3,44.9,41.3,43.3,256570,45.40,41.20,43.3,0.00,0.00,0,0,0
CTI,07/26/2010,43.4,43.6,43.3,43.3,100860,47.70,43.30,45.5,-2.20,-4.84,0,0,0
CTI,07/23/2010,43.3,45.5,43.1,45.5,329210,47.50,43.10,45.3,0.20,0.44,0,0,0
CTI,07/22/2010,43.3,45.3,43.1,45.3,428350,47.50,43.10,45.3,0.00,0.00,0,0,0
CTI,07/21/2010,46.0,47.5,45.3,45.3,356680,49.90,45.30,47.6,-2.30,-4.83,0,0,0
CTI,07/20/2010,47.0,49.0,46.7,47.6,311820,51.00,46.60,49.0,-1.40,-2.86,0,0,0
CTI,07/19/2010,49.0,52.5,49.0,49.0,176190,53.50,48.50,51.0,-2.00,-3.92,20000,0,0
CTI,07/16/2010,51.0,51.0,51.0,51.0,227260,51.00,46.40,48.8,2.20,4.51,0,0,0
CTI,07/15/2010,46.5,48.8,46.5,48.8,354430,48.80,44.20,46.5,2.30,4.95,0,0,0
CTI,07/14/2010,47.0,50.0,46.1,46.5,743300,50.50,46.10,48.5,-2.00,-4.12,0,0,0
CTI,07/13/2010,46.3,48.5,46.3,48.5,289830,48.60,44.00,46.3,2.20,4.75,0,0,0
CTI,07/12/2010,44.9,46.3,44.4,46.3,134810,46.30,41.90,44.1,2.20,4.99,0,0,0
CTI,07/09/2010,42.0,44.1,40.6,44.1,384540,44.10,39.90,42.0,2.10,5.00,0,0,0
CTI,07/08/2010,44.8,44.8,42.0,42.0,424760,45.20,41.00,43.1,-1.10,-2.55,0,0,0
CTI,07/07/2010,41.1,43.1,39.5,43.1,539310,43.10,39.10,41.1,2.00,4.87,0,0,0
CTI,07/06/2010,44.0,44.0,41.1,41.1,396580,45.10,40.90,43.0,-1.90,-4.42,0,0,3000
CTI,07/05/2010,41.0,43.0,41.0,43.0,215710,43.00,39.00,41.0,2.00,4.88,0,0,0
CTI,07/02/2010,39.1,41.0,38.8,41.0,234480,41.00,37.20,39.1,1.90,4.86,20000,0,0
CTI,07/01/2010,37.6,39.4,37.5,39.1,345910,39.40,35.80,37.6,1.50,3.99,0,0,0
CTI,06/30/2010,35.8,37.6,35.7,37.6,281670,39.30,35.70,37.5,0.10,0.27,93800,3000,0
CTI,06/29/2010,37.0,39.0,37.0,37.5,177030,39.30,35.70,37.5,0.00,0.00,30000,0,0
CTI,06/28/2010,34.9,37.5,34.9,37.5,357740,37.80,34.20,36.0,1.50,4.17,0,0,0
CTI,06/25/2010,36.2,37.8,36.0,36.0,171600,39.60,36.00,37.8,-1.80,-4.76,0,0,0
CTI,06/24/2010,37.0,38.0,36.2,37.8,242290,38.80,35.20,37.0,0.80,2.16,0,0,0
CTI,06/23/2010,35.3,37.0,33.9,37.0,413330,37.00,33.60,35.3,1.70,4.82,0,0,0
CTI,06/22/2010,35.3,35.3,35.3,35.3,382690,35.30,32.10,33.7,1.60,4.75,0,0,350
CTI,06/21/2010,33.7,33.7,33.7,33.7,126770,33.70,30.50,32.1,1.60,4.98,0,0,0
CTI,06/18/2010,32.1,32.1,31.0,32.1,646810,32.10,29.10,30.6,1.50,4.90,20000,50,0
