MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
CTM,08/06/2010,45.0,45.0,45.0,45.0,1000,47.60,41.40,44.5,0.50,1.12,40000,0,0
CTM,08/05/2010,45.8,45.8,43.0,44.5,14700,47.40,41.20,44.3,0.20,0.45,0,0,0
CTM,08/04/2010,44.4,46.1,43.0,44.3,2700,46.10,40.10,43.1,1.20,2.78,0,0,0
CTM,08/03/2010,43.3,43.3,43.0,43.1,4200,48.30,42.10,45.2,-2.10,-4.65,0,0,0
CTM,08/02/2010,44.5,45.5,44.5,45.2,300,48.10,41.90,45.0,0.20,0.44,0,0,0
CTM,07/30/2010,45.0,45.1,45.0,45.0,43700,48.20,42.00,45.1,-0.10,-0.22,50000,0,0
CTM,07/29/2010,45.0,45.5,44.9,45.1,18200,51.00,44.40,47.7,-2.60,-5.45,0,0,0
CTM,07/28/2010,47.0,47.9,45.0,47.7,21100,50.30,43.90,47.1,0.60,1.27,0,0,0
CTM,07/27/2010,47.0,47.5,45.7,47.1,27400,47.60,41.40,44.5,2.60,5.84,0,0,0
CTM,07/26/2010,45.1,45.1,44.0,44.5,29300,50.30,43.90,47.1,-2.60,-5.52,0,0,0
CTM,07/23/2010,47.5,47.6,47.0,47.1,7700,50.50,43.90,47.2,-0.10,-0.21,0,0,0
CTM,07/22/2010,47.9,47.9,46.6,47.2,31800,50.50,43.90,47.2,0.00,0.00,0,0,0
CTM,07/21/2010,47.5,47.5,47.0,47.2,25800,51.50,44.90,48.2,-1.00,-2.07,0,0,0
CTM,07/20/2010,48.0,48.2,48.0,48.2,21300,51.50,44.90,48.2,0.00,0.00,0,0,0
CTM,07/19/2010,49.0,49.0,48.0,48.2,7100,51.50,44.90,48.2,0.00,0.00,0,0,0
CTM,07/16/2010,49.6,49.6,48.0,48.2,15500,51.60,45.00,48.3,-0.10,-0.21,0,0,0
CTM,07/15/2010,48.3,48.8,48.0,48.3,10300,53.80,46.80,50.3,-2.00,-3.98,0,0,0
CTM,07/14/2010,50.5,50.5,48.5,50.3,56100,53.60,46.60,50.1,0.20,0.40,0,0,0
CTM,07/13/2010,50.1,50.2,50.0,50.1,12600,50.20,43.80,47.0,3.10,6.60,0,0,0
CTM,07/12/2010,46.6,48.0,46.0,47.0,29600,49.80,43.40,46.6,0.40,0.86,0,0,0
CTM,07/09/2010,47.8,48.0,45.2,46.6,24300,52.00,45.20,48.6,-2.00,-4.12,0,0,0
CTM,07/08/2010,49.1,49.1,48.5,48.6,4600,54.30,47.30,50.8,-2.20,-4.33,0,0,0
CTM,07/07/2010,51.9,51.9,49.2,50.8,24400,53.70,46.70,50.2,0.60,1.20,0,0,0
CTM,07/06/2010,50.0,51.2,49.5,50.2,53700,54.80,47.80,51.3,-1.10,-2.14,0,0,0
CTM,07/05/2010,52.4,52.5,50.8,51.3,28300,54.90,47.90,51.4,-0.10,-0.19,0,0,0
CTM,07/02/2010,51.8,51.8,50.2,51.4,12700,52.80,46.00,49.4,2.00,4.05,0,0,0
CTM,07/01/2010,48.1,50.0,48.1,49.4,29800,53.70,46.70,50.2,-0.80,-1.59,0,0,0
CTM,06/30/2010,51.5,51.5,49.8,50.2,43500,56.10,48.90,52.5,-2.30,-4.38,0,0,0
CTM,06/29/2010,52.9,53.6,51.6,52.5,25300,57.30,49.90,53.6,-1.10,-2.05,0,0,0
CTM,06/28/2010,53.7,53.7,52.6,53.6,103600,57.40,50.00,53.7,-0.10,-0.19,0,0,0
CTM,06/25/2010,54.2,54.3,52.9,53.7,61000,58.10,50.50,54.3,-0.60,-1.10,0,0,0
CTM,06/24/2010,53.8,56.0,53.0,54.3,116500,57.50,50.10,53.8,0.50,0.93,0,0,0
CTM,06/23/2010,52.8,56.0,52.8,53.8,92500,56.70,49.30,53.0,0.80,1.51,0,0,0
CTM,06/22/2010,51.0,54.5,51.0,53.0,193900,54.50,47.50,51.0,2.00,3.92,0,0,0
CTM,06/21/2010,50.1,52.0,50.0,51.0,32100,54.10,47.10,50.6,0.40,0.79,0,0,0
CTM,06/18/2010,51.3,52.1,49.5,50.6,64500,54.40,47.40,50.9,-0.30,-0.59,0,0,0
CTM,06/17/2010,52.5,52.5,49.0,50.9,44700,56.00,48.80,52.4,-1.50,-2.86,0,0,0
CTM,06/16/2010,51.5,53.0,51.5,52.4,50500,55.10,47.90,51.5,0.90,1.75,0,0,0
CTM,06/15/2010,55.4,55.4,50.5,51.5,86900,57.90,50.50,54.2,-2.70,-4.98,0,0,0
CTM,06/14/2010,57.8,57.8,53.0,54.2,18500,59.80,52.00,55.9,-1.70,-3.04,0,0,0
CTM,06/11/2010,55.0,56.6,55.0,55.9,111000,57.60,50.20,53.9,2.00,3.71,0,0,0
CTM,06/10/2010,55.5,55.5,53.3,53.9,24600,58.80,51.20,55.0,-1.10,-2.00,0,0,0
CTM,06/09/2010,53.4,56.3,53.1,55.0,171300,56.30,49.10,52.7,2.30,4.36,0,0,0
CTM,06/08/2010,52.5,53.5,50.7,52.7,110300,56.70,49.30,53.0,-0.30,-0.57,0,0,0
CTM,06/07/2010,51.1,54.8,51.1,53.0,148100,58.70,51.10,54.9,-1.90,-3.46,0,0,0
CTM,06/04/2010,57.0,57.0,53.2,54.9,139100,61.20,53.20,57.2,-2.30,-4.02,0,0,0
CTM,06/03/2010,55.5,58.2,55.5,57.2,129700,58.20,50.60,54.4,2.80,5.15,0,0,0
CTM,06/02/2010,57.0,57.0,53.0,54.4,123500,60.50,52.70,56.6,-2.20,-3.89,0,0,0
CTM,06/01/2010,56.0,60.5,55.0,56.6,331700,63.00,54.80,58.9,-2.30,-3.90,0,0,0
CTM,05/31/2010,58.0,60.3,57.9,58.9,46700,62.70,54.50,58.6,0.30,0.51,0,0,0
CTM,05/28/2010,59.0,59.1,57.0,58.6,292600,59.10,51.50,55.3,3.30,5.97,0,0,0
CTM,05/27/2010,56.0,56.0,53.0,55.3,190600,56.00,48.80,52.4,2.90,5.53,0,0,0
CTM,05/26/2010,53.0,53.0,50.0,52.4,170300,53.00,46.20,49.6,2.80,5.65,261600,0,0
CTM,05/25/2010,49.5,49.6,49.5,49.6,40100,49.60,43.20,46.4,3.20,6.90,0,0,0
CTM,05/24/2010,46.3,46.4,46.3,46.4,13000,46.40,40.40,43.4,3.00,6.91,0,0,0
