MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
DNP,08/06/2010,22.5,22.5,21.6,22.0,25600,24.00,21.00,22.5,-0.50,-2.22,50000,0,0
DNP,08/05/2010,22.9,23.2,22.0,22.5,43700,23.50,20.50,22.0,0.50,2.27,10000,0,0
DNP,08/04/2010,23.0,23.0,21.7,22.0,148600,24.90,21.70,23.3,-1.30,-5.58,0,0,0
DNP,08/03/2010,24.0,24.1,22.6,23.3,61500,25.60,22.40,24.0,-0.70,-2.92,0,0,0
DNP,08/02/2010,25.2,25.7,23.3,24.0,61800,26.70,23.30,25.0,-1.00,-4.00,0,0,0
DNP,07/30/2010,24.9,25.0,24.3,25.0,171100,25.00,21.80,23.4,1.60,6.84,0,0,0
DNP,07/29/2010,22.2,23.7,22.2,23.4,100000,23.70,20.70,22.2,1.20,5.41,0,0,0
DNP,07/28/2010,23.5,24.5,22.0,22.2,114300,25.20,22.00,23.6,-1.40,-5.93,10000,0,2000
DNP,07/27/2010,25.1,25.1,22.9,23.6,114300,26.20,22.80,24.5,-0.90,-3.67,10000,0,0
DNP,07/26/2010,24.7,24.8,24.5,24.5,91200,28.10,24.50,26.3,-1.80,-6.84,0,0,0
DNP,07/23/2010,26.3,26.4,25.7,26.3,197000,26.40,23.00,24.7,1.60,6.48,0,0,500
DNP,07/22/2010,24.3,26.1,24.3,24.7,269500,27.90,24.30,26.1,-1.40,-5.36,0,0,0
DNP,07/21/2010,26.0,26.8,25.9,26.1,111000,29.70,25.90,27.8,-1.70,-6.12,0,0,0
DNP,07/20/2010,28.3,28.3,26.1,27.8,279600,28.30,24.70,26.5,1.30,4.91,0,2000,0
DNP,07/19/2010,26.5,26.5,25.8,26.5,344700,26.50,23.10,24.8,1.70,6.85,0,0,0
DNP,07/16/2010,24.8,24.8,24.8,24.8,93100,24.80,21.60,23.2,1.60,6.90,11700,0,0
DNP,07/15/2010,21.8,23.3,21.8,23.2,431100,23.30,20.30,21.8,1.40,6.42,0,0,0
DNP,07/14/2010,22.5,22.5,21.4,21.8,61900,22.70,19.90,21.3,0.50,2.35,0,0,0
DNP,07/13/2010,21.0,21.9,20.5,21.3,50600,21.90,19.10,20.5,0.80,3.90,0,0,0
DNP,07/12/2010,20.3,20.8,20.3,20.5,11600,21.70,18.90,20.3,0.20,0.99,0,0,0
DNP,07/09/2010,20.4,20.5,20.2,20.3,12600,21.80,19.00,20.4,-0.10,-0.49,0,0,0
DNP,07/08/2010,20.7,20.7,20.2,20.4,16900,21.90,19.10,20.5,-0.10,-0.49,0,0,0
DNP,07/07/2010,21.2,21.2,20.4,20.5,17700,22.00,19.20,20.6,-0.10,-0.49,0,0,0
DNP,07/06/2010,20.8,20.9,20.5,20.6,37700,22.40,19.60,21.0,-0.40,-1.90,0,0,0
DNP,07/05/2010,21.1,21.1,20.9,21.0,23400,22.50,19.70,21.1,-0.10,-0.47,0,0,0
DNP,07/02/2010,21.5,21.5,20.7,21.1,7200,22.50,19.70,21.1,0.00,0.00,0,0,0
DNP,07/01/2010,21.3,21.4,20.3,21.1,45700,22.00,19.20,20.6,0.50,2.43,0,0,0
DNP,06/30/2010,20.5,21.3,20.1,20.6,10800,22.40,19.60,21.0,-0.40,-1.90,0,0,0
DNP,06/29/2010,21.0,21.4,20.8,21.0,22900,22.10,19.30,20.7,0.30,1.45,0,0,0
DNP,06/28/2010,21.0,21.0,20.5,20.7,40700,22.00,19.20,20.6,0.10,0.49,0,0,26200
DNP,06/25/2010,20.7,21.0,20.4,20.6,47600,22.40,19.60,21.0,-0.40,-1.90,0,0,0
DNP,06/24/2010,21.1,21.2,20.8,21.0,26100,22.50,19.70,21.1,-0.10,-0.47,0,0,0
DNP,06/23/2010,21.5,21.7,20.7,21.1,22600,23.10,20.10,21.6,-0.50,-2.31,0,0,0
DNP,06/22/2010,22.8,22.8,21.3,21.6,20700,24.20,21.20,22.7,-1.10,-4.85,0,0,0
DNP,06/21/2010,22.0,22.7,22.0,22.7,122200,22.70,19.90,21.3,1.40,6.57,0,0,0
DNP,06/18/2010,20.5,22.0,20.5,21.3,86900,22.10,19.30,20.7,0.60,2.90,0,0,0
DNP,06/17/2010,20.8,21.0,20.5,20.7,34500,22.20,19.40,20.8,-0.10,-0.48,0,0,0
