MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
EID,08/09/2010,16.8,17.1,15.9,16.1,111200,17.60,15.40,16.5,-0.40,-2.42,0,0,0
EID,08/06/2010,16.0,16.8,15.8,16.5,77200,17.10,14.90,16.0,0.50,3.13,0,0,0
EID,08/05/2010,16.4,16.4,15.7,16.0,58000,17.20,15.00,16.1,-0.10,-0.62,0,0,0
EID,08/04/2010,16.4,16.4,15.9,16.1,106000,17.60,15.40,16.5,-0.40,-2.42,0,0,0
EID,08/03/2010,16.8,16.9,16.3,16.5,113000,17.80,15.60,16.7,-0.20,-1.20,0,0,0
EID,08/02/2010,17.3,17.3,16.5,16.7,85600,18.00,15.80,16.9,-0.20,-1.18,0,0,0
EID,07/30/2010,17.5,17.5,16.8,16.9,99600,18.10,15.90,17.0,-0.10,-0.59,0,0,0
EID,07/29/2010,17.0,17.3,16.7,17.0,94700,17.70,15.50,16.6,0.40,2.41,0,0,0
EID,07/28/2010,16.8,17.2,16.5,16.6,98300,18.60,16.20,17.4,-0.80,-4.60,0,0,0
EID,07/27/2010,17.0,17.8,16.7,17.4,192300,17.80,15.60,16.7,0.70,4.19,0,0,0
EID,07/26/2010,17.2,17.2,16.4,16.7,188200,18.40,16.00,17.2,-0.50,-2.91,0,0,0
EID,07/23/2010,17.4,17.8,17.0,17.2,90900,18.70,16.30,17.5,-0.30,-1.71,0,0,0
EID,07/22/2010,18.5,18.5,17.3,17.5,123800,19.70,17.30,18.5,-1.00,-5.41,0,0,0
EID,07/21/2010,19.4,19.4,17.8,18.5,180000,19.40,17.00,18.2,0.30,1.65,0,0,0
EID,07/20/2010,17.6,18.2,17.6,18.2,689400,18.20,16.00,17.1,1.10,6.43,0,0,0
EID,07/19/2010,16.7,17.5,16.5,17.1,341800,17.80,15.60,16.7,0.40,2.40,0,0,0
EID,07/16/2010,16.5,17.0,16.3,16.7,163600,17.70,15.50,16.6,0.10,0.60,0,0,0
EID,07/15/2010,16.6,16.7,16.4,16.6,64700,17.80,15.60,16.7,-0.10,-0.60,0,0,0
EID,07/14/2010,16.8,17.0,16.5,16.7,135400,17.60,15.40,16.5,0.20,1.21,0,0,0
EID,07/13/2010,16.6,16.6,16.2,16.5,49400,17.30,15.10,16.2,0.30,1.85,0,0,0
EID,07/12/2010,16.1,16.3,16.0,16.2,30500,17.20,15.00,16.1,0.10,0.62,0,0,0
EID,07/09/2010,16.2,16.4,16.0,16.1,66600,17.30,15.10,16.2,-0.10,-0.62,0,0,0
EID,07/08/2010,16.5,16.5,16.1,16.2,67200,17.30,15.10,16.2,0.00,0.00,0,0,0
EID,07/07/2010,16.6,16.6,16.0,16.2,49900,17.30,15.10,16.2,0.00,0.00,0,0,0
EID,07/06/2010,16.3,16.5,16.1,16.2,111900,18.00,15.80,16.9,-0.70,-4.14,0,0,0
EID,07/05/2010,16.6,17.1,16.3,16.9,85000,17.90,15.70,16.8,0.10,0.60,5000,0,0
EID,07/02/2010,16.5,17.2,16.5,16.8,185400,17.30,15.10,16.2,0.60,3.70,12000,0,0
EID,07/01/2010,16.2,16.6,15.9,16.2,94300,17.00,14.80,15.9,0.30,1.89,0,0,0
EID,06/30/2010,15.8,16.5,15.3,15.9,78000,17.40,15.20,16.3,-0.40,-2.45,0,0,0
EID,06/29/2010,16.4,16.4,16.1,16.3,52400,17.50,15.30,16.4,-0.10,-0.61,9000,0,0
EID,06/28/2010,16.0,16.7,16.0,16.4,113300,17.30,15.10,16.2,0.20,1.23,12000,0,0
EID,06/25/2010,16.8,16.8,16.0,16.2,142600,17.90,15.70,16.8,-0.60,-3.57,0,0,0
EID,06/24/2010,17.0,17.1,16.7,16.8,68500,18.60,16.20,17.4,-0.60,-3.45,0,0,0
