MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
GDT,08/09/2010,0.0,19.7,19.1,19.1,9610,20.70,18.90,19.8,-0.70,-3.54,0,0,0
GDT,08/06/2010,20.0,20.1,19.8,19.8,17970,21.10,19.10,20.1,-0.30,-1.49,0,0,0
GDT,08/05/2010,0.0,20.5,20.0,20.1,11800,21.50,19.50,20.5,-0.40,-1.95,0,0,0
GDT,08/04/2010,0.0,20.6,19.7,20.5,20470,21.70,19.70,20.7,-0.20,-0.97,0,0,0
GDT,08/03/2010,0.0,20.7,20.6,20.7,30280,21.90,19.90,20.9,-0.20,-0.96,0,0,0
GDT,08/02/2010,0.0,20.9,20.2,20.9,6160,21.60,19.60,20.6,0.30,1.46,0,0,0
GDT,07/30/2010,0.0,21.0,20.5,20.6,22670,21.50,19.50,20.5,0.10,0.49,0,0,0
GDT,07/29/2010,0.0,20.5,20.4,20.5,10970,22.00,20.00,21.0,-0.50,-2.38,0,0,0
GDT,07/28/2010,21.0,21.0,20.9,21.0,16720,22.20,20.20,21.2,-0.20,-0.94,0,0,0
GDT,07/27/2010,21.1,21.4,21.0,21.2,18240,22.20,20.20,21.2,0.00,0.00,0,0,0
GDT,07/26/2010,21.2,21.3,21.2,21.2,16730,22.40,20.40,21.4,-0.20,-0.93,0,0,0
GDT,07/23/2010,0.0,21.6,21.2,21.4,15850,22.40,20.40,21.4,0.00,0.00,0,0,0
GDT,07/22/2010,0.0,21.8,21.4,21.4,18160,22.70,20.70,21.7,-0.30,-1.38,0,0,0
GDT,07/21/2010,0.0,22.0,21.6,21.7,8590,22.80,20.80,21.8,-0.10,-0.46,0,0,0
GDT,07/20/2010,0.0,21.8,21.5,21.8,17280,22.40,20.40,21.4,0.40,1.87,0,0,0
GDT,07/19/2010,0.0,21.9,21.4,21.4,13150,22.90,20.90,21.9,-0.50,-2.28,0,0,0
GDT,07/16/2010,0.0,21.9,21.4,21.9,14030,23.10,20.90,22.0,-0.10,-0.45,0,0,0
GDT,07/15/2010,0.0,22.0,21.6,22.0,18050,22.90,20.90,21.9,0.10,0.46,0,0,0
GDT,07/14/2010,22.7,22.7,21.9,21.9,7900,23.20,21.00,22.1,-0.20,-0.90,0,0,0
GDT,07/13/2010,0.0,22.2,22.0,22.1,35120,22.70,20.70,21.7,0.40,1.84,0,0,0
GDT,07/12/2010,0.0,21.7,21.6,21.7,14870,22.60,20.60,21.6,0.10,0.46,0,0,0
GDT,07/09/2010,22.0,22.0,21.6,21.6,16160,22.60,20.60,21.6,0.00,0.00,0,0,0
GDT,07/08/2010,22.3,22.3,21.6,21.6,16280,22.60,20.60,21.6,0.00,0.00,0,0,0
GDT,07/07/2010,0.0,22.9,21.6,21.6,9440,23.10,20.90,22.0,-0.40,-1.82,0,0,0
GDT,07/06/2010,0.0,22.1,21.7,22.0,49620,23.60,21.40,22.5,-0.50,-2.22,0,0,0
GDT,07/05/2010,22.1,22.7,22.1,22.5,29610,23.10,20.90,22.0,0.50,2.27,0,0,0
GDT,07/02/2010,22.3,22.5,22.0,22.0,44210,23.10,20.90,22.0,0.00,0.00,0,0,0
GDT,07/01/2010,22.2,22.4,21.9,22.0,22900,23.40,21.20,22.3,-0.30,-1.35,0,0,0
GDT,06/30/2010,22.6,23.1,22.3,22.3,109310,23.70,21.50,22.6,-0.30,-1.33,0,0,0
GDT,06/29/2010,22.6,22.6,22.3,22.6,59930,22.60,20.60,21.6,1.00,4.63,0,0,0
