MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
HBD,08/09/2010,16.5,16.5,16.5,16.5,1200,18.10,15.90,17.0,-0.50,-2.94,0,0,0
HBD,08/06/2010,17.0,17.0,17.0,17.0,1000,18.10,15.90,17.0,0.00,0.00,0,0,0
HBD,08/05/2010,17.0,17.0,17.0,17.0,1400,17.90,15.70,16.8,0.20,1.19,0,0,0
HBD,08/04/2010,17.0,17.0,16.7,16.8,8500,17.80,15.60,16.7,0.10,0.60,0,0,1400
HBD,08/03/2010,16.6,16.9,16.6,16.7,3100,18.00,15.80,16.9,-0.20,-1.18,0,0,0
HBD,08/02/2010,16.9,17.0,16.9,16.9,3000,18.10,15.90,17.0,-0.10,-0.59,0,0,0
HBD,07/30/2010,17.0,17.0,17.0,17.0,4000,17.60,15.40,16.5,0.50,3.03,0,0,0
HBD,07/29/2010,16.6,16.6,16.5,16.5,8400,17.60,15.40,16.5,0.00,0.00,0,0,0
HBD,07/28/2010,16.6,16.6,16.5,16.5,4100,17.60,15.40,16.5,0.00,0.00,0,0,0
HBD,07/27/2010,16.5,16.5,16.4,16.5,5500,18.60,16.20,17.4,-0.90,-5.17,0,0,0
HBD,07/26/2010,18.5,18.5,17.3,17.4,10600,19.70,17.30,18.5,-1.10,-5.95,0,0,0
HBD,07/23/2010,18.7,18.7,18.4,18.5,1200,19.60,17.20,18.4,0.10,0.54,0,0,0
HBD,07/22/2010,19.0,19.0,18.2,18.4,8600,20.80,18.20,19.5,-1.10,-5.64,0,0,0
HBD,07/21/2010,19.5,19.9,18.5,19.5,26800,19.90,17.30,18.6,0.90,4.84,0,0,0
HBD,07/20/2010,18.0,18.6,18.0,18.6,74500,18.60,16.20,17.4,1.20,6.90,0,0,700
HBD,07/19/2010,16.9,17.6,16.9,17.4,32900,17.60,15.40,16.5,0.90,5.45,0,0,0
HBD,07/16/2010,16.4,16.9,16.3,16.5,5000,17.40,15.20,16.3,0.20,1.23,0,0,0
HBD,07/15/2010,16.3,16.3,16.3,16.3,600,17.50,15.30,16.4,-0.10,-0.61,0,0,0
HBD,07/14/2010,16.3,16.4,16.3,16.4,4700,17.70,15.50,16.6,-0.20,-1.20,0,0,0
HBD,07/13/2010,16.9,16.9,16.4,16.6,7200,17.90,15.70,16.8,-0.20,-1.19,0,1500,0
HBD,07/12/2010,16.7,16.8,16.7,16.8,200,17.50,15.30,16.4,0.40,2.44,0,0,0
HBD,07/09/2010,16.5,16.5,16.4,16.4,700,17.50,15.30,16.4,0.00,0.00,0,0,0
HBD,07/08/2010,16.5,16.5,16.2,16.4,2800,17.40,15.20,16.3,0.10,0.61,0,0,0
HBD,07/07/2010,16.5,16.5,16.2,16.3,1500,17.40,15.20,16.3,0.00,0.00,0,0,0
HBD,07/06/2010,16.2,16.4,16.2,16.3,1100,18.00,15.80,16.9,-0.60,-3.55,0,0,0
HBD,07/05/2010,0.0,0.0,0.0,16.9,0,18.00,15.80,16.9,0.00,0.00,0,0,0
HBD,07/02/2010,16.9,16.9,16.9,16.9,500,17.70,15.50,16.6,0.30,1.81,0,0,0
HBD,07/01/2010,0.0,0.0,0.0,16.6,0,17.70,15.50,16.6,0.00,0.00,0,0,0
HBD,06/30/2010,16.3,16.9,16.3,16.6,5400,17.60,15.40,16.5,0.10,0.61,0,0,0
HBD,06/29/2010,16.3,16.5,16.3,16.5,1900,17.40,15.20,16.3,0.20,1.23,0,0,0
HBD,06/28/2010,16.3,16.3,16.3,16.3,1000,17.60,15.40,16.5,-0.20,-1.21,0,0,0
HBD,06/25/2010,16.5,16.5,16.5,16.5,4100,17.80,15.60,16.7,-0.20,-1.20,0,0,0
HBD,06/24/2010,16.9,17.0,16.6,16.7,2800,17.70,15.50,16.6,0.10,0.60,0,0,0
HBD,06/23/2010,16.6,16.7,16.6,16.6,2100,17.60,15.40,16.5,0.10,0.61,0,0,0
HBD,06/22/2010,16.5,16.6,16.5,16.5,9800,17.90,15.70,16.8,-0.30,-1.79,0,0,0
HBD,06/21/2010,16.8,16.8,16.8,16.8,200,17.70,15.50,16.6,0.20,1.20,0,0,0
HBD,06/18/2010,16.6,16.6,16.5,16.6,1700,17.60,15.40,16.5,0.10,0.61,0,0,0
HBD,06/17/2010,16.5,16.5,16.5,16.5,2100,17.60,15.40,16.5,0.00,0.00,0,1000,0
HBD,06/16/2010,16.9,16.9,16.5,16.5,2100,17.50,15.30,16.4,0.10,0.61,0,0,0
HBD,06/15/2010,16.1,16.5,16.1,16.4,14200,18.00,15.80,16.9,-0.50,-2.96,0,0,0
HBD,06/14/2010,16.9,16.9,16.8,16.9,200,17.60,15.40,16.5,0.40,2.42,0,0,0
HBD,06/11/2010,16.5,16.9,16.5,16.5,2200,17.70,15.50,16.6,-0.10,-0.60,0,0,0
HBD,06/10/2010,16.1,17.0,16.1,16.6,2000,18.10,15.90,17.0,-0.40,-2.35,0,0,0
HBD,06/09/2010,16.9,17.0,16.9,17.0,2000,17.30,15.10,16.2,0.80,4.94,0,0,0
HBD,06/08/2010,16.2,16.2,16.1,16.2,1600,17.30,15.10,16.2,0.00,0.00,0,200,0
HBD,06/07/2010,16.3,16.3,16.0,16.2,5800,17.50,15.30,16.4,-0.20,-1.22,0,0,0
HBD,06/04/2010,16.5,16.5,16.4,16.4,3900,17.50,15.30,16.4,0.00,0.00,0,0,0
HBD,06/03/2010,16.2,16.5,16.2,16.4,3600,17.30,15.10,16.2,0.20,1.23,0,2600,0
HBD,06/02/2010,16.0,17.3,16.0,16.2,800,17.50,15.30,16.4,-0.20,-1.22,0,0,0
HBD,06/01/2010,16.5,17.0,16.3,16.4,3100,18.00,15.80,16.9,-0.50,-2.96,0,200,0
HBD,05/31/2010,16.8,17.0,16.8,16.9,1800,17.70,15.50,16.6,0.30,1.81,0,0,0
HBD,05/28/2010,16.5,16.9,16.2,16.6,15100,17.10,14.90,16.0,0.60,3.75,0,8000,0
HBD,05/27/2010,16.2,16.2,16.0,16.0,1300,17.10,14.90,16.0,0.00,0.00,0,0,0
HBD,05/26/2010,15.9,16.2,15.7,16.0,11500,17.00,14.80,15.9,0.10,0.63,0,1300,0
HBD,05/25/2010,15.8,16.0,15.8,15.9,14700,16.90,14.70,15.8,0.10,0.63,0,500,0
