MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
HCC,08/09/2010,0.0,0.0,0.0,35.2,0,37.60,32.80,35.2,0.00,0.00,0,0,0
HCC,08/06/2010,35.0,35.8,35.0,35.2,5400,39.40,34.40,36.9,-1.70,-4.61,0,0,0
HCC,08/05/2010,36.7,37.0,36.5,36.9,5100,38.90,33.90,36.4,0.50,1.37,0,0,0
HCC,08/04/2010,36.4,36.4,36.4,36.4,5500,38.90,33.90,36.4,0.00,0.00,0,0,0
HCC,08/03/2010,36.4,36.4,36.4,36.4,2900,36.40,31.80,34.1,2.30,6.74,0,0,0
HCC,08/02/2010,34.1,34.1,34.1,34.1,100,38.50,33.50,36.0,-1.90,-5.28,0,0,0
HCC,07/30/2010,36.0,36.0,36.0,36.0,100,40.60,35.40,38.0,-2.00,-5.26,0,0,0
HCC,07/29/2010,0.0,0.0,0.0,38.0,0,40.60,35.40,38.0,0.00,0.00,0,0,0
HCC,07/28/2010,38.0,38.0,38.0,38.0,200,42.80,37.20,40.0,-2.00,-5.00,0,0,0
HCC,07/27/2010,40.0,40.0,40.0,40.0,1000,41.70,36.30,39.0,1.00,2.56,0,0,0
HCC,07/26/2010,39.0,39.0,39.0,39.0,500,41.00,35.80,38.4,0.60,1.56,0,0,0
HCC,07/23/2010,0.0,0.0,0.0,38.4,0,41.00,35.80,38.4,0.00,0.00,0,0,0
HCC,07/22/2010,0.0,0.0,0.0,38.4,0,41.00,35.80,38.4,0.00,0.00,0,0,0
HCC,07/21/2010,37.5,38.5,37.5,38.4,1100,41.10,35.90,38.5,-0.10,-0.26,0,0,0
HCC,07/20/2010,0.0,0.0,0.0,38.5,0,41.10,35.90,38.5,0.00,0.00,0,0,0
HCC,07/19/2010,38.5,38.5,38.5,38.5,600,40.90,35.70,38.3,0.20,0.52,0,0,0
HCC,07/16/2010,39.0,39.0,37.0,38.3,1300,42.40,37.00,39.7,-1.40,-3.53,0,0,0
HCC,07/15/2010,39.0,40.0,39.0,39.7,6000,42.50,37.10,39.8,-0.10,-0.25,0,0,0
HCC,07/14/2010,40.4,40.4,39.0,39.8,4100,42.10,36.70,39.4,0.40,1.02,0,0,0
HCC,07/13/2010,39.8,39.8,39.4,39.4,2300,41.60,36.20,38.9,0.50,1.29,0,0,0
HCC,07/12/2010,39.0,39.0,38.7,38.9,2700,41.40,36.00,38.7,0.20,0.52,0,0,0
HCC,07/09/2010,38.7,38.7,38.7,38.7,100,41.40,36.00,38.7,0.00,0.00,0,0,0
HCC,07/08/2010,38.2,39.0,38.0,38.7,21900,40.60,35.40,38.0,0.70,1.84,0,0,0
HCC,07/07/2010,38.0,38.0,38.0,38.0,100,40.20,35.00,37.6,0.40,1.06,0,0,0
HCC,07/06/2010,38.0,38.5,37.0,37.6,5400,42.10,36.70,39.4,-1.80,-4.57,0,0,0
HCC,07/05/2010,39.5,39.8,38.3,39.4,5900,43.60,38.00,40.8,-1.40,-3.43,0,0,0
HCC,07/02/2010,40.8,40.8,40.8,40.8,100,40.90,35.70,38.3,2.50,6.53,0,0,0
HCC,07/01/2010,38.3,38.4,38.3,38.3,5000,40.90,35.70,38.3,0.00,0.00,0,0,0
HCC,06/30/2010,35.9,39.4,35.9,38.3,17800,39.40,34.40,36.9,1.40,3.79,0,0,0
HCC,06/29/2010,36.9,37.0,36.9,36.9,3200,39.60,34.60,37.1,-0.20,-0.54,0,0,0
HCC,06/28/2010,37.1,37.1,37.0,37.1,5100,41.10,35.90,38.5,-1.40,-3.64,0,0,0
HCC,06/25/2010,38.0,39.0,37.6,38.5,13200,40.10,34.90,37.5,1.00,2.67,0,0,0
HCC,06/24/2010,37.4,37.7,37.4,37.5,4100,40.00,34.80,37.4,0.10,0.27,0,0,0
HCC,06/23/2010,37.3,37.5,37.2,37.4,6300,41.10,35.90,38.5,-1.10,-2.86,0,0,0
HCC,06/22/2010,37.5,38.9,37.5,38.5,17800,41.40,36.00,38.7,-0.20,-0.52,0,0,0
HCC,06/21/2010,37.5,38.9,37.5,38.7,21600,40.90,35.70,38.3,0.40,1.04,0,0,0
HCC,06/18/2010,40.6,40.6,37.2,38.3,26900,40.60,35.40,38.0,0.30,0.79,0,0,0
HCC,06/17/2010,38.0,38.1,36.2,38.0,19800,38.10,33.30,35.7,2.30,6.44,0,0,0
HCC,06/16/2010,35.7,35.7,35.7,35.7,20500,35.70,31.10,33.4,2.30,6.89,0,0,0
HCC,06/15/2010,35.4,35.4,32.9,33.4,8100,35.50,30.90,33.2,0.20,0.60,0,0,0
HCC,06/14/2010,33.0,35.9,32.2,33.2,6300,36.30,31.70,34.0,-0.80,-2.35,0,0,0
HCC,06/11/2010,35.0,35.4,33.8,34.0,1300,35.40,30.80,33.1,0.90,2.72,0,0,0
HCC,06/10/2010,31.1,33.2,31.1,33.1,5800,33.20,29.00,31.1,2.00,6.43,0,0,0
HCC,06/09/2010,31.1,31.2,31.1,31.1,800,33.50,29.30,31.4,-0.30,-0.96,0,0,0
HCC,06/08/2010,31.0,32.1,31.0,31.4,3600,35.50,30.90,33.2,-1.80,-5.42,0,0,0
HCC,06/07/2010,33.2,33.5,33.2,33.2,3100,38.00,33.20,35.6,-2.40,-6.74,0,0,0
HCC,06/04/2010,35.8,35.8,35.5,35.6,700,38.30,33.30,35.8,-0.20,-0.56,0,0,0
HCC,06/03/2010,34.7,37.0,34.7,35.8,2600,37.00,32.20,34.6,1.20,3.47,0,0,0
