MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
HPB,08/09/2010,31.8,31.8,30.1,30.1,72100,34.50,30.10,32.3,-2.20,-6.81,0,0,0
HPB,08/06/2010,34.0,34.0,31.6,32.3,96200,36.10,31.50,33.8,-1.50,-4.44,0,0,0
HPB,08/05/2010,34.2,35.0,33.3,33.8,85600,35.90,31.30,33.6,0.20,0.60,5000,0,0
HPB,08/04/2010,34.5,34.5,33.3,33.6,111400,37.80,33.00,35.4,-1.80,-5.08,5000,0,0
HPB,08/03/2010,36.4,36.9,34.8,35.4,58900,38.60,33.60,36.1,-0.70,-1.94,0,0,0
HPB,08/02/2010,37.5,37.5,35.7,36.1,42900,39.50,34.50,37.0,-0.90,-2.43,10000,0,0
HPB,07/30/2010,36.3,37.4,36.0,37.0,97600,38.40,33.40,35.9,1.10,3.06,0,0,0
HPB,07/29/2010,35.0,36.8,35.0,35.9,99200,37.70,32.90,35.3,0.60,1.70,5000,0,0
HPB,07/28/2010,36.6,36.6,35.0,35.3,125600,39.60,34.60,37.1,-1.80,-4.85,0,0,0
HPB,07/27/2010,37.7,38.0,36.6,37.1,101400,40.60,35.40,38.0,-0.90,-2.37,10000,0,0
HPB,07/26/2010,39.0,39.0,37.2,38.0,166700,41.80,36.40,39.1,-1.10,-2.81,0,0,0
HPB,07/23/2010,40.0,40.5,38.6,39.1,92800,42.20,36.80,39.5,-0.40,-1.01,0,0,0
HPB,07/22/2010,39.0,40.8,38.9,39.5,170400,41.60,36.20,38.9,0.60,1.54,0,0,0
HPB,07/21/2010,39.3,39.6,38.3,38.9,231300,43.90,38.30,41.1,-2.20,-5.35,10000,0,0
HPB,07/20/2010,43.2,43.5,40.3,41.1,153000,46.10,40.10,43.1,-2.00,-4.64,0,0,0
HPB,07/19/2010,40.7,43.5,40.7,43.1,180000,43.50,37.90,40.7,2.40,5.90,0,0,0
HPB,07/16/2010,40.0,42.0,39.8,40.7,267300,43.50,37.90,40.7,0.00,0.00,0,0,0
HPB,07/15/2010,43.9,43.9,39.9,40.7,323900,45.70,39.90,42.8,-2.10,-4.91,0,0,0
HPB,07/14/2010,45.0,45.0,42.0,42.8,379500,47.70,41.50,44.6,-1.80,-4.04,0,0,0
HPB,07/13/2010,45.0,45.9,43.7,44.6,222600,46.50,40.50,43.5,1.10,2.53,0,0,0
HPB,07/12/2010,43.3,45.8,43.3,43.5,404800,49.70,43.30,46.5,-3.00,-6.45,0,0,0
