MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
HPG,08/09/2010,36.8,36.8,35.8,36.2,386720,38.80,35.20,37.0,-0.80,-2.16,0,109640,0
HPG,08/06/2010,36.3,37.0,35.9,37.0,317880,38.10,34.50,36.3,0.70,1.93,20000,57560,142660
HPG,08/05/2010,36.6,37.0,36.3,36.3,145120,38.60,35.00,36.8,-0.50,-1.36,0,21900,20250
HPG,08/04/2010,36.4,36.8,36.2,36.8,432320,38.20,34.60,36.4,0.40,1.10,0,200120,206390
HPG,08/03/2010,36.0,37.1,36.0,36.4,504480,37.50,34.10,35.8,0.60,1.68,0,85500,7420
HPG,08/02/2010,35.8,35.9,35.6,35.8,266850,37.50,34.10,35.8,0.00,0.00,0,400,188110
HPG,07/30/2010,36.3,36.3,35.6,35.8,438740,37.10,33.70,35.4,0.40,1.13,0,50000,285800
HPG,07/29/2010,35.6,36.6,35.4,35.4,472220,38.50,34.90,36.7,-1.30,-3.54,0,11700,391010
HPG,07/28/2010,37.4,37.5,36.6,36.7,318900,39.20,35.60,37.4,-0.70,-1.87,0,40200,168210
HPG,07/27/2010,37.9,37.9,37.3,37.4,476650,39.70,36.10,37.9,-0.50,-1.32,0,120600,24310
HPG,07/26/2010,37.3,38.0,37.3,37.9,166160,39.90,36.10,38.0,-0.10,-0.26,0,111470,23420
HPG,07/23/2010,38.2,38.2,38.0,38.0,260170,40.10,36.30,38.2,-0.20,-0.52,0,70000,47000
HPG,07/22/2010,38.5,38.5,38.2,38.2,114970,40.40,36.60,38.5,-0.30,-0.78,0,43000,39230
HPG,07/21/2010,38.3,38.6,38.3,38.5,193420,40.80,37.00,38.9,-0.40,-1.03,0,10,0
HPG,07/20/2010,39.0,39.0,38.7,38.9,166700,40.90,37.10,39.0,-0.10,-0.26,0,6200,79820
HPG,07/19/2010,38.5,39.0,38.5,39.0,229210,40.90,37.10,39.0,0.00,0.00,0,115450,4240
HPG,07/16/2010,39.4,39.4,39.0,39.0,176920,40.90,37.10,39.0,0.00,0.00,0,66250,0
HPG,07/15/2010,39.1,39.6,39.0,39.0,177430,41.10,37.30,39.2,-0.20,-0.51,38000,9800,11400
HPG,07/14/2010,40.0,40.0,39.2,39.2,273770,42.00,38.00,40.0,-0.80,-2.00,0,104750,400
HPG,07/13/2010,39.1,40.4,38.9,40.0,358710,40.70,36.90,38.8,1.20,3.09,0,179500,102150
HPG,07/12/2010,38.8,38.9,38.6,38.8,271470,40.70,36.90,38.8,0.00,0.00,0,87480,48880
HPG,07/09/2010,39.1,39.1,38.5,38.8,264450,40.70,36.90,38.8,0.00,0.00,0,89210,1950
HPG,07/08/2010,39.5,39.7,38.8,38.8,161800,41.10,37.30,39.2,-0.40,-1.02,0,22110,25090
HPG,07/07/2010,40.0,40.2,39.2,39.2,120370,42.00,38.00,40.0,-0.80,-2.00,0,40210,26150
HPG,07/06/2010,41.0,41.0,40.0,40.0,213890,43.00,39.00,41.0,-1.00,-2.44,100000,93530,870
HPG,07/05/2010,40.5,41.0,40.5,41.0,274180,42.50,38.50,40.5,0.50,1.23,0,0,0
HPG,07/02/2010,41.0,41.0,40.4,40.5,378360,42.80,38.80,40.8,-0.30,-0.74,0,174500,180510
