MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
ICF,08/09/2010,14.8,15.0,14.3,14.3,68540,15.70,14.30,15.0,-0.70,-4.67,0,0,0
ICF,08/06/2010,15.4,15.8,15.0,15.0,98010,16.20,14.80,15.5,-0.50,-3.23,0,1580,0
ICF,08/05/2010,15.3,15.6,15.3,15.5,169050,16.20,14.80,15.5,0.00,0.00,0,0,0
ICF,08/04/2010,15.9,15.9,15.3,15.5,57010,16.50,15.10,15.8,-0.30,-1.90,0,3420,0
ICF,08/03/2010,16.7,16.7,15.8,15.8,105390,16.90,15.30,16.1,-0.30,-1.86,0,0,0
ICF,08/02/2010,16.1,17.0,16.1,16.1,62450,17.60,16.00,16.8,-0.70,-4.17,0,300,0
ICF,07/30/2010,16.8,16.8,16.2,16.8,30690,17.00,15.40,16.2,0.60,3.70,50000,0,0
ICF,07/29/2010,16.3,16.7,16.2,16.2,40350,17.30,15.70,16.5,-0.30,-1.82,99000,200,0
ICF,07/28/2010,17.2,17.2,16.5,16.5,539480,17.60,16.00,16.8,-0.30,-1.79,0,0,0
ICF,07/27/2010,16.1,16.8,16.1,16.8,273660,16.80,15.20,16.0,0.80,5.00,0,0,0
ICF,07/26/2010,0.0,16.7,16.0,16.0,99760,17.30,15.70,16.5,-0.50,-3.03,0,0,0
ICF,07/23/2010,0.0,16.8,16.4,16.5,68730,17.30,15.70,16.5,0.00,0.00,0,0,0
ICF,07/22/2010,0.0,17.1,16.5,16.5,81060,17.80,16.20,17.0,-0.50,-2.94,0,0,0
ICF,07/21/2010,17.4,17.5,17.0,17.0,73710,18.20,16.60,17.4,-0.40,-2.30,0,0,0
ICF,07/20/2010,16.9,17.4,16.8,17.4,404140,17.40,15.80,16.6,0.80,4.82,0,0,0
ICF,07/19/2010,16.4,16.8,16.4,16.6,233140,17.20,15.60,16.4,0.20,1.22,0,0,0
ICF,07/16/2010,16.8,16.8,16.4,16.4,60770,17.30,15.70,16.5,-0.10,-0.61,0,0,0
ICF,07/15/2010,16.8,16.8,16.5,16.5,128580,17.60,16.00,16.8,-0.30,-1.79,25000,10000,0
ICF,07/14/2010,17.4,17.7,16.8,16.8,93080,18.20,16.60,17.4,-0.60,-3.45,0,0,0
ICF,07/13/2010,0.0,17.5,16.9,17.4,93560,17.70,16.10,16.9,0.50,2.96,0,0,0
ICF,07/12/2010,16.6,17.5,16.6,16.9,32750,17.70,16.10,16.9,0.00,0.00,0,0,0
ICF,07/09/2010,16.7,17.2,16.4,16.9,63070,17.70,16.10,16.9,0.00,0.00,0,0,0
ICF,07/08/2010,16.9,17.3,16.9,16.9,86030,17.70,16.10,16.9,0.00,0.00,198000,0,0
ICF,07/07/2010,17.6,17.6,16.9,16.9,101140,17.80,16.20,17.0,-0.10,-0.59,0,0,0
ICF,07/06/2010,17.5,17.6,17.0,17.0,71430,18.30,16.70,17.5,-0.50,-2.86,32000,0,0
ICF,07/05/2010,17.8,17.9,17.5,17.5,97320,18.60,17.00,17.8,-0.30,-1.69,0,0,0
ICF,07/02/2010,18.3,18.3,17.7,17.8,158120,18.60,17.00,17.8,0.00,0.00,0,0,0
ICF,07/01/2010,18.6,18.6,17.8,17.8,81890,19.30,17.50,18.4,-0.60,-3.26,0,0,0
ICF,06/30/2010,18.3,18.4,17.8,18.4,240320,19.30,17.50,18.4,0.00,0.00,68600,0,1000
ICF,06/29/2010,17.8,18.6,17.8,18.4,285070,18.60,17.00,17.8,0.60,3.37,0,0,7000
ICF,06/28/2010,18.4,18.4,17.6,17.8,191210,18.60,17.00,17.8,0.00,0.00,0,0,0
ICF,06/25/2010,18.7,18.7,17.8,17.8,220100,19.60,17.80,18.7,-0.90,-4.81,0,0,0
ICF,06/24/2010,18.5,18.8,18.5,18.7,103000,19.40,17.60,18.5,0.20,1.08,0,0,0
ICF,06/23/2010,18.4,19.0,18.4,18.5,109900,19.80,18.00,18.9,-0.40,-2.12,0,0,0
ICF,06/22/2010,19.7,19.9,18.9,18.9,138750,20.60,18.80,19.7,-0.80,-4.06,0,0,0
