MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
KSD,08/09/2010,25.0,25.0,23.3,24.5,76400,26.70,23.30,25.0,-0.50,-2.00,0,0,0
KSD,08/06/2010,24.2,25.8,24.2,25.0,39400,27.30,23.90,25.6,-0.60,-2.34,0,0,0
KSD,08/05/2010,25.9,26.7,24.7,25.6,35200,26.80,23.40,25.1,0.50,1.99,0,0,0
KSD,08/04/2010,26.1,26.1,24.7,25.1,57300,28.10,24.50,26.3,-1.20,-4.56,0,0,0
KSD,08/03/2010,27.5,27.5,26.1,26.3,78300,29.90,26.10,28.0,-1.70,-6.07,0,0,0
KSD,08/02/2010,27.0,28.1,24.6,28.0,179000,28.10,24.50,26.3,1.70,6.46,0,0,0
KSD,07/30/2010,26.3,27.4,25.7,26.3,104800,27.40,24.00,25.7,0.60,2.33,0,0,0
KSD,07/29/2010,26.3,26.3,25.5,25.7,37100,27.40,24.00,25.7,0.00,0.00,0,0,0
KSD,07/28/2010,27.3,27.3,25.4,25.7,163800,29.20,25.40,27.3,-1.60,-5.86,0,0,0
KSD,07/27/2010,28.4,28.4,26.8,27.3,44200,30.00,26.20,28.1,-0.80,-2.85,0,0,0
KSD,07/26/2010,29.5,29.5,27.9,28.1,112200,31.90,27.90,29.9,-1.80,-6.02,0,0,0
KSD,07/23/2010,32.7,32.9,28.8,29.9,155400,32.90,28.70,30.8,-0.90,-2.92,0,0,0
KSD,07/22/2010,30.5,30.8,28.9,30.8,415100,30.80,26.80,28.8,2.00,6.94,0,0,0
KSD,07/21/2010,28.0,28.8,28.0,28.8,244100,28.80,25.20,27.0,1.80,6.67,0,2000,0
KSD,07/20/2010,26.3,27.9,26.3,27.0,35100,28.50,24.90,26.7,0.30,1.12,0,0,0
KSD,07/19/2010,26.0,27.0,26.0,26.7,29100,28.60,25.00,26.8,-0.10,-0.37,0,0,0
KSD,07/16/2010,27.2,27.3,26.6,26.8,19300,28.40,24.80,26.6,0.20,0.75,0,0,0
KSD,07/15/2010,26.6,27.5,26.2,26.6,27700,29.40,25.60,27.5,-0.90,-3.27,0,0,0
KSD,07/14/2010,27.5,28.0,27.2,27.5,17900,29.60,25.80,27.7,-0.20,-0.72,0,0,0
