MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
L35,08/09/2010,22.9,24.0,21.3,21.3,66700,24.30,21.30,22.8,-1.50,-6.58,0,0,0
L35,08/06/2010,23.0,23.4,22.4,22.8,26800,24.50,21.30,22.9,-0.10,-0.44,0,0,0
L35,08/05/2010,25.0,25.0,22.4,22.9,58400,25.00,21.80,23.4,-0.50,-2.14,0,0,0
L35,08/04/2010,23.6,24.0,23.0,23.4,36600,26.00,22.60,24.3,-0.90,-3.70,0,0,0
L35,08/03/2010,25.6,25.6,24.0,24.3,72900,27.40,24.00,25.7,-1.40,-5.45,0,0,0
L35,08/02/2010,26.5,26.5,25.0,25.7,19800,28.40,24.80,26.6,-0.90,-3.38,0,0,0
L35,07/30/2010,25.3,27.0,25.3,26.6,51600,27.00,23.60,25.3,1.30,5.14,0,0,0
L35,07/29/2010,24.0,26.0,23.5,25.3,45500,26.80,23.40,25.1,0.20,0.80,0,0,0
L35,07/28/2010,26.5,26.5,24.8,25.1,81100,28.40,24.80,26.6,-1.50,-5.64,0,0,0
L35,07/27/2010,27.4,28.2,26.0,26.6,46000,29.70,25.90,27.8,-1.20,-4.32,0,0,0
L35,07/26/2010,28.3,28.3,27.0,27.8,79600,30.00,26.20,28.1,-0.30,-1.07,0,0,0
L35,07/23/2010,28.5,28.6,27.5,28.1,76200,30.30,26.50,28.4,-0.30,-1.06,0,0,0
L35,07/22/2010,30.3,30.3,28.3,28.4,114500,32.50,28.30,30.4,-2.00,-6.58,0,0,0
L35,07/21/2010,30.8,31.4,30.2,30.4,145900,34.60,30.20,32.4,-2.00,-6.17,0,0,0
L35,07/20/2010,32.5,34.5,31.5,32.4,116900,34.70,30.30,32.5,-0.10,-0.31,0,0,0
L35,07/19/2010,31.0,33.3,30.0,32.5,281500,33.30,29.10,31.2,1.30,4.17,0,0,2000
L35,07/16/2010,31.0,32.0,30.5,31.2,147500,33.80,29.40,31.6,-0.40,-1.27,0,0,0
L35,07/15/2010,33.0,35.0,31.0,31.6,277600,35.40,30.80,33.1,-1.50,-4.53,0,0,0
L35,07/14/2010,33.9,33.9,31.1,33.1,140000,33.90,29.50,31.7,1.40,4.42,0,0,0
L35,07/13/2010,31.5,31.7,31.2,31.7,177300,31.70,27.70,29.7,2.00,6.73,0,0,0
L35,07/12/2010,28.5,29.8,28.5,29.7,262200,29.80,26.00,27.9,1.80,6.45,0,2000,0
L35,07/09/2010,25.9,29.0,25.9,27.9,390800,29.70,25.90,27.8,0.10,0.36,0,0,0
L35,07/08/2010,29.0,29.5,27.0,27.8,67200,31.00,27.00,29.0,-1.20,-4.14,0,0,0
L35,07/07/2010,27.0,30.0,27.0,29.0,132500,30.00,26.20,28.1,0.90,3.20,0,0,0
L35,07/06/2010,28.0,28.7,28.0,28.1,201300,30.80,26.80,28.8,-0.70,-2.43,0,0,0
L35,07/05/2010,28.5,29.9,27.7,28.8,93300,30.90,26.90,28.9,-0.10,-0.35,0,0,0
L35,07/02/2010,27.0,29.6,25.9,28.9,224100,29.60,25.80,27.7,1.20,4.33,0,0,0
L35,07/01/2010,28.8,28.9,27.0,27.7,73900,30.70,26.70,28.7,-1.00,-3.48,0,0,0
L35,06/30/2010,28.5,29.5,27.6,28.7,171100,29.50,25.70,27.6,1.10,3.99,0,0,0
L35,06/29/2010,27.0,28.3,25.0,27.6,228100,28.30,24.70,26.5,1.10,4.15,0,0,0
L35,06/28/2010,28.4,28.4,24.8,26.5,278700,28.40,24.80,26.6,-0.10,-0.38,0,0,0
L35,06/25/2010,26.6,26.6,26.2,26.6,220100,26.60,23.20,24.9,1.70,6.83,0,0,0
L35,06/24/2010,24.9,24.9,24.9,24.9,101700,24.90,21.70,23.3,1.60,6.87,0,0,0
