MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
MAC,08/09/2010,19.5,19.5,17.6,17.6,66400,20.20,17.60,18.9,-1.30,-6.88,0,0,0
MAC,08/06/2010,18.5,19.4,18.5,18.9,60900,19.50,17.10,18.3,0.60,3.28,0,0,0
MAC,08/05/2010,18.3,18.8,17.6,18.3,71900,18.80,16.40,17.6,0.70,3.98,12000,0,0
MAC,08/04/2010,18.0,18.0,17.6,17.6,95000,20.20,17.60,18.9,-1.30,-6.88,10000,0,0
MAC,08/03/2010,19.3,19.5,18.6,18.9,75000,21.40,18.60,20.0,-1.10,-5.50,0,0,0
MAC,08/02/2010,20.5,20.5,19.8,20.0,31900,21.80,19.00,20.4,-0.40,-1.96,18800,1000,0
MAC,07/30/2010,20.3,20.8,19.6,20.4,79600,21.70,18.90,20.3,0.10,0.49,0,0,0
MAC,07/29/2010,21.4,21.4,19.7,20.3,90300,21.70,18.90,20.3,0.00,0.00,0,0,0
MAC,07/28/2010,20.9,20.9,20.0,20.3,32100,23.00,20.00,21.5,-1.20,-5.58,0,0,0
MAC,07/27/2010,22.0,22.1,21.2,21.5,52900,23.60,20.60,22.1,-0.60,-2.71,0,0,0
MAC,07/26/2010,22.5,22.5,21.7,22.1,47900,23.70,20.70,22.2,-0.10,-0.45,0,0,0
MAC,07/23/2010,21.5,22.7,21.5,22.2,85600,23.10,20.10,21.6,0.60,2.78,0,0,0
MAC,07/22/2010,22.1,22.1,21.4,21.6,55800,24.10,21.10,22.6,-1.00,-4.42,0,0,0
MAC,07/21/2010,23.0,23.0,22.4,22.6,66200,24.20,21.20,22.7,-0.10,-0.44,0,0,0
MAC,07/20/2010,23.9,24.0,22.3,22.7,102200,24.60,21.40,23.0,-0.30,-1.30,0,0,0
MAC,07/19/2010,23.0,23.0,22.9,23.0,106500,23.00,20.00,11.8,11.20,94.92,0,0,0
MAC,07/16/2010,27.5,28.0,27.4,27.6,114200,29.60,25.80,27.7,-0.10,-0.36,19000,0,0
MAC,07/15/2010,28.4,28.4,27.4,27.7,62700,30.00,26.20,28.1,-0.40,-1.42,0,300,0
MAC,07/14/2010,29.0,29.0,27.5,28.1,115200,30.40,26.60,28.5,-0.40,-1.40,0,0,0
MAC,07/13/2010,28.8,28.9,28.0,28.5,87800,29.50,25.70,27.6,0.90,3.26,0,800,0
MAC,07/12/2010,27.2,28.2,27.0,27.6,60300,29.50,25.70,27.6,0.00,0.00,0,5700,0
MAC,07/09/2010,28.8,28.8,27.0,27.6,94800,28.80,25.20,27.0,0.60,2.22,0,0,0
MAC,07/08/2010,27.6,27.6,26.5,27.0,81600,28.80,25.20,27.0,0.00,0.00,0,0,0
MAC,07/07/2010,27.7,28.0,26.2,27.0,61600,29.30,25.50,27.4,-0.40,-1.46,0,0,0
MAC,07/06/2010,29.0,29.0,27.0,27.4,59400,30.40,26.60,28.5,-1.10,-3.86,0,0,0
MAC,07/05/2010,27.3,29.1,27.3,28.5,54100,29.20,25.40,27.3,1.20,4.40,0,0,0
MAC,07/02/2010,27.2,27.5,27.0,27.3,123100,29.30,25.50,27.4,-0.10,-0.36,0,0,0
MAC,07/01/2010,28.2,28.2,27.0,27.4,95700,29.90,26.10,28.0,-0.60,-2.14,0,0,0
MAC,06/30/2010,28.0,28.5,27.7,28.0,126200,31.10,27.10,29.1,-1.10,-3.78,0,0,0
MAC,06/29/2010,29.0,30.0,28.1,29.1,76400,30.30,26.50,28.4,0.70,2.46,0,0,0
MAC,06/28/2010,28.2,29.0,28.0,28.4,68100,30.90,26.90,28.9,-0.50,-1.73,0,0,0
MAC,06/25/2010,28.3,29.9,28.2,28.9,139800,32.10,27.90,30.0,-1.10,-3.67,0,0,1000
MAC,06/24/2010,30.8,31.0,29.1,30.0,96100,32.80,28.60,30.7,-0.70,-2.28,0,0,0
MAC,06/23/2010,29.8,31.9,29.8,30.7,82200,34.10,29.70,31.9,-1.20,-3.76,0,0,0
MAC,06/22/2010,31.0,32.1,30.5,31.9,369300,32.10,27.90,30.0,1.90,6.33,0,0,5000
MAC,06/21/2010,27.0,30.7,27.0,30.0,266500,30.70,26.70,28.7,1.30,4.53,0,0,0
MAC,06/18/2010,28.8,29.9,28.0,28.7,86100,30.90,26.90,28.9,-0.20,-0.69,0,0,0
MAC,06/17/2010,30.4,31.0,28.2,28.9,109800,32.30,28.10,30.2,-1.30,-4.30,0,0,0
MAC,06/16/2010,29.9,31.3,29.1,30.2,144300,31.40,27.40,29.4,0.80,2.72,0,0,0
MAC,06/15/2010,30.4,30.5,28.2,29.4,147100,30.80,26.80,28.8,0.60,2.08,0,0,0
MAC,06/14/2010,26.5,29.2,26.5,28.8,243600,29.20,25.40,27.3,1.50,5.49,0,0,10000
MAC,06/11/2010,28.7,28.8,26.2,27.3,94200,29.10,25.30,27.2,0.10,0.37,0,0,0
MAC,06/10/2010,27.0,27.9,26.5,27.2,51100,28.80,25.20,27.0,0.20,0.74,0,0,0
MAC,06/09/2010,26.9,27.1,26.7,27.0,160600,27.10,23.70,25.4,1.60,6.30,0,0,0
MAC,06/08/2010,24.2,27.5,24.2,25.4,162900,27.80,24.20,26.0,-0.60,-2.31,0,0,0
MAC,06/07/2010,26.0,26.9,26.0,26.0,77500,29.80,26.00,27.9,-1.90,-6.81,0,0,0
MAC,06/04/2010,27.7,29.0,27.4,27.9,160500,31.30,27.30,29.3,-1.40,-4.78,0,0,0
MAC,06/03/2010,31.5,31.6,28.3,29.3,96800,31.80,27.80,29.8,-0.50,-1.68,0,0,0
MAC,06/02/2010,28.6,30.6,28.0,29.8,171800,30.60,26.60,28.6,1.20,4.20,0,0,2000
MAC,06/01/2010,29.5,29.5,26.5,28.6,182200,30.10,26.30,28.2,0.40,1.42,0,0,0
MAC,05/31/2010,28.2,28.2,27.5,28.2,312100,28.20,24.60,26.4,1.80,6.82,0,0,0
MAC,05/28/2010,26.4,26.4,26.4,26.4,3800,26.40,23.00,24.7,1.70,6.88,0,0,0
MAC,05/27/2010,24.7,24.7,24.5,24.7,108000,24.70,21.50,23.1,1.60,6.93,0,0,0
MAC,05/26/2010,22.5,23.4,22.3,23.1,24500,23.40,20.40,21.9,1.20,5.48,0,0,0
MAC,05/25/2010,20.1,23.0,20.1,21.9,137100,23.00,20.00,21.5,0.40,1.86,0,2000,0
MAC,05/24/2010,21.3,24.0,21.3,21.5,112700,24.30,21.30,22.8,-1.30,-5.70,0,0,0
MAC,05/21/2010,22.8,22.8,22.8,22.8,19400,26.20,22.80,24.5,-1.70,-6.94,0,0,0
MAC,05/20/2010,26.0,26.0,24.3,24.5,247700,27.90,24.30,26.1,-1.60,-6.13,0,0,12500
MAC,05/19/2010,26.3,26.5,26.1,26.1,6900,29.90,26.10,28.0,-1.90,-6.79,13000,0,0
MAC,05/18/2010,28.1,29.0,28.0,28.0,40200,32.20,28.00,30.1,-2.10,-6.98,0,0,0
MAC,05/17/2010,29.6,31.0,28.3,30.1,167600,31.00,27.00,29.0,1.10,3.79,0,0,12500
MAC,05/14/2010,28.7,30.5,28.7,29.0,233700,32.90,28.70,30.8,-1.80,-5.84,0,0,0
MAC,05/13/2010,30.7,32.9,30.7,30.8,127600,35.30,30.70,33.0,-2.20,-6.67,5000,0,0
MAC,05/12/2010,33.0,33.3,33.0,33.0,7000,37.80,33.00,35.4,-2.40,-6.78,0,0,0
MAC,05/11/2010,35.8,38.3,33.3,35.4,210900,38.30,33.30,35.8,-0.40,-1.12,0,0,30000
MAC,05/10/2010,35.7,37.0,35.7,35.8,205300,40.90,35.70,38.3,-2.50,-6.53,10500,0,0
MAC,05/07/2010,39.6,41.0,36.9,38.3,359600,42.30,36.90,39.6,-1.30,-3.28,0,0,0
MAC,05/06/2010,39.0,42.0,37.6,39.6,234300,42.90,37.30,40.1,-0.50,-1.25,0,0,0
MAC,05/05/2010,40.1,41.0,39.0,40.1,151900,44.00,38.40,41.2,-1.10,-2.67,0,0,0
MAC,05/04/2010,42.0,42.0,38.8,41.2,412100,42.00,36.60,39.3,1.90,4.83,0,30000,0
MAC,04/29/2010,37.0,39.8,36.5,39.3,570500,39.80,34.60,37.2,2.10,5.65,0,0,0
MAC,04/28/2010,38.5,38.6,36.9,37.2,363200,42.30,36.90,39.6,-2.40,-6.06,0,0,0
MAC,04/27/2010,40.0,40.6,38.6,39.6,244400,41.70,36.30,39.0,0.60,1.54,5000,0,0
MAC,04/26/2010,37.2,41.1,36.5,39.0,363500,41.30,35.90,38.6,0.40,1.04,0,0,0
MAC,04/22/2010,41.5,41.9,37.0,38.6,360200,41.90,36.50,39.2,-0.60,-1.53,0,30000,0
MAC,04/21/2010,39.8,39.9,36.6,39.2,531100,39.90,34.70,37.3,1.90,5.09,8000,10000,0
MAC,04/20/2010,37.3,37.3,37.2,37.3,338200,37.30,32.50,34.9,2.40,6.88,0,0,0
MAC,04/19/2010,35.0,35.0,33.0,34.9,434000,35.00,30.60,32.8,2.10,6.40,0,0,0
MAC,04/16/2010,32.8,32.8,32.8,32.8,31400,32.80,28.60,30.7,2.10,6.84,0,0,0
MAC,04/15/2010,30.7,30.7,30.7,30.7,31100,30.70,26.70,28.7,2.00,6.97,50000,0,0
MAC,04/14/2010,27.2,28.9,27.2,28.7,56000,28.90,25.30,27.1,1.60,5.90,0,0,0
MAC,04/13/2010,26.9,29.0,26.9,27.1,386100,30.90,26.90,28.9,-1.80,-6.23,0,0,0
MAC,04/12/2010,30.0,32.2,28.0,28.9,400500,32.20,28.00,30.1,-1.20,-3.99,5000,0,0
MAC,04/09/2010,30.7,30.9,28.7,30.1,359600,30.90,26.90,28.9,1.20,4.15,0,0,3000
MAC,04/08/2010,29.0,29.1,27.5,28.9,839000,29.10,25.30,27.2,1.70,6.25,0,1000,0
MAC,04/07/2010,27.2,27.2,26.9,27.2,225500,27.20,23.80,25.5,1.70,6.67,0,0,0
MAC,04/06/2010,25.5,25.5,24.6,25.5,236800,25.50,22.30,23.9,1.60,6.69,60000,0,0
MAC,04/05/2010,23.9,23.9,23.9,23.9,155600,23.90,20.90,22.4,1.50,6.70,49700,0,0
MAC,04/02/2010,21.2,22.6,20.5,22.4,392500,22.60,19.80,21.2,1.20,5.66,0,0,0
MAC,04/01/2010,20.9,22.3,20.9,21.2,313400,23.90,20.90,22.4,-1.20,-5.36,150000,0,0
MAC,03/31/2010,22.5,22.5,21.8,22.4,519600,22.50,19.70,21.1,1.30,6.16,7000,0,0
MAC,03/30/2010,21.1,21.1,21.0,21.1,423300,21.10,18.50,19.8,1.30,6.57,0,0,0
MAC,03/29/2010,19.9,19.9,19.0,19.8,469800,19.90,17.30,18.6,1.20,6.45,7700,3000,0
MAC,03/26/2010,17.9,18.7,17.9,18.6,166900,18.70,16.30,17.5,1.10,6.29,0,0,0
MAC,03/25/2010,18.5,18.5,17.4,17.5,175900,20.00,17.40,18.7,-1.20,-6.42,100000,0,4000
MAC,03/24/2010,20.3,20.3,18.1,18.7,105600,20.70,18.10,19.4,-0.70,-3.61,0,0,0
MAC,03/23/2010,19.4,19.4,18.5,19.4,211800,19.40,17.00,18.2,1.20,6.59,0,0,0
MAC,03/22/2010,18.4,18.4,17.4,18.2,258400,18.40,16.00,17.2,1.00,5.81,0,0,0
MAC,03/19/2010,17.2,17.2,17.0,17.2,181000,17.20,15.00,16.1,1.10,6.83,0,4000,0
MAC,03/18/2010,16.1,16.1,16.0,16.1,81700,16.10,14.10,15.1,1.00,6.62,50000,0,0
MAC,03/17/2010,14.9,15.1,14.5,15.1,73200,15.10,13.30,14.2,0.90,6.34,0,0,0
MAC,03/16/2010,14.0,14.7,13.8,14.2,14800,14.70,12.90,13.8,0.40,2.90,0,0,0
MAC,03/15/2010,14.0,14.0,13.7,13.8,19900,14.90,13.10,14.0,-0.20,-1.43,0,0,0
MAC,03/12/2010,14.0,14.1,14.0,14.0,9900,14.90,13.10,14.0,0.00,0.00,0,0,0
MAC,03/11/2010,14.0,14.2,14.0,14.0,4600,15.80,13.80,14.8,-0.80,-5.41,0,0,0
MAC,03/10/2010,14.8,14.8,14.8,14.8,200,15.30,13.30,14.3,0.50,3.50,0,0,0
MAC,03/09/2010,14.3,14.3,14.1,14.3,43000,14.30,12.50,13.4,0.90,6.72,0,0,0
MAC,03/08/2010,13.4,14.1,13.2,13.4,26300,14.10,12.30,13.2,0.20,1.52,0,0,0
MAC,03/05/2010,13.0,13.3,13.0,13.2,10100,13.90,12.10,13.0,0.20,1.54,0,0,0
MAC,03/04/2010,13.0,13.0,13.0,13.0,500,14.80,13.00,13.9,-0.90,-6.47,0,0,0
MAC,03/03/2010,14.0,14.0,13.8,13.9,4700,14.50,12.70,13.6,0.30,2.21,0,0,0
MAC,03/02/2010,14.1,14.1,13.4,13.6,2000,15.00,13.20,14.1,-0.50,-3.55,0,0,0
MAC,03/01/2010,14.1,14.1,14.1,14.1,900,15.00,13.20,14.1,0.00,0.00,0,0,0
MAC,02/26/2010,14.1,14.1,14.1,14.1,1000,15.10,13.30,14.2,-0.10,-0.70,0,0,0
MAC,02/25/2010,14.2,14.2,14.2,14.2,100,14.20,12.40,13.3,0.90,6.77,0,0,0
MAC,02/24/2010,14.0,14.0,13.0,13.3,2400,14.30,12.50,13.4,-0.10,-0.75,0,0,0
MAC,02/23/2010,14.0,14.0,13.3,13.4,3400,15.10,13.30,14.2,-0.80,-5.63,0,0,0
MAC,02/22/2010,14.0,15.0,14.0,14.2,2800,15.00,13.20,14.1,0.10,0.71,0,0,0
MAC,02/12/2010,14.0,14.3,14.0,14.1,15400,14.90,13.10,14.0,0.10,0.71,0,0,0
MAC,02/11/2010,14.0,14.0,14.0,14.0,1000,14.90,13.10,14.0,0.00,0.00,0,0,0
MAC,02/10/2010,14.0,14.0,14.0,14.0,5000,14.90,13.10,14.0,0.00,0.00,0,0,0
MAC,02/09/2010,14.0,14.0,14.0,14.0,200,14.80,13.00,13.9,0.10,0.72,0,0,0
MAC,02/08/2010,14.0,14.0,13.7,13.9,12900,15.50,13.50,14.5,-0.60,-4.14,0,0,0
MAC,02/05/2010,14.5,14.9,14.3,14.5,3500,15.90,13.90,14.9,-0.40,-2.68,0,0,0
MAC,02/04/2010,14.9,14.9,14.9,14.9,600,16.00,14.00,15.0,-0.10,-0.67,0,0,0
MAC,02/03/2010,15.0,15.0,15.0,15.0,1000,15.70,13.70,14.7,0.30,2.04,0,0,0
MAC,02/02/2010,14.8,14.8,14.7,14.7,800,15.80,13.80,14.8,-0.10,-0.68,0,0,0
MAC,02/01/2010,14.8,14.8,14.8,14.8,100,15.10,13.30,14.2,0.60,4.23,0,0,0
MAC,01/29/2010,14.2,14.2,14.2,14.2,3100,15.10,13.30,14.2,0.00,0.00,0,0,0
MAC,01/28/2010,14.3,14.5,14.0,14.2,15300,15.90,13.90,14.9,-0.70,-4.70,0,0,0
MAC,01/27/2010,15.2,15.2,14.8,14.9,5100,16.40,14.40,15.4,-0.50,-3.25,0,0,2400
MAC,01/26/2010,15.5,15.8,15.0,15.4,15500,15.90,13.90,14.9,0.50,3.36,0,0,0
MAC,01/25/2010,14.0,15.2,14.0,14.9,10400,16.00,14.00,15.0,-0.10,-0.67,0,0,0
MAC,01/22/2010,13.6,15.2,13.6,15.0,18600,15.50,13.50,14.5,0.50,3.45,0,0,0
MAC,01/21/2010,14.6,15.0,14.1,14.5,10100,15.80,13.80,14.8,-0.30,-2.03,0,0,0
MAC,01/20/2010,14.8,14.9,14.7,14.8,21800,16.50,14.50,15.5,-0.70,-4.52,0,0,0
MAC,01/19/2010,16.0,16.0,14.8,15.5,6700,16.00,14.00,15.0,0.50,3.33,0,0,0
MAC,01/18/2010,16.2,16.2,14.6,15.0,15500,16.30,14.30,15.3,-0.30,-1.96,0,0,0
MAC,01/15/2010,15.2,15.3,15.2,15.3,67200,15.30,13.30,14.3,1.00,6.99,28000,0,0
MAC,01/14/2010,14.0,14.6,14.0,14.3,39300,14.60,12.80,13.7,0.60,4.38,0,0,0
MAC,01/13/2010,14.7,14.7,13.0,13.7,7700,14.80,13.00,13.9,-0.20,-1.44,0,0,0
MAC,01/12/2010,14.0,14.0,13.5,13.9,16500,15.30,13.30,14.3,-0.40,-2.80,0,0,0
MAC,01/11/2010,14.5,14.5,13.8,14.3,5200,15.40,13.40,14.4,-0.10,-0.69,0,0,0
MAC,01/08/2010,14.4,14.7,13.6,14.4,24300,14.70,12.90,13.8,0.60,4.35,0,0,0
MAC,01/07/2010,14.5,14.5,13.6,13.8,19800,15.60,13.60,14.6,-0.80,-5.48,0,0,0
MAC,01/06/2010,14.5,15.0,14.5,14.6,400,16.30,14.30,15.3,-0.70,-4.58,0,0,0
MAC,01/05/2010,15.6,15.6,15.0,15.3,6500,15.70,13.70,14.7,0.60,4.08,0,0,0
MAC,01/04/2010,13.3,14.9,13.3,14.7,40600,14.90,13.10,14.0,0.70,5.00,0,2400,0
MAC,12/31/2009,14.0,14.1,14.0,14.0,43100,16.00,14.00,15.0,-1.00,-6.67,0,0,0
MAC,12/30/2009,15.0,15.0,15.0,15.0,500,17.20,15.00,16.1,-1.10,-6.83,0,0,0
MAC,12/29/2009,16.1,16.1,16.1,16.1,1700,18.50,16.10,17.3,-1.20,-6.94,0,0,0
MAC,12/28/2009,17.3,17.3,17.3,17.3,100,19.90,17.30,18.6,-1.30,-6.99,0,0,0
MAC,12/25/2009,18.6,18.6,18.6,18.6,6600,21.20,18.60,19.9,-1.30,-6.53,0,0,0
