MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
MCG,08/09/2010,36.7,36.7,34.9,34.9,173250,38.50,34.90,36.7,-1.80,-4.90,0,0,0
MCG,08/06/2010,0.0,37.4,36.6,36.7,204970,38.80,35.20,37.0,-0.30,-0.81,245000,0,0
MCG,08/05/2010,38.2,38.7,37.0,37.0,150120,39.60,36.00,37.8,-0.80,-2.12,307500,0,0
MCG,08/04/2010,38.5,39.0,37.8,37.8,184590,41.10,37.30,39.2,-1.40,-3.57,0,0,0
MCG,08/03/2010,0.0,40.4,39.2,39.2,208100,42.00,38.00,40.0,-0.80,-2.00,200000,0,0
MCG,08/02/2010,40.5,41.5,39.8,40.0,251750,42.60,38.60,40.6,-0.60,-1.48,122960,0,0
MCG,07/30/2010,41.0,41.7,40.5,40.6,248320,42.50,38.50,40.5,0.10,0.25,60000,0,0
MCG,07/29/2010,40.5,40.5,39.6,40.5,208330,41.50,37.70,39.6,0.90,2.27,61040,0,0
MCG,07/28/2010,40.0,41.0,39.5,39.6,214880,43.00,39.00,41.0,-1.40,-3.41,20000,0,0
MCG,07/27/2010,41.4,42.5,41.0,41.0,335460,43.00,39.00,41.0,0.00,0.00,122960,0,0
MCG,07/26/2010,41.6,41.7,41.0,41.0,137380,43.80,39.80,41.8,-0.80,-1.91,0,0,0
MCG,07/23/2010,41.3,41.9,41.0,41.8,300510,43.10,39.10,41.1,0.70,1.70,151040,0,0
MCG,07/22/2010,42.0,42.0,41.0,41.1,228650,43.80,39.80,41.8,-0.70,-1.67,20000,0,2000
MCG,07/21/2010,42.5,42.5,41.8,41.8,218040,44.70,40.50,42.6,-0.80,-1.88,289960,0,0
MCG,07/20/2010,43.0,43.0,42.1,42.6,239450,44.30,40.10,42.2,0.40,0.95,270000,0,2000
MCG,07/19/2010,42.6,43.0,42.2,42.2,219400,45.10,40.90,43.0,-0.80,-1.86,331040,0,0
MCG,07/16/2010,43.1,43.7,43.0,43.0,221900,45.80,41.60,43.7,-0.70,-1.60,290000,2000,0
MCG,07/15/2010,0.0,43.8,42.5,43.7,208920,45.90,41.70,43.8,-0.10,-0.23,346960,0,0
MCG,07/14/2010,43.8,45.0,43.3,43.8,493850,45.40,41.20,43.3,0.50,1.15,310000,2000,0
MCG,07/13/2010,42.7,44.1,42.1,43.3,317000,44.10,39.90,42.0,1.30,3.10,280040,0,0
MCG,07/12/2010,42.0,42.5,41.0,42.0,146930,43.50,39.50,41.5,0.50,1.20,221000,0,0
MCG,07/09/2010,40.5,42.0,40.5,41.5,212480,42.30,38.30,40.3,1.20,2.98,304960,0,0
MCG,07/08/2010,42.5,42.5,40.3,40.3,314910,43.50,39.50,41.5,-1.20,-2.89,30000,0,0
MCG,07/07/2010,42.5,43.0,41.5,41.5,263640,44.60,40.40,42.5,-1.00,-2.35,85040,0,0
MCG,07/06/2010,44.1,44.1,42.5,42.5,201430,46.30,41.90,44.1,-1.60,-3.63,60000,0,0
MCG,07/05/2010,43.6,45.2,43.6,44.1,406770,46.20,41.80,44.0,0.10,0.23,29960,0,0
MCG,07/02/2010,44.0,44.1,43.4,44.0,439800,46.20,41.80,44.0,0.00,0.00,30000,0,0
MCG,07/01/2010,43.9,44.9,43.6,44.0,407610,46.00,41.80,43.9,0.10,0.23,0,0,0
MCG,06/30/2010,42.3,43.9,41.7,43.9,759410,45.80,41.60,43.7,0.20,0.46,20000,0,0
MCG,06/29/2010,43.9,44.8,43.5,43.7,385100,46.00,41.80,43.9,-0.20,-0.46,50000,0,0
MCG,06/28/2010,43.7,45.4,43.7,43.9,809460,45.80,41.60,43.7,0.20,0.46,0,0,0
MCG,06/25/2010,45.0,45.8,43.7,43.7,711350,47.90,43.50,45.7,-2.00,-4.38,75040,0,0
MCG,06/24/2010,47.8,48.0,45.0,45.7,1205980,48.00,43.60,45.8,-0.10,-0.22,20000,0,0
MCG,06/23/2010,45.0,45.8,44.3,45.8,1154220,45.80,41.60,43.7,2.10,4.81,0,0,0
MCG,06/22/2010,42.0,43.7,41.6,43.7,1275080,43.70,39.70,41.7,2.00,4.80,0,0,39590
MCG,06/21/2010,42.6,42.6,41.6,41.7,279390,43.80,39.80,41.8,-0.10,-0.24,146040,0,0
MCG,06/18/2010,42.0,43.0,41.7,41.8,440220,45.10,40.90,43.0,-1.20,-2.79,68000,0,0
MCG,06/17/2010,43.5,43.5,42.7,43.0,388640,46.20,41.80,44.0,-1.00,-2.27,72000,0,6360
MCG,06/16/2010,43.9,44.9,43.6,44.0,516560,45.50,41.30,43.4,0.60,1.38,47000,0,0
MCG,06/15/2010,43.0,43.6,42.1,43.4,593730,45.60,41.40,43.5,-0.10,-0.23,93650,0,0
MCG,06/14/2010,42.5,43.8,42.0,43.5,579720,44.10,39.90,42.0,1.50,3.57,108230,0,0
MCG,06/11/2010,41.3,42.0,40.8,42.0,422830,42.20,38.20,40.2,1.80,4.48,132000,0,0
MCG,06/10/2010,39.3,40.3,39.3,40.2,379710,41.20,37.40,39.3,0.90,2.29,47000,0,0
MCG,06/09/2010,40.0,40.0,39.0,39.3,342650,41.10,37.30,39.2,0.10,0.26,101040,0,2000
MCG,06/08/2010,39.9,40.2,38.8,39.2,468610,41.80,38.00,39.9,-0.70,-1.75,108230,0,0
MCG,06/07/2010,39.9,40.9,39.9,39.9,521820,44.10,39.90,42.0,-2.10,-5.00,132000,0,0
MCG,06/04/2010,42.5,43.0,41.2,42.0,552990,45.10,40.90,43.0,-1.00,-2.33,142000,11700,0
MCG,06/03/2010,44.0,44.1,43.0,43.0,429420,45.70,41.50,43.6,-0.60,-1.38,68000,0,0
MCG,06/02/2010,42.0,43.9,42.0,43.6,628020,44.40,40.20,42.3,1.30,3.07,132450,41250,0
MCG,06/01/2010,41.5,44.0,41.5,42.3,400940,45.00,40.80,42.9,-0.60,-1.40,152000,0,0
MCG,05/31/2010,44.0,45.5,42.9,42.9,755110,46.40,42.00,44.2,-1.30,-2.94,123000,0,0
MCG,05/28/2010,44.2,44.2,43.5,44.2,687760,44.20,40.00,42.1,2.10,4.99,38000,0,0
MCG,05/27/2010,41.4,42.1,40.7,42.1,723060,42.10,38.10,40.1,2.00,4.99,177230,0,0
MCG,05/26/2010,40.1,40.1,40.1,40.1,293980,40.10,36.30,38.2,1.90,4.97,162000,0,0
MCG,05/25/2010,40.0,40.5,38.1,38.2,610650,41.30,37.50,39.4,-1.20,-3.05,115000,0,0
MCG,05/24/2010,40.1,40.5,39.4,39.4,742100,43.40,39.40,41.4,-2.00,-4.83,71000,0,0
MCG,05/21/2010,41.4,41.4,41.4,41.4,79040,45.60,41.40,43.5,-2.10,-4.83,138000,0,0
MCG,05/20/2010,40.1,43.5,40.1,43.5,1344250,44.30,40.10,42.2,1.30,3.08,29000,0,0
MCG,05/19/2010,42.2,43.0,42.2,42.2,622240,46.60,42.20,44.4,-2.20,-4.95,0,0,0
MCG,05/18/2010,45.2,47.4,44.4,44.4,357780,48.80,44.20,46.5,-2.10,-4.52,60000,0,0
MCG,05/17/2010,48.0,48.6,46.5,46.5,802120,51.00,46.50,48.9,-2.40,-4.91,39000,0,0
MCG,05/14/2010,48.0,48.9,45.2,48.9,1632960,48.90,44.30,46.6,2.30,4.94,39000,5000,50000
MCG,05/13/2010,46.6,48.5,46.6,46.6,1289460,51.00,46.60,49.0,-2.40,-4.90,114000,0,0
MCG,05/12/2010,49.0,49.0,49.0,49.0,73060,54.00,49.00,51.5,-2.50,-4.85,100000,0,0
MCG,05/11/2010,53.0,54.0,51.5,51.5,895770,56.50,51.50,54.0,-2.50,-4.63,20000,2000,1000
MCG,05/10/2010,56.5,56.5,54.0,54.0,885560,59.00,54.00,56.5,-2.50,-4.42,0,0,0
MCG,05/07/2010,58.5,59.5,56.5,56.5,1565070,61.50,56.50,59.0,-2.50,-4.24,20000,0,0
MCG,05/06/2010,58.0,59.5,58.0,59.5,1423640,59.50,54.50,57.0,2.50,4.39,55000,50000,0
MCG,05/05/2010,57.0,58.5,56.5,57.0,670740,61.00,56.00,58.5,-1.50,-2.56,87000,0,0
MCG,05/04/2010,57.0,58.5,56.0,58.5,1080260,58.50,53.50,56.0,2.50,4.46,250000,0,0
MCG,04/29/2010,57.5,57.5,55.0,56.0,1052830,58.50,53.50,56.0,0.00,0.00,120000,0,0
MCG,04/28/2010,58.5,58.5,56.0,56.0,1109030,61.00,56.00,58.5,-2.50,-4.27,60000,0,0
MCG,04/27/2010,57.0,58.5,55.0,58.5,1448070,58.50,53.50,56.0,2.50,4.46,0,0,2000
MCG,04/26/2010,55.5,58.5,55.0,56.0,1084080,58.50,53.50,56.0,0.00,0.00,0,0,0
MCG,04/22/2010,58.0,58.5,56.0,56.0,1201670,61.00,56.00,58.5,-2.50,-4.27,20000,3000,0
MCG,04/21/2010,58.5,58.5,57.0,58.5,2613950,58.50,53.50,56.0,2.50,4.46,20000,480,0
MCG,04/20/2010,56.0,56.0,55.0,56.0,1399940,56.00,51.00,53.5,2.50,4.67,35000,0,0
MCG,04/19/2010,53.5,53.5,53.5,53.5,209970,53.50,48.50,51.0,2.50,4.90,50000,0,0
MCG,04/16/2010,51.0,51.0,50.0,51.0,1586670,51.00,46.60,49.0,2.00,4.08,20000,0,0
MCG,04/15/2010,49.0,49.0,49.0,49.0,292810,49.00,44.40,46.7,2.30,4.93,72000,0,0
MCG,04/14/2010,45.7,46.7,44.0,46.7,664480,46.70,42.30,44.5,2.20,4.94,0,0,0
MCG,04/13/2010,43.5,46.2,43.5,44.5,902580,46.20,41.80,44.0,0.50,1.14,85000,0,4000
MCG,04/12/2010,45.8,45.8,43.1,44.0,794790,47.30,42.90,45.1,-1.10,-2.44,44740,0,420
MCG,04/09/2010,47.4,47.4,45.1,45.1,907570,49.70,45.10,47.4,-2.30,-4.85,0,0,3880
MCG,04/08/2010,47.8,48.1,46.1,47.4,739650,48.50,43.90,46.2,1.20,2.60,0,0,4200
MCG,04/07/2010,45.5,46.2,45.0,46.2,1327580,46.20,41.80,44.0,2.20,5.00,26160,0,52000
MCG,04/06/2010,46.3,46.3,44.0,44.0,1573100,46.30,41.90,44.1,-0.10,-0.23,0,0,2000
MCG,04/05/2010,43.9,44.1,43.1,44.1,770780,44.10,39.90,42.0,2.10,5.00,0,7300,0
MCG,04/02/2010,40.5,42.0,40.0,42.0,1324690,42.00,38.00,40.0,2.00,5.00,0,5200,0
MCG,04/01/2010,40.0,40.8,38.3,40.0,573630,41.60,37.80,39.7,0.30,0.76,0,2000,0
MCG,03/31/2010,41.3,41.3,39.5,39.7,570920,41.40,37.60,39.5,0.20,0.51,0,0,0
MCG,03/30/2010,43.3,43.4,39.5,39.5,1325530,43.40,39.40,41.4,-1.90,-4.59,20000,51520,0
MCG,03/29/2010,40.6,41.4,40.0,41.4,1184880,41.40,37.60,39.5,1.90,4.81,0,0,0
MCG,03/26/2010,38.0,39.5,37.7,39.5,904670,39.50,35.90,37.7,1.80,4.77,0,2000,0
MCG,03/25/2010,38.5,38.7,37.6,37.7,535250,41.40,37.60,39.5,-1.80,-4.56,0,0,0
MCG,03/24/2010,38.5,39.5,38.0,39.5,413380,39.50,35.90,37.7,1.80,4.77,0,0,0
MCG,03/23/2010,37.8,38.6,37.7,37.7,437080,39.60,36.00,37.8,-0.10,-0.26,30000,0,0
MCG,03/22/2010,38.4,39.0,37.1,37.8,450280,40.90,37.10,39.0,-1.20,-3.08,0,2000,0
MCG,03/19/2010,40.0,40.2,39.0,39.0,344120,42.00,38.00,40.0,-1.00,-2.50,0,0,0
MCG,03/18/2010,38.5,40.0,37.5,40.0,528810,40.10,36.30,38.2,1.80,4.71,0,0,7000
MCG,03/17/2010,40.5,41.0,38.1,38.2,526290,42.00,38.00,40.0,-1.80,-4.50,0,0,0
MCG,03/16/2010,42.0,43.0,40.0,40.0,1132060,44.20,40.00,42.1,-2.10,-4.99,0,0,10000
MCG,03/15/2010,41.8,42.9,41.4,42.1,463140,43.40,39.40,41.4,0.70,1.69,0,0,0
MCG,03/12/2010,40.2,41.4,40.2,41.4,841480,41.40,37.60,39.5,1.90,4.81,0,7000,0
MCG,03/11/2010,39.1,40.3,38.8,39.5,572290,42.00,38.00,40.0,-0.50,-1.25,24000,0,12300
MCG,03/10/2010,38.0,40.4,37.8,40.0,946870,40.40,36.60,38.5,1.50,3.90,20000,0,6000
MCG,03/09/2010,38.9,39.0,37.8,38.5,300070,40.80,37.00,38.9,-0.40,-1.03,0,0,0
MCG,03/08/2010,39.0,39.0,38.5,38.9,553860,39.00,35.40,37.2,1.70,4.57,0,0,0
MCG,03/05/2010,35.0,37.2,35.0,37.2,898630,37.20,33.80,35.5,1.70,4.79,0,6000,0
MCG,03/04/2010,36.0,36.5,35.2,35.5,293080,37.40,34.00,35.7,-0.20,-0.56,42000,0,0
MCG,03/03/2010,34.6,35.7,34.5,35.7,222740,36.30,32.90,34.6,1.10,3.18,0,0,0
MCG,03/02/2010,34.5,36.0,34.0,34.6,308120,36.10,32.70,34.4,0.20,0.58,0,0,0
MCG,03/01/2010,33.0,34.4,33.0,34.4,583730,34.40,31.20,32.8,1.60,4.88,0,0,0
MCG,02/26/2010,32.5,32.8,32.0,32.8,57820,34.10,30.90,32.5,0.30,0.92,0,0,0
MCG,02/25/2010,32.5,33.2,32.2,32.5,77110,33.80,30.60,32.2,0.30,0.93,0,0,0
MCG,02/24/2010,31.6,32.2,31.5,32.2,38710,33.10,30.10,31.6,0.60,1.90,0,0,0
MCG,02/23/2010,32.1,32.2,31.6,31.6,99080,34.20,31.00,32.6,-1.00,-3.07,0,0,0
MCG,02/22/2010,32.9,33.1,32.6,32.6,50410,34.50,31.30,32.9,-0.30,-0.91,0,0,0
MCG,02/12/2010,33.0,33.0,32.5,32.9,83050,34.60,31.40,33.0,-0.10,-0.30,0,0,0
MCG,02/11/2010,32.5,33.0,32.5,33.0,47800,33.90,30.70,32.3,0.70,2.17,0,0,0
MCG,02/10/2010,32.0,32.3,31.5,32.3,99370,32.70,29.70,31.2,1.10,3.53,0,0,0
MCG,02/09/2010,31.2,33.2,31.2,31.2,165910,33.30,30.30,31.8,-0.60,-1.89,0,0,0
MCG,02/08/2010,0.0,32.3,31.6,31.8,66410,34.10,30.90,32.5,-0.70,-2.15,0,0,0
MCG,02/05/2010,32.8,33.5,32.5,32.5,108390,35.70,32.30,34.0,-1.50,-4.41,0,0,0
MCG,02/04/2010,33.1,34.5,33.1,34.0,162550,35.30,32.10,33.7,0.30,0.89,0,0,0
MCG,02/03/2010,32.7,33.8,32.7,33.7,98300,34.80,31.60,33.2,0.50,1.51,0,0,0
MCG,02/02/2010,34.1,34.1,33.1,33.2,119160,35.30,32.10,33.7,-0.50,-1.48,0,0,3000
MCG,02/01/2010,32.8,33.7,32.2,33.7,170920,33.70,30.50,32.1,1.60,4.98,0,0,1000
MCG,01/29/2010,32.5,33.0,31.8,32.1,86880,34.30,31.10,32.7,-0.60,-1.83,0,0,0
MCG,01/28/2010,33.5,34.0,32.5,32.7,179280,35.80,32.40,34.1,-1.40,-4.11,0,0,1000
MCG,01/27/2010,35.0,35.5,34.1,34.1,197790,37.50,34.10,35.8,-1.70,-4.75,0,0,0
MCG,01/26/2010,35.5,35.8,35.0,35.8,423540,35.80,32.40,34.1,1.70,4.99,0,0,0
MCG,01/25/2010,35.0,35.0,33.3,34.1,163940,35.70,32.30,34.0,0.10,0.29,0,0,0
MCG,01/22/2010,32.9,34.0,32.0,34.0,215020,34.20,31.00,32.6,1.40,4.29,0,2000,0
MCG,01/21/2010,34.0,35.7,32.5,32.6,264380,35.70,32.30,34.0,-1.40,-4.12,0,2000,0
MCG,01/20/2010,37.0,37.0,34.0,34.0,265330,37.00,33.60,35.3,-1.30,-3.68,0,3000,0
MCG,01/19/2010,33.7,35.3,33.2,35.3,216750,35.30,32.10,33.7,1.60,4.75,0,0,0
MCG,01/18/2010,35.4,35.4,33.7,33.7,267120,37.10,33.70,35.4,-1.70,-4.80,0,0,0
MCG,01/15/2010,35.8,36.9,35.4,35.4,156820,39.00,35.40,37.2,-1.80,-4.84,0,40,0
MCG,01/14/2010,38.0,38.3,36.7,37.2,213750,38.50,34.90,36.7,0.50,1.36,0,1000,0
MCG,01/13/2010,34.0,36.7,33.5,36.7,647220,36.90,33.50,35.2,1.50,4.26,0,4000,0
MCG,01/12/2010,36.0,37.5,35.2,35.2,307840,38.80,35.20,37.0,-1.80,-4.86,0,0,0
MCG,01/11/2010,38.5,38.7,36.7,37.0,391410,40.40,36.60,38.5,-1.50,-3.90,0,0,0
MCG,01/08/2010,42.2,42.2,38.5,38.5,566190,42.50,38.50,40.5,-2.00,-4.94,0,0,0
MCG,01/07/2010,40.5,40.5,39.0,40.5,443660,40.50,36.70,38.6,1.90,4.92,0,20,0
MCG,01/06/2010,37.0,38.6,36.9,38.6,420290,38.60,35.00,36.8,1.80,4.89,0,0,0
MCG,01/05/2010,36.8,36.8,36.8,36.8,67390,36.80,33.40,35.1,1.70,4.84,70000,0,0
MCG,01/04/2010,34.8,35.1,34.7,35.1,97480,35.10,31.90,33.5,1.60,4.78,0,0,0
MCG,12/31/2009,33.5,35.1,33.5,33.5,444350,35.10,31.90,33.5,0.00,0.00,0,0,0
MCG,12/30/2009,34.2,34.2,33.5,33.5,870270,34.20,31.00,32.6,0.90,2.76,0,0,0
MCG,12/29/2009,32.6,32.6,32.0,32.6,469800,32.60,29.60,31.1,1.50,4.82,0,0,0
MCG,12/28/2009,31.1,31.1,30.5,31.1,327430,31.10,28.30,29.7,1.40,4.71,65000,5000,0
MCG,12/25/2009,29.5,29.7,29.5,29.7,138280,29.70,26.90,28.3,1.40,4.95,0,10000,0
MCG,12/24/2009,27.0,28.3,26.1,28.3,297590,28.30,25.70,27.0,1.30,4.81,0,0,0
MCG,12/23/2009,26.5,27.3,26.5,27.0,165210,28.10,25.50,26.8,0.20,0.75,0,0,0
MCG,12/22/2009,27.8,28.8,26.8,26.8,179450,29.10,26.50,27.8,-1.00,-3.60,21000,0,0
MCG,12/21/2009,27.8,27.8,26.7,27.8,219110,27.80,25.20,26.5,1.30,4.91,0,0,0
MCG,12/18/2009,26.4,26.5,25.6,26.5,279270,26.50,24.10,25.3,1.20,4.74,0,0,0
MCG,12/17/2009,25.3,25.4,25.3,25.3,215300,27.90,25.30,26.6,-1.30,-4.89,0,0,0
MCG,12/16/2009,26.6,27.0,26.6,26.6,113140,29.20,26.60,27.9,-1.30,-4.66,0,0,0
MCG,12/15/2009,28.6,28.8,27.9,27.9,235050,30.70,27.90,29.3,-1.40,-4.78,0,0,0
MCG,12/14/2009,30.6,30.6,27.9,29.3,489630,30.70,27.90,29.3,0.00,0.00,102590,0,0
MCG,12/11/2009,29.3,29.9,29.3,29.3,235210,32.30,29.30,30.8,-1.50,-4.87,0,0,0
MCG,12/10/2009,30.9,31.9,30.8,30.8,236590,34.00,30.80,32.4,-1.60,-4.94,0,0,0
MCG,12/09/2009,32.4,32.4,32.4,32.4,27470,35.80,32.40,34.1,-1.70,-4.99,0,0,0
MCG,12/08/2009,36.0,36.0,34.1,34.1,156790,37.50,34.10,35.8,-1.70,-4.75,0,0,0
MCG,12/07/2009,34.6,35.8,34.6,35.8,229770,37.50,34.10,35.3,0.50,1.42,0,0,0
MCG,12/04/2009,35.8,36.2,35.0,35.3,145900,37.00,33.60,35.8,-0.50,-1.40,0,0,0
MCG,12/03/2009,36.0,37.4,35.2,35.8,455520,38.80,35.20,37.0,-1.20,-3.24,0,0,0
MCG,12/02/2009,38.9,39.2,37.0,37.0,272310,40.80,37.00,38.9,-1.90,-4.88,0,300,0
MCG,12/01/2009,38.5,38.9,37.9,38.9,555990,38.90,35.30,37.1,1.80,4.85,0,0,0
MCG,11/30/2009,38.5,39.0,37.0,37.1,374700,40.40,36.60,38.5,-1.40,-3.64,27130,0,0
