MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
MCO,08/09/2010,17.5,17.5,17.1,17.5,6100,18.20,16.00,17.1,0.40,2.34,0,0,0
MCO,08/06/2010,16.9,18.0,16.9,17.1,3600,18.50,16.10,17.3,-0.20,-1.16,0,0,0
MCO,08/05/2010,17.5,17.5,17.2,17.3,5500,18.20,16.00,17.1,0.20,1.17,0,0,0
MCO,08/04/2010,17.3,17.4,17.0,17.1,8300,19.10,16.70,17.9,-0.80,-4.47,0,0,0
MCO,08/03/2010,18.2,18.2,17.5,17.9,5000,19.20,16.80,18.0,-0.10,-0.56,0,0,0
MCO,08/02/2010,18.0,18.0,18.0,18.0,10100,19.70,17.30,18.5,-0.50,-2.70,0,0,0
MCO,07/30/2010,17.8,18.8,17.8,18.5,11900,18.80,16.40,17.6,0.90,5.11,0,0,0
MCO,07/29/2010,17.6,17.6,17.6,17.6,100,19.90,17.30,18.6,-1.00,-5.38,0,0,0
MCO,07/28/2010,17.0,19.2,17.0,18.6,31500,19.20,16.80,18.0,0.60,3.33,0,10800,0
MCO,07/27/2010,18.3,18.5,17.9,18.0,19300,20.50,17.90,19.2,-1.20,-6.25,0,0,0
MCO,07/26/2010,18.8,19.9,18.7,19.2,15600,20.00,17.40,18.7,0.50,2.67,0,0,0
MCO,07/23/2010,18.9,19.5,18.5,18.7,7100,20.90,18.30,19.6,-0.90,-4.59,0,0,0
MCO,07/22/2010,21.4,21.5,19.0,19.6,18300,21.70,18.90,20.3,-0.70,-3.45,0,0,0
MCO,07/21/2010,20.5,20.5,19.5,20.3,123800,20.50,17.90,19.2,1.10,5.73,0,10000,0
MCO,07/20/2010,18.5,19.3,18.5,19.2,70100,19.30,16.90,18.1,1.10,6.08,0,0,0
MCO,07/19/2010,18.0,18.5,17.7,18.1,38400,19.00,16.60,17.8,0.30,1.69,0,0,0
MCO,07/16/2010,17.5,18.0,17.5,17.8,10300,18.60,16.20,17.4,0.40,2.30,0,0,0
MCO,07/15/2010,17.3,17.8,17.1,17.4,7500,19.00,16.60,17.8,-0.40,-2.25,0,0,0
MCO,07/14/2010,18.2,18.2,17.2,17.8,7100,19.20,16.80,18.0,-0.20,-1.11,0,0,0
MCO,07/13/2010,18.1,18.1,17.6,18.0,16100,18.90,16.50,17.7,0.30,1.69,0,0,0
MCO,07/12/2010,17.4,18.0,17.4,17.7,6600,18.70,16.30,17.5,0.20,1.14,0,0,0
MCO,07/09/2010,17.6,17.6,17.4,17.5,3500,18.90,16.50,17.7,-0.20,-1.13,0,0,0
MCO,07/08/2010,18.0,18.0,17.6,17.7,4300,18.90,16.50,17.7,0.00,0.00,0,0,0
MCO,07/07/2010,17.7,18.1,17.0,17.7,18400,18.80,16.40,17.6,0.10,0.57,0,8000,0
MCO,07/06/2010,18.0,18.0,17.3,17.6,12700,19.30,16.90,18.1,-0.50,-2.76,0,0,0
MCO,07/05/2010,18.0,18.2,18.0,18.1,18600,18.70,16.30,17.5,0.60,3.43,0,0,0
MCO,07/02/2010,17.4,17.8,17.4,17.5,18700,18.20,16.00,17.1,0.40,2.34,0,0,0
MCO,07/01/2010,17.1,17.5,17.0,17.1,15100,18.20,16.00,17.1,0.00,0.00,0,0,0
MCO,06/30/2010,17.0,17.2,17.0,17.1,19200,18.70,16.30,17.5,-0.40,-2.29,0,0,0
MCO,06/29/2010,17.7,17.8,17.3,17.5,9500,18.60,16.20,17.4,0.10,0.57,0,0,0
MCO,06/28/2010,17.3,17.9,17.0,17.4,8900,19.10,16.70,17.9,-0.50,-2.79,0,0,0
MCO,06/25/2010,17.9,17.9,17.9,17.9,1000,19.10,16.70,17.9,0.00,0.00,0,0,0
MCO,06/24/2010,18.0,18.0,17.7,17.9,7100,19.30,16.90,18.1,-0.20,-1.10,0,0,0
MCO,06/23/2010,18.3,18.5,17.7,18.1,9600,19.40,17.00,18.2,-0.10,-0.55,0,0,0
MCO,06/22/2010,17.5,18.5,17.5,18.2,49100,18.50,16.10,17.3,0.90,5.20,0,0,0
MCO,06/21/2010,17.5,17.7,17.0,17.3,24600,18.60,16.20,17.4,-0.10,-0.57,0,0,0
MCO,06/18/2010,17.6,17.7,17.0,17.4,8800,18.80,16.40,17.6,-0.20,-1.14,0,0,0
MCO,06/17/2010,18.0,18.0,17.4,17.6,6500,18.50,16.10,17.3,0.30,1.73,0,0,0
MCO,06/16/2010,18.0,18.6,18.0,18.3,22100,19.20,16.80,18.0,0.30,1.67,0,0,0
MCO,06/15/2010,18.0,18.1,17.8,18.0,11800,19.60,17.20,18.4,-0.40,-2.17,0,0,0
MCO,06/14/2010,18.6,18.9,17.7,18.4,7400,19.60,17.20,18.4,0.00,0.00,0,0,0
MCO,06/11/2010,18.2,18.6,18.1,18.4,9800,18.70,16.30,17.5,0.90,5.14,0,0,0
MCO,06/10/2010,17.4,17.7,17.0,17.5,8400,18.00,15.80,16.9,0.60,3.55,0,0,0
