MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
MHL,08/09/2010,41.0,41.0,39.5,39.5,9200,45.30,39.50,42.4,-2.90,-6.84,0,0,0
MHL,08/06/2010,42.5,42.5,42.2,42.4,11200,45.20,39.40,42.3,0.10,0.24,0,0,0
MHL,08/05/2010,43.0,43.0,42.0,42.3,11000,45.30,39.50,42.4,-0.10,-0.24,0,0,0
MHL,08/04/2010,42.3,43.0,42.2,42.4,11200,45.10,39.30,42.2,0.20,0.47,0,0,0
MHL,08/03/2010,42.0,42.6,42.0,42.2,5000,45.30,39.50,42.4,-0.20,-0.47,0,0,0
MHL,08/02/2010,42.0,42.8,42.0,42.4,7800,45.30,39.50,42.4,0.00,0.00,0,0,0
MHL,07/30/2010,42.0,42.8,42.0,42.4,16500,44.90,39.10,42.0,0.40,0.95,0,0,0
MHL,07/29/2010,42.0,42.0,41.9,42.0,6400,42.20,36.80,39.5,2.50,6.33,0,0,0
MHL,07/28/2010,40.0,40.8,38.3,39.5,46700,42.90,37.30,40.1,-0.60,-1.50,0,0,0
MHL,07/27/2010,39.0,40.8,39.0,40.1,31400,42.80,37.20,40.0,0.10,0.25,0,0,0
MHL,07/26/2010,39.0,40.4,39.0,40.0,12800,42.90,37.30,40.1,-0.10,-0.25,0,0,0
MHL,07/23/2010,40.0,40.4,40.0,40.1,9700,42.20,36.80,39.5,0.60,1.52,0,0,0
MHL,07/22/2010,39.0,40.0,39.0,39.5,20500,41.80,36.40,39.1,0.40,1.02,0,4000,0
MHL,07/21/2010,40.0,40.2,37.9,39.1,17400,43.20,37.60,40.4,-1.30,-3.22,0,0,0
MHL,07/20/2010,40.0,40.7,40.0,40.4,8900,42.90,37.30,40.1,0.30,0.75,0,0,0
MHL,07/19/2010,39.0,40.6,39.0,40.1,21500,42.60,37.20,39.9,0.20,0.50,0,0,0
MHL,07/16/2010,39.4,40.2,39.4,39.9,49000,42.10,36.70,39.4,0.50,1.27,0,0,0
MHL,07/15/2010,41.5,41.5,38.6,39.4,41200,42.90,37.30,40.1,-0.70,-1.75,0,0,0
MHL,07/14/2010,42.4,42.5,39.5,40.1,28300,45.30,39.50,42.4,-2.30,-5.42,0,0,0
MHL,07/13/2010,40.5,43.5,40.5,42.4,24900,46.10,40.10,43.1,-0.70,-1.62,0,0,0
MHL,07/12/2010,43.8,43.8,42.5,43.1,33700,48.70,42.50,45.6,-2.50,-5.48,0,0,0
MHL,07/09/2010,47.6,47.6,44.3,45.6,39900,50.90,44.30,47.6,-2.00,-4.20,0,0,0
MHL,07/08/2010,46.0,49.2,46.0,47.6,76300,49.20,42.80,46.0,1.60,3.48,0,0,0
MHL,07/07/2010,46.0,46.0,46.0,46.0,13100,46.00,40.00,43.0,3.00,6.98,0,0,0
MHL,07/06/2010,43.0,43.0,43.0,43.0,14100,43.00,37.40,40.2,2.80,6.97,0,0,0
MHL,07/05/2010,40.0,41.0,38.4,40.2,53600,41.00,35.80,38.4,1.80,4.69,0,0,0
MHL,07/02/2010,36.7,39.2,35.5,38.4,67000,39.20,34.20,36.7,1.70,4.63,0,0,0
MHL,07/01/2010,37.5,37.5,36.1,36.7,51600,40.30,35.10,37.7,-1.00,-2.65,0,0,0
MHL,06/30/2010,35.4,39.3,35.0,37.7,64700,39.30,34.30,36.8,0.90,2.45,0,0,0
MHL,06/29/2010,37.5,40.0,37.2,38.8,76700,40.00,34.80,37.4,1.40,3.74,0,0,20000
MHL,06/28/2010,35.8,37.5,35.8,37.4,45200,37.50,32.70,35.1,2.30,6.55,0,0,9000
MHL,06/25/2010,35.5,37.9,34.0,35.1,77200,37.90,33.10,35.5,-0.40,-1.13,0,0,5000
MHL,06/24/2010,36.0,36.5,34.7,35.5,61600,37.90,33.10,35.5,0.00,0.00,0,0,3000
MHL,06/23/2010,35.5,35.5,34.6,35.5,91900,35.50,30.90,33.2,2.30,6.93,0,0,2000
MHL,06/22/2010,33.2,33.2,33.1,33.2,20900,33.20,29.00,31.1,2.10,6.75,0,0,1000
MHL,06/21/2010,31.0,31.1,31.0,31.1,8400,31.10,27.10,29.1,2.00,6.87,0,0,0
MHL,06/18/2010,30.0,31.0,28.5,29.1,54400,31.80,27.80,29.8,-0.70,-2.35,0,0,0
MHL,06/17/2010,30.0,31.8,27.9,29.8,71400,31.90,27.90,29.9,-0.10,-0.33,0,0,0
MHL,06/16/2010,31.7,32.0,29.5,29.9,76800,33.90,29.50,31.7,-1.80,-5.68,0,0,0
MHL,06/15/2010,31.8,31.8,31.5,31.7,32300,33.90,29.50,31.7,0.00,0.00,0,0,0
MHL,06/14/2010,32.5,32.6,30.3,31.7,90100,32.60,28.40,30.5,1.20,3.93,0,0,0
MHL,06/11/2010,30.8,30.8,30.4,30.5,15000,32.10,27.90,30.0,0.50,1.67,0,0,0
MHL,06/10/2010,30.5,30.7,29.5,30.0,44300,31.20,27.20,29.2,0.80,2.74,0,0,0
MHL,06/09/2010,27.3,30.0,27.2,29.2,88700,30.00,26.20,28.1,1.10,3.91,0,0,3500
MHL,06/08/2010,26.2,28.7,26.2,28.1,67200,29.80,26.00,27.9,0.20,0.72,0,0,0
MHL,06/07/2010,28.9,29.0,27.0,27.9,86800,31.00,27.00,29.0,-1.10,-3.79,0,0,0
MHL,06/04/2010,27.0,30.2,26.8,29.0,86400,30.20,26.40,28.3,0.70,2.47,0,0,0
MHL,06/03/2010,29.1,29.1,27.8,28.3,14200,29.20,25.40,27.3,1.00,3.66,0,0,0
MHL,06/02/2010,26.5,29.5,26.4,27.3,66800,30.00,26.20,28.1,-0.80,-2.85,0,0,0
MHL,06/01/2010,28.1,28.7,27.5,28.1,53900,30.20,26.40,28.3,-0.20,-0.71,0,5000,0
MHL,05/31/2010,28.1,30.0,26.7,28.3,104700,30.00,26.20,28.1,0.20,0.71,0,0,0
MHL,05/28/2010,28.1,28.1,28.1,28.1,12900,28.10,24.50,26.3,1.80,6.84,0,0,0
MHL,05/27/2010,27.0,27.0,25.0,26.3,92600,27.00,23.60,25.3,1.00,3.95,0,0,0
MHL,05/26/2010,25.0,25.3,25.0,25.3,34900,25.30,22.10,23.7,1.60,6.75,0,0,0
MHL,05/25/2010,22.4,25.3,22.4,23.7,126000,25.60,22.40,24.0,-0.30,-1.25,0,0,0
MHL,05/24/2010,24.0,24.5,24.0,24.0,79900,27.60,24.00,25.8,-1.80,-6.98,0,0,0
MHL,05/21/2010,25.8,25.9,25.8,25.8,142600,29.60,25.80,27.7,-1.90,-6.86,14000,3500,0
MHL,05/20/2010,27.6,29.6,27.6,27.7,84600,31.60,27.60,29.6,-1.90,-6.42,0,0,0
MHL,05/19/2010,29.6,29.8,29.6,29.6,124200,34.00,29.60,31.8,-2.20,-6.92,0,0,0
MHL,05/18/2010,33.5,34.0,30.6,31.8,197800,35.00,30.60,32.8,-1.00,-3.05,0,0,0
MHL,05/17/2010,34.0,34.0,30.7,32.8,26100,35.30,30.70,33.0,-0.20,-0.61,0,0,0
MHL,05/14/2010,33.9,34.0,31.0,33.0,54500,34.70,30.30,32.5,0.50,1.54,0,0,0
MHL,05/13/2010,31.9,33.8,29.4,32.5,131000,33.80,29.40,31.6,0.90,2.85,0,0,0
MHL,05/12/2010,32.1,32.2,31.4,31.6,91700,36.00,31.40,33.7,-2.10,-6.23,0,0,0
MHL,05/11/2010,35.5,35.5,33.4,33.7,43500,38.40,33.40,35.9,-2.20,-6.13,0,0,0
MHL,05/10/2010,39.3,39.3,34.3,35.9,106400,39.30,34.30,36.8,-0.90,-2.45,0,0,0
MHL,05/07/2010,37.1,37.1,33.6,36.8,202500,37.10,32.30,34.7,2.10,6.05,0,0,0
MHL,05/06/2010,34.2,34.8,34.1,34.7,16800,34.80,30.40,32.6,2.10,6.44,0,0,0
MHL,05/05/2010,32.0,33.9,32.0,32.6,75100,36.00,31.40,33.7,-1.10,-3.26,0,0,0
MHL,05/04/2010,35.0,35.1,33.1,33.7,81000,36.40,31.80,34.1,-0.40,-1.17,0,0,0
MHL,04/29/2010,36.5,36.5,32.5,34.1,92400,37.20,32.40,34.8,-0.70,-2.01,0,0,0
MHL,04/28/2010,33.0,35.5,33.0,34.8,91600,35.50,30.90,33.2,1.60,4.82,0,0,0
MHL,04/27/2010,33.0,35.6,31.0,33.2,100300,35.60,31.00,33.3,-0.10,-0.30,0,0,0
MHL,04/26/2010,37.0,37.1,32.8,33.3,200600,37.60,32.80,35.2,-1.90,-5.40,0,0,0
MHL,04/22/2010,35.0,37.1,33.6,35.2,94900,37.10,32.30,34.7,0.50,1.44,0,0,0
MHL,04/21/2010,37.0,38.0,34.5,34.7,123700,39.50,34.50,37.0,-2.30,-6.22,0,0,0
MHL,04/20/2010,40.1,40.5,35.5,37.0,130200,40.70,35.50,38.1,-1.10,-2.89,0,0,0
MHL,04/19/2010,37.8,38.1,37.0,38.1,64800,38.10,33.30,35.7,2.40,6.72,0,0,0
MHL,04/16/2010,35.0,35.8,35.0,35.7,38500,35.80,31.20,33.5,2.20,6.57,0,0,0
MHL,04/15/2010,32.0,33.9,31.7,33.5,82900,33.90,29.50,31.7,1.80,5.68,0,0,0
MHL,04/14/2010,30.3,33.0,30.0,31.7,75700,34.40,30.00,32.2,-0.50,-1.55,62300,0,0
MHL,04/13/2010,34.0,34.0,31.5,32.2,78400,36.10,31.50,33.8,-1.60,-4.73,0,0,0
MHL,04/12/2010,32.9,35.0,30.6,33.8,137400,35.00,30.60,32.8,1.00,3.05,0,0,0
MHL,04/09/2010,32.8,32.8,32.6,32.8,67100,32.80,28.60,30.7,2.10,6.84,0,0,0
MHL,04/08/2010,30.7,30.7,30.6,30.7,93800,30.70,26.70,28.7,2.00,6.97,0,0,0
MHL,04/07/2010,29.4,29.4,27.6,28.7,266200,29.40,25.60,27.5,1.20,4.36,0,0,0
MHL,04/06/2010,28.0,28.9,25.3,27.5,57400,28.90,25.30,27.1,0.40,1.48,0,0,0
MHL,04/05/2010,26.5,28.5,26.5,27.1,22100,29.50,25.70,27.6,-0.50,-1.81,0,0,0
MHL,04/02/2010,27.5,27.9,27.5,27.6,10800,29.40,25.60,27.5,0.10,0.36,0,0,0
MHL,04/01/2010,26.7,28.0,26.7,27.5,20500,29.20,25.40,27.3,0.20,0.73,0,0,0
MHL,03/31/2010,27.2,27.5,26.3,27.3,5700,28.80,25.20,27.0,0.30,1.11,0,0,0
MHL,03/30/2010,27.0,27.2,27.0,27.0,4500,28.80,25.20,27.0,0.00,0.00,0,0,0
MHL,03/29/2010,27.0,27.4,26.5,27.0,12700,28.60,25.00,26.8,0.20,0.75,0,0,0
MHL,03/26/2010,26.5,27.1,26.5,26.8,10000,28.10,24.50,26.3,0.50,1.90,0,0,0
MHL,03/25/2010,26.0,26.8,26.0,26.3,9300,28.00,24.40,26.2,0.10,0.38,0,0,0
MHL,03/24/2010,26.2,26.5,25.4,26.2,17600,27.90,24.30,26.1,0.10,0.38,0,0,0
MHL,03/23/2010,26.0,26.2,26.0,26.1,12900,27.80,24.20,26.0,0.10,0.38,0,0,0
MHL,03/22/2010,26.1,26.1,25.9,26.0,2700,27.90,24.30,26.1,-0.10,-0.38,0,0,0
MHL,03/19/2010,26.4,26.4,25.7,26.1,5300,27.40,24.00,25.7,0.40,1.56,0,0,0
MHL,03/18/2010,25.4,25.8,25.4,25.7,13500,26.40,23.00,24.7,1.00,4.05,0,0,0
MHL,03/17/2010,25.5,25.5,24.3,24.7,17700,27.60,24.00,25.8,-1.10,-4.26,0,0,0
MHL,03/16/2010,26.0,26.0,25.5,25.8,9700,28.10,24.50,26.3,-0.50,-1.90,0,0,0
MHL,03/15/2010,26.5,26.5,26.1,26.3,3500,27.60,24.00,25.8,0.50,1.94,0,0,0
MHL,03/12/2010,26.9,27.0,25.4,25.8,37000,27.60,24.00,25.8,0.00,0.00,0,0,0
MHL,03/11/2010,27.0,27.4,25.2,25.8,40200,27.40,24.00,25.7,0.10,0.39,0,0,0
MHL,03/10/2010,26.0,26.1,25.4,25.7,60100,28.80,25.20,27.0,-1.30,-4.81,0,0,0
MHL,03/09/2010,27.2,27.2,26.5,27.0,7700,29.20,25.40,27.3,-0.30,-1.10,0,0,0
MHL,03/08/2010,28.0,28.0,26.5,27.3,9000,28.20,24.60,26.4,0.90,3.41,0,0,0
MHL,03/05/2010,26.2,27.2,26.1,26.4,12600,29.90,26.10,28.0,-1.60,-5.71,0,0,0
MHL,03/04/2010,28.5,28.5,27.9,28.0,5600,29.50,25.70,27.6,0.40,1.45,0,0,0
MHL,03/03/2010,27.2,28.0,27.2,27.6,5400,29.10,25.30,27.2,0.40,1.47,0,0,0
MHL,03/02/2010,27.3,27.5,26.9,27.2,6200,28.70,25.10,26.9,0.30,1.12,0,0,0
MHL,03/01/2010,26.0,27.6,26.0,26.9,24400,27.60,24.00,25.8,1.10,4.26,0,0,0
MHL,02/26/2010,25.3,26.0,25.3,25.8,17500,28.90,25.30,27.1,-1.30,-4.80,0,0,0
MHL,02/25/2010,27.5,27.5,26.9,27.1,20800,30.90,26.90,28.9,-1.80,-6.23,0,0,0
MHL,02/24/2010,28.9,28.9,28.9,28.9,2200,33.10,28.90,31.0,-2.10,-6.77,0,0,0
MHL,02/23/2010,31.0,31.0,31.0,31.0,19200,35.60,31.00,33.3,-2.30,-6.91,0,0,3500
MHL,02/22/2010,32.6,35.0,32.6,33.3,5000,37.40,32.60,35.0,-1.70,-4.86,0,0,0
MHL,02/12/2010,35.7,35.7,33.5,35.0,2600,35.70,31.10,33.4,1.60,4.79,0,0,0
MHL,02/11/2010,32.0,33.9,32.0,33.4,8400,33.90,29.50,31.7,1.70,5.36,0,0,0
MHL,02/10/2010,31.7,31.7,31.7,31.7,2000,31.70,27.70,29.7,2.00,6.73,0,0,0
MHL,02/09/2010,29.5,29.8,29.5,29.7,3100,29.80,26.00,27.9,1.80,6.45,0,0,0
MHL,02/08/2010,26.3,28.1,26.3,27.9,16800,28.10,24.50,26.3,1.60,6.08,0,0,0
MHL,02/05/2010,25.5,26.4,25.5,26.3,18400,26.40,23.00,24.7,1.60,6.48,0,0,0
MHL,02/04/2010,24.2,25.6,24.2,24.7,26500,25.60,22.40,24.0,0.70,2.92,0,0,10000
MHL,02/03/2010,24.1,24.1,24.0,24.0,7500,26.30,22.90,24.6,-0.60,-2.44,0,0,0
MHL,02/02/2010,24.7,24.9,24.3,24.6,19000,26.00,22.60,24.3,0.30,1.23,0,0,10000
MHL,02/01/2010,24.0,24.9,24.0,24.3,7700,24.90,21.70,23.3,1.00,4.29,0,0,0
MHL,01/29/2010,23.5,24.5,21.9,23.3,30500,25.10,21.90,23.5,-0.20,-0.85,0,0,0
MHL,01/28/2010,23.5,23.5,23.5,23.5,5000,26.40,23.00,24.7,-1.20,-4.86,0,0,0
MHL,01/27/2010,24.6,24.8,24.6,24.7,5000,25.80,22.60,24.2,0.50,2.07,0,0,0
MHL,01/26/2010,24.0,24.3,23.5,24.2,20200,24.30,21.30,22.8,1.40,6.14,0,0,0
