MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
MIC,08/09/2010,74.0,74.0,72.8,72.8,5200,83.60,72.80,78.2,-5.40,-6.91,0,0,1000
MIC,08/06/2010,75.5,79.0,75.2,78.2,5100,82.80,72.00,77.4,0.80,1.03,0,0,0
MIC,08/05/2010,80.0,80.0,76.0,77.4,3200,86.00,74.80,80.4,-3.00,-3.73,0,0,0
MIC,08/04/2010,80.4,80.4,80.4,80.4,100,86.60,75.40,81.0,-0.60,-0.74,0,0,0
MIC,08/03/2010,81.1,81.1,80.5,81.0,5100,88.00,76.60,82.3,-1.30,-1.58,0,0,0
MIC,08/02/2010,81.5,82.9,81.5,82.3,2400,87.30,75.90,81.6,0.70,0.86,0,0,0
MIC,07/30/2010,85.8,85.8,81.4,81.6,5000,87.20,75.80,81.5,0.10,0.12,0,0,0
MIC,07/29/2010,81.4,82.0,80.5,81.5,3100,87.20,75.80,81.5,0.00,0.00,0,0,0
MIC,07/28/2010,83.0,83.0,80.5,81.5,14100,90.50,78.70,84.6,-3.10,-3.66,0,0,0
MIC,07/27/2010,86.2,86.2,81.5,84.6,900,90.30,78.50,84.4,0.20,0.24,0,0,0
MIC,07/26/2010,84.5,84.5,84.2,84.4,2000,95.10,82.70,88.9,-4.50,-5.06,0,0,0
MIC,07/23/2010,90.3,90.3,84.2,88.9,2800,90.90,79.10,85.0,3.90,4.59,0,0,0
MIC,07/22/2010,85.0,85.0,85.0,85.0,100,90.90,79.10,85.0,0.00,0.00,0,0,0
MIC,07/21/2010,84.9,86.0,84.9,85.0,4800,91.50,79.70,85.6,-0.60,-0.70,0,0,2500
MIC,07/20/2010,87.0,87.0,85.0,85.6,10000,92.40,80.40,86.4,-0.80,-0.93,0,0,2000
MIC,07/19/2010,85.0,87.1,85.0,86.4,4400,93.40,81.20,87.3,-0.90,-1.03,0,0,0
MIC,07/16/2010,87.9,88.0,87.0,87.3,6600,92.70,80.70,86.7,0.60,0.69,0,0,0
MIC,07/15/2010,87.0,87.1,85.1,86.7,3200,93.10,81.10,87.1,-0.40,-0.46,0,0,0
MIC,07/14/2010,88.0,88.0,86.5,87.1,2800,96.30,83.70,90.0,-2.90,-3.22,0,0,0
MIC,07/13/2010,89.9,91.3,89.5,90.0,2300,92.60,80.60,86.6,3.40,3.93,0,0,0
MIC,07/12/2010,84.5,87.0,84.5,86.6,2700,92.50,80.50,86.5,0.10,0.12,0,0,0
MIC,07/09/2010,87.9,87.9,86.0,86.5,5800,92.00,80.00,86.0,0.50,0.58,0,0,0
MIC,07/08/2010,90.7,90.7,85.5,86.0,9500,91.90,79.90,85.9,0.10,0.12,0,0,0
MIC,07/07/2010,86.1,86.1,85.5,85.9,6900,92.40,80.40,86.4,-0.50,-0.58,0,0,0
MIC,07/06/2010,90.0,90.0,85.0,86.4,10900,97.20,84.60,90.9,-4.50,-4.95,0,0,0
MIC,07/05/2010,90.9,90.9,90.9,90.9,100,95.40,83.00,89.2,1.70,1.91,0,0,0
MIC,07/02/2010,91.0,91.0,89.0,89.2,3300,96.40,83.80,90.1,-0.90,-1.00,0,0,0
MIC,07/01/2010,90.0,90.9,90.0,90.1,4100,95.50,83.10,89.3,0.80,0.90,0,0,0
MIC,06/30/2010,89.9,89.9,89.0,89.3,1600,97.50,84.90,91.2,-1.90,-2.08,0,0,0
MIC,06/29/2010,92.3,92.3,90.2,91.2,1900,96.10,83.70,89.9,1.30,1.45,0,0,0
MIC,06/28/2010,89.0,92.0,89.0,89.9,1600,95.00,82.60,88.8,1.10,1.24,0,0,0
MIC,06/25/2010,88.2,89.1,88.2,88.8,4500,98.20,85.40,91.8,-3.00,-3.27,0,0,0
MIC,06/24/2010,90.5,93.0,90.5,91.8,19100,97.90,85.10,91.5,0.30,0.33,0,0,0
