MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
MIH,08/09/2010,53.3,53.5,52.8,52.8,52000,57.20,49.80,53.5,-0.70,-1.31,0,0,0
MIH,08/06/2010,53.7,53.9,52.5,53.5,58000,57.40,50.00,53.7,-0.20,-0.37,0,0,0
MIH,08/05/2010,54.5,54.5,53.0,53.7,60800,57.80,50.40,54.1,-0.40,-0.74,0,0,0
MIH,08/04/2010,55.0,55.0,53.5,54.1,41900,58.40,50.80,54.6,-0.50,-0.92,0,0,0
MIH,08/03/2010,54.6,54.8,54.1,54.6,41900,58.40,50.80,54.6,0.00,0.00,0,0,0
MIH,08/02/2010,55.5,55.5,54.1,54.6,52300,58.40,50.80,54.6,0.00,0.00,0,0,0
MIH,07/30/2010,54.9,55.0,54.4,54.6,75500,57.00,49.60,53.3,1.30,2.44,0,0,0
MIH,07/29/2010,53.5,53.6,53.0,53.3,62100,57.40,50.00,53.7,-0.40,-0.74,0,0,0
MIH,07/28/2010,54.5,54.6,52.8,53.7,64400,58.30,50.70,54.5,-0.80,-1.47,0,0,0
MIH,07/27/2010,54.0,54.7,53.9,54.5,40600,58.50,50.90,54.7,-0.20,-0.37,0,0,0
MIH,07/26/2010,56.0,56.5,53.5,54.7,59000,58.80,51.20,55.0,-0.30,-0.55,0,0,0
MIH,07/23/2010,55.0,55.8,54.5,55.0,106600,59.80,52.00,55.9,-0.90,-1.61,0,0,0
MIH,07/22/2010,56.0,56.5,55.8,55.9,63200,60.80,53.00,56.9,-1.00,-1.76,0,0,0
MIH,07/21/2010,57.7,57.7,55.2,56.9,71600,59.80,52.00,55.9,1.00,1.79,0,0,0
MIH,07/20/2010,54.0,57.8,54.0,55.9,90100,57.80,50.40,54.1,1.80,3.33,0,0,0
MIH,07/19/2010,54.5,55.5,54.0,54.1,111500,58.90,51.30,55.1,-1.00,-1.81,0,0,0
MIH,07/16/2010,56.7,56.7,54.8,55.1,60600,60.60,52.80,56.7,-1.60,-2.82,0,100,0
MIH,07/15/2010,57.0,57.0,56.3,56.7,37100,60.40,52.60,56.5,0.20,0.35,0,0,0
MIH,07/14/2010,54.8,57.5,54.8,56.5,51800,57.60,50.20,53.9,2.60,4.82,0,0,0
MIH,07/13/2010,54.0,54.5,53.5,53.9,66700,56.00,48.80,52.4,1.50,2.86,0,0,0
MIH,07/12/2010,52.9,52.9,51.0,52.4,54300,56.20,49.00,52.6,-0.20,-0.38,0,0,0
MIH,07/09/2010,53.8,53.8,50.5,52.6,63200,57.30,49.90,53.6,-1.00,-1.87,0,0,0
MIH,07/08/2010,54.2,54.5,52.0,53.6,33400,57.60,50.20,53.9,-0.30,-0.56,0,300,0
MIH,07/07/2010,54.0,55.0,53.3,53.9,42100,56.80,49.40,53.1,0.80,1.51,0,0,0
MIH,07/06/2010,55.0,55.0,52.7,53.1,35400,56.70,49.30,53.0,0.10,0.19,0,0,0
MIH,07/05/2010,49.5,55.0,49.5,53.0,49900,56.90,49.50,53.2,-0.20,-0.38,0,0,0
MIH,07/02/2010,54.5,55.0,50.1,53.2,37600,57.50,50.10,53.8,-0.60,-1.12,0,0,0
MIH,07/01/2010,54.7,54.7,52.0,53.8,85900,54.70,47.70,51.2,2.60,5.08,0,0,0
MIH,06/30/2010,50.0,52.0,50.0,51.2,24200,52.00,45.20,48.6,2.60,5.35,0,0,0
MIH,06/29/2010,42.0,51.0,42.0,48.6,44900,0.00,0.00,0.0,48.60,0.00,0,0,0
