MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
MSN,08/09/2010,0.0,52.5,51.0,51.5,5540,54.50,49.40,52.0,-0.50,-0.96,0,2350,0
MSN,08/06/2010,0.0,52.5,51.0,52.0,14230,54.50,49.40,52.0,0.00,0.00,0,14180,11200
MSN,08/05/2010,51.5,53.0,51.5,52.0,2490,55.00,49.90,52.5,-0.50,-0.95,0,1830,0
MSN,08/04/2010,52.0,52.5,51.5,52.5,62210,55.00,49.90,52.5,0.00,0.00,0,54810,40000
MSN,08/03/2010,53.5,53.5,51.5,52.5,3430,55.00,49.90,52.5,0.00,0.00,0,2700,0
MSN,08/02/2010,52.5,53.0,51.0,52.5,48730,54.50,49.40,52.0,0.50,0.96,0,30330,380
MSN,07/30/2010,50.5,52.5,50.5,52.0,51120,53.50,48.50,51.0,1.00,1.96,0,35560,0
MSN,07/29/2010,49.1,51.0,49.1,51.0,17520,52.50,47.50,50.0,1.00,2.00,0,10520,0
MSN,07/28/2010,52.0,52.0,50.0,50.0,56740,53.00,48.00,50.5,-0.50,-0.99,0,42400,30000
MSN,07/27/2010,50.0,52.0,50.0,50.5,55670,52.50,47.50,50.0,0.50,1.00,0,47800,30210
MSN,07/26/2010,52.5,52.5,50.0,50.0,69870,53.00,48.00,50.5,-0.50,-0.99,0,46020,65130
MSN,07/23/2010,53.0,53.0,50.5,50.5,24700,55.00,49.90,52.5,-2.00,-3.81,0,17690,20000
MSN,07/22/2010,52.5,53.0,50.0,52.5,7260,55.00,49.90,52.5,0.00,0.00,0,5400,0
MSN,07/21/2010,0.0,52.5,50.5,52.5,76480,54.00,49.00,51.5,1.00,1.94,0,53860,0
MSN,07/20/2010,0.0,52.0,50.0,51.5,47770,54.00,49.00,51.5,0.00,0.00,0,31500,0
MSN,07/19/2010,0.0,52.0,49.5,51.5,27350,54.00,49.00,51.5,0.00,0.00,0,7100,20340
MSN,07/16/2010,0.0,51.5,51.5,51.5,1410,54.00,49.00,51.5,0.00,0.00,0,0,0
MSN,07/15/2010,50.5,51.5,50.5,51.5,25410,53.50,48.50,51.0,0.50,0.98,0,17510,0
MSN,07/14/2010,50.5,52.0,50.5,51.0,32640,53.00,48.00,50.5,0.50,0.99,0,15380,0
MSN,07/13/2010,0.0,52.0,50.5,50.5,1110,54.50,49.40,52.0,-1.50,-2.88,0,340,0
MSN,07/12/2010,51.0,52.0,51.0,52.0,36160,54.50,49.40,52.0,0.00,0.00,109350,17570,180
MSN,07/09/2010,0.0,52.0,51.5,52.0,340,54.50,49.40,52.0,0.00,0.00,0,110,0
MSN,07/08/2010,51.5,52.0,51.0,52.0,60740,53.50,48.50,51.0,1.00,1.96,0,56860,0
MSN,07/07/2010,50.0,52.0,50.0,51.0,31160,53.50,48.50,51.0,0.00,0.00,0,6050,0
MSN,07/06/2010,52.0,52.0,49.5,51.0,53090,53.00,48.00,50.5,0.50,0.99,0,25000,9200
MSN,07/05/2010,0.0,52.0,50.5,50.5,3850,53.50,48.50,51.0,-0.50,-0.98,0,0,0
MSN,07/02/2010,51.0,52.0,51.0,51.0,19080,53.50,48.50,51.0,0.00,0.00,200000,7220,0
MSN,07/01/2010,49.5,51.0,49.5,51.0,36400,53.50,48.50,51.0,0.00,0.00,0,0,12430
MSN,06/30/2010,51.0,51.5,50.5,51.0,82550,53.50,48.50,51.0,0.00,0.00,0,28750,0
MSN,06/29/2010,0.0,51.5,50.0,51.0,34200,52.50,47.50,50.0,1.00,2.00,0,12000,0
MSN,06/28/2010,0.0,51.5,49.0,50.0,6720,53.50,48.50,51.0,-1.00,-1.96,1207430,4660,0
MSN,06/25/2010,49.0,52.0,49.0,51.0,9860,53.50,48.50,51.0,0.00,0.00,0,3000,0
MSN,06/24/2010,52.5,52.5,51.0,51.0,12830,55.00,49.90,52.5,-1.50,-2.86,0,3500,0
MSN,06/23/2010,0.0,53.0,50.0,52.5,15750,55.00,49.90,52.5,0.00,0.00,0,5690,0
MSN,06/22/2010,51.5,53.0,51.5,52.5,9450,55.00,49.90,52.5,0.00,0.00,0,4000,0
MSN,06/21/2010,0.0,53.0,51.0,52.5,50820,55.00,49.90,52.5,0.00,0.00,0,21590,0
MSN,06/18/2010,52.5,52.5,51.0,52.5,99320,54.00,49.00,51.5,1.00,1.94,0,78550,0
MSN,06/17/2010,51.5,51.5,50.5,51.5,127810,53.50,48.50,51.0,0.50,0.98,0,106210,0
MSN,06/16/2010,0.0,52.5,50.0,51.0,5620,53.50,48.50,51.0,0.00,0.00,0,3450,0
MSN,06/15/2010,52.5,52.5,51.0,51.0,18470,53.50,48.50,51.0,0.00,0.00,0,9950,0
MSN,06/14/2010,48.0,51.0,48.0,51.0,56540,51.00,46.20,48.6,2.40,4.94,0,20000,390
MSN,06/11/2010,50.0,50.5,48.6,48.6,21500,51.50,47.10,49.5,-0.90,-1.82,0,0,0
MSN,06/10/2010,48.2,49.5,48.2,49.5,19060,51.50,47.10,49.5,0.00,0.00,0,0,6900
MSN,06/09/2010,50.5,51.0,49.0,49.5,135640,53.00,48.00,50.5,-1.00,-1.98,0,65000,11100
MSN,06/08/2010,50.5,51.0,48.6,50.5,96820,53.00,48.00,50.5,0.00,0.00,0,77150,0
MSN,06/07/2010,50.5,53.0,50.5,50.5,94640,55.50,50.50,53.0,-2.50,-4.72,0,66410,15610
MSN,06/04/2010,54.5,54.5,52.0,53.0,64380,57.00,52.00,54.5,-1.50,-2.75,0,17010,0
MSN,06/03/2010,54.5,55.0,54.0,54.5,108620,57.00,52.00,54.5,0.00,0.00,0,18000,0
MSN,06/02/2010,50.5,55.0,50.5,54.5,44820,55.00,49.90,52.5,2.00,3.81,0,6240,0
MSN,06/01/2010,53.0,53.0,52.5,52.5,4840,55.00,49.90,52.5,0.00,0.00,0,1000,0
MSN,05/31/2010,50.5,53.0,50.0,52.5,110920,53.00,48.00,50.5,2.00,3.96,0,32000,40000
MSN,05/28/2010,47.0,50.5,47.0,50.5,63210,50.50,45.70,48.1,2.40,4.99,0,51420,10500
MSN,05/27/2010,48.1,48.1,47.9,48.1,67630,50.00,45.60,48.0,0.10,0.21,0,50000,11000
MSN,05/26/2010,0.0,49.0,45.6,48.0,51380,49.80,45.20,47.5,0.50,1.05,0,25000,12000
MSN,05/25/2010,45.1,47.5,45.1,47.5,120830,49.70,45.10,47.4,0.10,0.21,0,42830,0
MSN,05/24/2010,47.4,49.5,47.4,47.4,30620,52.00,47.40,49.8,-2.40,-4.82,50000,20360,17000
MSN,05/21/2010,47.5,50.0,47.5,49.8,223850,52.50,47.50,50.0,-0.20,-0.40,20000,31900,0
MSN,05/20/2010,47.6,51.0,47.6,50.0,291150,51.00,46.20,48.6,1.40,2.88,0,0,29000
MSN,05/19/2010,47.7,48.6,46.4,48.6,179090,48.60,44.00,46.3,2.30,4.97,0,51150,0
MSN,05/18/2010,46.2,46.3,42.5,46.3,168910,46.30,41.90,44.1,2.20,4.99,0,40780,2010
MSN,05/17/2010,44.1,44.1,44.1,44.1,110470,44.10,39.90,42.0,2.10,5.00,0,20000,1600
MSN,05/14/2010,42.0,42.0,42.0,42.0,85600,42.00,38.00,40.0,2.00,5.00,0,36220,17000
MSN,05/13/2010,41.4,43.0,40.0,40.0,161370,43.40,39.40,41.4,-1.40,-3.38,0,117200,30200
MSN,05/12/2010,43.5,43.5,41.4,41.4,204140,45.60,41.40,43.5,-2.10,-4.83,0,147150,29920
