MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
NBP,08/09/2010,27.0,27.0,25.1,25.6,62100,28.30,24.70,26.5,-0.90,-3.40,0,0,0
NBP,08/06/2010,26.5,27.0,26.4,26.5,70300,28.60,25.00,26.8,-0.30,-1.12,0,0,0
NBP,08/05/2010,27.5,27.5,26.6,26.8,66900,28.60,25.00,26.8,0.00,0.00,0,0,0
NBP,08/04/2010,27.0,27.3,26.5,26.8,61500,29.30,25.50,27.4,-0.60,-2.19,0,0,0
NBP,08/03/2010,28.0,28.1,27.2,27.4,71600,30.00,26.20,28.1,-0.70,-2.49,0,0,0
NBP,08/02/2010,28.9,29.4,27.6,28.1,155800,29.40,25.60,27.5,0.60,2.18,0,0,0
NBP,07/30/2010,27.9,28.5,27.2,27.5,164500,28.50,24.90,26.7,0.80,3.00,0,0,0
NBP,07/29/2010,27.0,27.0,26.4,26.7,16900,28.30,24.70,26.5,0.20,0.75,0,0,0
NBP,07/28/2010,27.5,27.5,26.2,26.5,100300,28.80,25.20,27.0,-0.50,-1.85,0,0,0
NBP,07/27/2010,26.8,27.7,26.8,27.0,80300,28.60,25.00,26.8,0.20,0.75,0,0,0
NBP,07/26/2010,27.0,27.4,26.6,26.8,70400,28.80,25.20,27.0,-0.20,-0.74,0,0,0
NBP,07/23/2010,27.4,27.4,26.8,27.0,136800,29.20,25.40,27.3,-0.30,-1.10,0,0,0
NBP,07/22/2010,28.1,28.1,27.0,27.3,95300,29.90,26.10,28.0,-0.70,-2.50,0,0,0
NBP,07/21/2010,28.7,28.7,27.7,28.0,117900,30.40,26.60,28.5,-0.50,-1.75,0,0,0
NBP,07/20/2010,29.0,29.4,28.1,28.5,196000,31.40,27.40,29.4,-0.90,-3.06,0,0,0
NBP,07/19/2010,28.9,29.9,28.9,29.4,395900,29.90,26.10,28.0,1.40,5.00,10200,0,200
NBP,07/16/2010,28.1,28.3,27.8,28.0,106000,30.00,26.20,28.1,-0.10,-0.36,0,0,0
NBP,07/15/2010,28.0,28.3,27.9,28.1,121300,30.40,26.60,28.5,-0.40,-1.40,0,0,0
NBP,07/14/2010,29.0,29.0,28.0,28.5,191900,30.70,26.70,28.7,-0.20,-0.70,0,0,0
NBP,07/13/2010,27.8,28.9,27.8,28.7,198000,29.70,25.90,27.8,0.90,3.24,0,0,0
NBP,07/12/2010,27.9,28.0,27.5,27.8,113200,29.80,26.00,27.9,-0.10,-0.36,0,0,0
NBP,07/09/2010,27.1,28.5,27.1,27.9,176400,28.80,25.20,27.0,0.90,3.33,0,0,500
NBP,07/08/2010,26.4,27.8,26.4,27.0,181700,28.20,24.60,26.4,0.60,2.27,0,10000,0
NBP,07/07/2010,26.5,26.7,26.2,26.4,118300,28.20,24.60,26.4,0.00,0.00,0,0,0
NBP,07/06/2010,26.8,26.8,26.2,26.4,77900,28.60,25.00,26.8,-0.40,-1.49,0,0,0
NBP,07/05/2010,27.0,27.0,26.4,26.8,43200,28.40,24.80,26.6,0.20,0.75,0,0,0
NBP,07/02/2010,26.5,27.0,26.3,26.6,63400,28.10,24.50,26.3,0.30,1.14,0,0,0
NBP,07/01/2010,25.3,26.6,25.3,26.3,95300,27.90,24.30,26.1,0.20,0.77,0,0,0
NBP,06/30/2010,26.0,26.7,25.8,26.1,89900,28.60,25.00,26.8,-0.70,-2.61,20000,0,0
NBP,06/29/2010,27.2,27.3,26.6,26.8,95700,28.60,25.00,26.8,0.00,0.00,0,0,0
NBP,06/28/2010,27.0,27.0,26.5,26.8,110600,28.60,25.00,26.8,0.00,0.00,0,0,0
NBP,06/25/2010,26.9,27.3,26.5,26.8,230500,29.30,25.50,27.4,-0.60,-2.19,0,0,0
NBP,06/24/2010,27.8,28.5,27.1,27.4,274200,29.40,25.60,27.5,-0.10,-0.36,14600,0,0
NBP,06/23/2010,26.8,27.9,26.2,27.5,164900,29.80,26.00,27.9,-0.40,-1.43,0,0,0
NBP,06/22/2010,28.9,28.9,27.5,27.9,164100,30.80,26.80,28.8,-0.90,-3.13,0,0,0
NBP,06/21/2010,29.1,29.3,28.3,28.8,170900,31.10,27.10,29.1,-0.30,-1.03,0,0,0
NBP,06/18/2010,28.0,29.3,28.0,29.1,705100,29.30,25.50,27.4,1.70,6.20,0,0,0
NBP,06/17/2010,26.7,28.6,26.4,27.4,581100,29.40,25.60,27.5,-0.10,-0.36,0,0,0
NBP,06/16/2010,28.5,29.0,26.6,27.5,199700,29.80,26.00,27.9,-0.40,-1.43,0,0,0
NBP,06/15/2010,28.7,28.7,27.2,27.9,430800,28.70,25.10,26.9,1.00,3.72,0,0,0
NBP,06/14/2010,26.9,26.9,26.7,26.9,380500,26.90,23.50,25.2,1.70,6.75,0,0,0
NBP,06/11/2010,24.3,25.6,24.3,25.2,349600,25.60,22.40,24.0,1.20,5.00,0,0,0
NBP,06/10/2010,24.3,24.3,23.7,24.0,32800,26.00,22.60,24.3,-0.30,-1.23,0,0,0
NBP,06/09/2010,24.9,24.9,24.1,24.3,60700,25.60,22.40,24.0,0.30,1.25,0,0,0
NBP,06/08/2010,23.9,24.3,23.8,24.0,67200,25.40,22.20,23.8,0.20,0.84,0,0,0
NBP,06/07/2010,24.4,24.4,23.2,23.8,105100,26.30,22.90,24.6,-0.80,-3.25,0,700,0
NBP,06/04/2010,24.9,24.9,24.4,24.6,57600,26.90,23.50,25.2,-0.60,-2.38,0,0,0
NBP,06/03/2010,25.8,25.8,24.8,25.2,80500,26.50,23.10,24.8,0.40,1.61,0,0,0
NBP,06/02/2010,24.8,25.0,24.5,24.8,58100,26.60,23.20,24.9,-0.10,-0.40,0,0,0
NBP,06/01/2010,24.5,25.2,24.5,24.9,100400,26.50,23.10,24.8,0.10,0.40,0,0,0
NBP,05/31/2010,25.0,25.0,24.6,24.8,69300,27.90,24.30,26.1,-1.30,-4.98,0,0,0
NBP,05/28/2010,25.5,26.6,25.0,26.1,243600,26.60,23.20,24.9,1.20,4.82,0,0,0
NBP,05/27/2010,24.2,25.1,24.2,24.9,54800,26.80,23.40,25.1,-0.20,-0.80,0,0,0
NBP,05/26/2010,25.8,25.8,24.5,25.1,117700,26.00,22.60,24.3,0.80,3.29,0,0,0
NBP,05/25/2010,23.9,24.7,23.9,24.3,85200,25.60,22.40,24.0,0.30,1.25,0,0,0
NBP,05/24/2010,23.7,24.8,23.7,24.0,131300,25.30,22.10,23.7,0.30,1.27,0,0,0
NBP,05/21/2010,24.0,24.5,23.3,23.7,317400,26.70,23.30,25.0,-1.30,-5.20,0,100,0
NBP,05/20/2010,24.2,25.8,23.5,25.0,251300,25.80,22.60,24.2,0.80,3.31,0,0,0
NBP,05/19/2010,24.3,25.0,23.7,24.2,225300,26.30,22.90,24.6,-0.40,-1.63,0,0,0
NBP,05/18/2010,24.4,24.9,24.2,24.6,188900,26.50,23.10,24.8,-0.20,-0.81,0,0,0
NBP,05/17/2010,25.6,26.0,24.5,24.8,134100,27.40,24.00,25.7,-0.90,-3.50,0,0,0
NBP,05/14/2010,25.5,26.0,24.8,25.7,98200,27.40,24.00,25.7,0.00,0.00,0,0,0
NBP,05/13/2010,27.0,27.0,25.3,25.7,174000,27.90,24.30,26.1,-0.40,-1.53,0,0,0
NBP,05/12/2010,28.9,28.9,25.5,26.1,235900,29.30,25.50,27.4,-1.30,-4.74,0,0,0
NBP,05/11/2010,29.5,30.8,28.8,29.1,317900,31.00,27.00,29.0,0.10,0.34,11000,0,3000
NBP,05/10/2010,30.8,31.0,28.5,29.0,215900,32.20,28.00,30.1,-1.10,-3.65,0,0,0
NBP,05/07/2010,31.5,32.9,29.3,30.1,332500,33.70,29.30,31.5,-1.40,-4.44,0,3000,0
NBP,05/06/2010,30.0,31.6,30.0,31.5,656800,31.60,27.60,29.6,1.90,6.42,35000,0,0
NBP,05/05/2010,31.0,31.0,29.2,29.6,283900,33.40,29.20,31.3,-1.70,-5.43,0,0,0
NBP,05/04/2010,31.8,32.9,30.0,31.3,202900,33.90,29.50,31.7,-0.40,-1.26,0,0,0
NBP,04/29/2010,32.8,33.2,30.5,31.7,224900,34.80,30.40,32.6,-0.90,-2.76,0,0,0
NBP,04/28/2010,30.0,32.9,30.0,32.6,468500,32.90,28.70,30.8,1.80,5.84,0,3000,0
NBP,04/27/2010,30.9,32.0,29.5,30.8,353800,33.30,29.10,31.2,-0.40,-1.28,0,0,0
NBP,04/26/2010,32.6,34.7,30.3,31.2,443000,34.70,30.30,32.5,-1.30,-4.00,0,0,0
NBP,04/22/2010,32.5,32.5,31.0,32.5,1736200,32.50,28.30,30.4,2.10,6.91,0,0,17800
NBP,04/21/2010,30.4,30.4,30.4,30.4,114300,30.40,26.60,28.5,1.90,6.67,0,0,0
NBP,04/20/2010,28.5,28.5,28.5,28.5,244400,28.50,24.90,26.7,1.80,6.74,15000,0,0
NBP,04/19/2010,24.8,26.8,24.7,26.7,401900,26.80,23.40,25.1,1.60,6.37,0,0,5000
NBP,04/16/2010,25.3,25.3,24.8,25.1,63700,26.90,23.50,25.2,-0.10,-0.40,0,0,0
