MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
NKD,08/09/2010,41.5,42.5,41.2,41.2,53270,43.50,39.50,41.5,-0.30,-0.72,0,10000,0
NKD,08/06/2010,42.8,42.8,41.2,41.5,56000,44.10,39.90,42.0,-0.50,-1.19,0,10200,0
NKD,08/05/2010,42.0,42.0,42.0,42.0,11350,44.10,39.90,42.0,0.00,0.00,0,10900,60
NKD,08/04/2010,42.9,42.9,41.3,42.0,18780,45.00,40.80,42.9,-0.90,-2.10,0,0,0
NKD,08/03/2010,0.0,43.4,41.7,42.9,5740,44.60,40.40,42.5,0.40,0.94,0,0,0
NKD,08/02/2010,41.7,42.6,41.6,42.5,39190,44.70,40.50,42.6,-0.10,-0.23,0,0,5200
NKD,07/30/2010,42.2,43.3,42.2,42.6,30370,45.10,40.90,43.0,-0.40,-0.93,0,0,2350
NKD,07/29/2010,0.0,43.2,43.0,43.0,39850,45.10,40.90,43.0,0.00,0.00,0,0,2000
NKD,07/28/2010,43.5,43.9,43.0,43.0,33810,45.70,41.50,43.6,-0.60,-1.38,0,0,1360
NKD,07/27/2010,0.0,44.7,43.2,43.6,146450,45.20,41.00,43.1,0.50,1.16,0,0,2000
NKD,07/26/2010,43.1,43.8,43.1,43.1,28190,45.20,41.00,43.1,0.00,0.00,0,0,2000
NKD,07/23/2010,43.8,43.8,43.1,43.1,28510,45.10,40.90,43.0,0.10,0.23,0,0,2000
NKD,07/22/2010,44.0,44.0,43.0,43.0,28730,45.70,41.50,43.6,-0.60,-1.38,0,0,1980
NKD,07/21/2010,44.0,44.0,43.6,43.6,28830,46.20,41.80,44.0,-0.40,-0.91,0,0,2000
NKD,07/20/2010,43.2,44.0,43.2,44.0,15550,45.30,41.10,43.2,0.80,1.85,0,0,2050
NKD,07/19/2010,43.0,44.0,43.0,43.2,13250,46.20,41.80,44.0,-0.80,-1.82,0,0,1000
NKD,07/16/2010,44.9,44.9,42.9,44.0,2040,47.10,42.70,44.9,-0.90,-2.00,0,0,0
NKD,07/15/2010,42.7,44.9,42.5,44.9,137830,45.10,40.90,43.0,1.90,4.42,0,0,3000
NKD,07/14/2010,43.2,43.3,43.0,43.0,53050,45.30,41.10,43.2,-0.20,-0.46,0,0,2000
NKD,07/13/2010,43.0,43.3,42.9,43.2,6810,45.10,40.90,43.0,0.20,0.47,0,0,2000
NKD,07/12/2010,41.0,43.0,41.0,43.0,15610,44.30,40.10,42.2,0.80,1.90,0,0,2000
NKD,07/09/2010,0.0,43.0,42.2,42.2,20150,44.30,40.10,42.2,0.00,0.00,0,0,300
NKD,07/08/2010,0.0,42.9,41.6,42.2,12320,45.10,40.90,43.0,-0.80,-1.86,0,0,0
NKD,07/07/2010,0.0,43.6,43.0,43.0,1410,45.30,41.10,43.2,-0.20,-0.46,0,0,0
NKD,07/06/2010,43.5,43.5,43.0,43.2,4010,45.40,41.20,43.3,-0.10,-0.23,0,0,1600
NKD,07/05/2010,43.1,43.9,43.0,43.3,15490,45.20,41.00,43.1,0.20,0.46,0,0,0
NKD,07/02/2010,44.0,44.0,43.1,43.1,5630,45.20,41.00,43.1,0.00,0.00,0,0,0
NKD,07/01/2010,43.9,43.9,43.0,43.1,12210,44.70,40.50,42.6,0.50,1.17,0,0,0
NKD,06/30/2010,42.6,43.5,42.6,42.6,7400,45.40,41.20,43.3,-0.70,-1.62,0,0,0
NKD,06/29/2010,42.5,44.1,42.5,43.3,84070,44.10,39.90,42.0,1.30,3.10,0,0,12980
NKD,06/28/2010,0.0,43.9,42.0,42.0,36370,46.00,41.80,43.9,-1.90,-4.33,0,0,25950
