MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
NTB,08/09/2010,23.3,23.7,22.6,22.6,702060,24.80,22.60,23.7,-1.10,-4.64,0,1000,0
NTB,08/06/2010,24.3,24.5,23.7,23.7,343710,25.40,23.00,24.2,-0.50,-2.07,90000,0,0
NTB,08/05/2010,24.4,25.3,24.2,24.2,545210,25.60,23.20,24.4,-0.20,-0.82,180000,0,0
NTB,08/04/2010,25.0,25.0,24.2,24.4,553240,26.60,24.20,25.4,-1.00,-3.94,0,4450,0
NTB,08/03/2010,26.0,26.0,25.4,25.4,460240,26.90,24.50,25.7,-0.30,-1.17,44120,100,0
NTB,08/02/2010,25.9,25.9,25.3,25.7,186540,26.90,24.50,25.7,0.00,0.00,0,0,0
NTB,07/30/2010,25.3,26.4,25.1,25.7,495070,26.40,24.00,25.2,0.50,1.98,0,4100,0
NTB,07/29/2010,25.4,25.8,24.8,25.2,761370,26.90,24.50,25.7,-0.50,-1.95,100000,0,470
NTB,07/28/2010,26.6,26.8,25.6,25.7,470280,28.10,25.50,26.8,-1.10,-4.10,30000,4350,0
NTB,07/27/2010,27.3,27.5,26.8,26.8,546770,28.60,26.00,27.3,-0.50,-1.83,0,50,0
NTB,07/26/2010,27.5,28.2,27.3,27.3,305330,28.90,26.30,27.6,-0.30,-1.09,0,0,0
NTB,07/23/2010,28.0,28.1,27.6,27.6,519320,29.20,26.60,27.9,-0.30,-1.08,43000,7900,0
NTB,07/22/2010,28.5,28.5,27.9,27.9,701290,29.90,27.10,28.5,-0.60,-2.11,0,100,0
NTB,07/21/2010,28.2,29.2,28.2,28.5,991450,29.60,26.80,28.2,0.30,1.06,0,730,20
NTB,07/20/2010,28.8,28.8,28.2,28.2,465910,30.20,27.40,28.8,-0.60,-2.08,0,20,0
NTB,07/19/2010,29.3,29.3,28.8,28.8,440720,30.40,27.60,29.0,-0.20,-0.69,1000000,0,0
NTB,07/16/2010,28.9,30.3,28.5,29.0,2107800,30.30,27.50,28.9,0.10,0.35,0,0,0
NTB,07/15/2010,28.1,29.0,27.8,28.9,1341830,29.40,26.60,28.0,0.90,3.21,100000,0,0
NTB,07/14/2010,28.8,29.0,28.0,28.0,517620,30.20,27.40,28.8,-0.80,-2.78,198000,0,0
NTB,07/13/2010,28.7,29.3,28.4,28.8,446730,29.90,27.10,28.5,0.30,1.05,0,0,0
NTB,07/12/2010,28.5,28.7,28.3,28.5,398230,29.90,27.10,28.5,0.00,0.00,0,2310,0
NTB,07/09/2010,27.5,28.5,27.4,28.5,1331340,28.50,25.90,27.2,1.30,4.78,0,300,0
NTB,07/08/2010,28.0,28.0,27.0,27.2,742610,28.20,25.60,26.9,0.30,1.12,726000,0,0
NTB,07/07/2010,27.0,27.6,26.9,26.9,618360,28.20,25.60,26.9,0.00,0.00,60000,3160,0
NTB,07/06/2010,27.4,27.5,26.7,26.9,727580,28.90,26.30,27.6,-0.70,-2.54,0,10,0
NTB,07/05/2010,28.0,28.2,27.5,27.6,469270,29.40,26.60,28.0,-0.40,-1.43,60000,0,0
NTB,07/02/2010,28.2,28.4,27.9,28.0,457550,29.40,26.60,28.0,0.00,0.00,1250330,0,0
NTB,07/01/2010,28.5,28.7,27.8,28.0,892200,29.90,27.10,28.5,-0.50,-1.75,0,0,0
NTB,06/30/2010,28.3,28.7,28.3,28.5,544170,30.50,27.70,29.1,-0.60,-2.06,0,5500,0
NTB,06/29/2010,29.9,29.9,29.0,29.1,467660,30.90,28.10,29.5,-0.40,-1.36,1766300,400,600
NTB,06/28/2010,29.3,30.0,29.2,29.5,305060,30.40,27.60,29.0,0.50,1.72,0,0,0
NTB,06/25/2010,29.9,30.0,28.9,29.0,604220,31.50,28.50,30.0,-1.00,-3.33,40000,0,0
NTB,06/24/2010,30.8,30.8,29.8,30.0,737460,32.00,29.00,30.5,-0.50,-1.64,20000,0,0
NTB,06/23/2010,30.0,31.0,30.0,30.5,606650,32.00,29.00,30.5,0.00,0.00,44000,6810,0
NTB,06/22/2010,31.2,31.4,30.5,30.5,979630,33.00,30.00,31.5,-1.00,-3.17,0,0,0
NTB,06/21/2010,31.7,32.0,31.5,31.5,487530,33.20,30.20,31.7,-0.20,-0.63,225000,8010,0
NTB,06/18/2010,32.2,33.0,31.7,31.7,390290,34.40,31.20,32.8,-1.10,-3.35,0,0,0
NTB,06/17/2010,32.0,33.6,32.0,32.8,1224710,34.00,30.80,32.4,0.40,1.23,277640,0,0
NTB,06/16/2010,31.0,32.4,30.8,32.4,3068110,32.40,29.40,30.9,1.50,4.85,0,2000,0
NTB,06/15/2010,31.0,31.0,30.5,30.9,308670,32.50,29.50,31.0,-0.10,-0.32,394640,0,0
NTB,06/14/2010,31.0,31.7,31.0,31.0,626550,32.50,29.50,31.0,0.00,0.00,30000,350,0
NTB,06/11/2010,31.8,31.8,31.0,31.0,545310,32.70,29.70,31.2,-0.20,-0.64,0,0,0
NTB,06/10/2010,29.5,31.2,29.4,31.2,1303930,31.20,28.40,29.8,1.40,4.70,0,0,0
NTB,06/09/2010,30.5,30.6,29.8,29.8,326570,31.80,28.80,30.3,-0.50,-1.65,0,2580,0
NTB,06/08/2010,30.3,30.7,29.5,30.3,451590,31.80,28.80,30.3,0.00,0.00,0,2000,20000
