MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
PGD,08/11/2010,38.0,38.0,36.6,36.7,15030,38.70,35.10,36.9,-0.20,-0.54,0,0,0
PGD,08/10/2010,36.8,37.0,35.4,36.9,142300,38.90,35.30,37.1,-0.20,-0.54,0,0,0
PGD,08/09/2010,38.8,38.8,37.1,37.1,138830,40.60,36.80,38.7,-1.60,-4.13,0,0,0
PGD,08/06/2010,39.0,39.0,38.6,38.7,58190,40.90,37.10,39.0,-0.30,-0.77,0,5000,0
PGD,08/05/2010,39.0,39.6,38.9,39.0,115080,40.90,37.10,39.0,0.00,0.00,0,55000,0
PGD,08/04/2010,39.5,39.5,38.6,39.0,111530,41.20,37.40,39.3,-0.30,-0.76,0,51000,0
PGD,08/03/2010,39.3,39.6,39.2,39.3,137740,41.30,37.50,39.4,-0.10,-0.25,0,0,0
PGD,08/02/2010,40.4,40.5,39.4,39.4,151410,42.00,38.00,40.0,-0.60,-1.50,30000,51000,0
PGD,07/30/2010,39.9,40.3,39.5,40.0,238640,41.40,37.60,39.5,0.50,1.27,0,57750,0
PGD,07/29/2010,38.9,39.5,38.7,39.5,137290,40.80,37.00,38.9,0.60,1.54,0,42250,0
PGD,07/28/2010,39.3,39.5,38.8,38.9,177890,41.20,37.40,39.3,-0.40,-1.02,0,44440,0
PGD,07/27/2010,39.8,40.0,39.3,39.3,78240,40.70,36.90,38.8,0.50,1.29,30000,0,0
PGD,07/26/2010,39.3,40.0,38.8,38.8,146700,41.20,37.40,39.3,-0.50,-1.27,0,0,0
PGD,07/23/2010,40.4,40.4,39.1,39.3,105400,41.40,37.60,39.5,-0.20,-0.51,0,35000,0
PGD,07/22/2010,40.1,40.1,39.5,39.5,297360,42.10,38.10,40.1,-0.60,-1.50,0,95100,0
PGD,07/21/2010,42.0,42.9,40.1,40.1,235790,44.10,39.90,42.0,-1.90,-4.52,0,80000,100000
PGD,07/20/2010,41.8,43.8,41.0,42.0,479370,44.10,39.90,42.0,0.00,0.00,0,130320,0
PGD,07/19/2010,40.0,42.0,39.9,42.0,387650,42.00,38.00,40.0,2.00,5.00,0,45750,1000
PGD,07/16/2010,38.6,40.2,38.6,40.0,343940,40.50,36.70,38.6,1.40,3.63,0,19000,5000
PGD,07/15/2010,38.4,38.9,38.4,38.6,117840,40.30,36.50,38.4,0.20,0.52,0,0,0
PGD,07/14/2010,39.0,39.0,38.4,38.4,139540,40.40,36.60,38.5,-0.10,-0.26,0,0,10000
PGD,07/13/2010,38.5,38.5,38.0,38.5,69470,39.70,36.10,37.9,0.60,1.58,0,0,0
PGD,07/12/2010,37.6,37.9,37.6,37.9,58530,39.60,36.00,37.8,0.10,0.26,0,740,0
PGD,07/09/2010,37.8,38.0,37.8,37.8,98340,39.60,36.00,37.8,0.00,0.00,0,0,0
PGD,07/08/2010,37.8,38.6,37.7,37.8,131630,39.60,36.00,37.8,0.00,0.00,0,5000,0
PGD,07/07/2010,38.0,39.0,37.7,37.8,461610,39.90,36.10,38.0,-0.20,-0.53,0,0,0
PGD,07/06/2010,38.6,38.6,38.0,38.0,131750,40.50,36.70,38.6,-0.60,-1.55,0,0,0
PGD,07/05/2010,0.0,38.7,38.5,38.6,68240,40.60,36.80,38.7,-0.10,-0.26,43000,0,0
PGD,07/02/2010,39.0,39.1,38.7,38.7,127490,40.90,37.10,39.0,-0.30,-0.77,0,0,0
PGD,07/01/2010,38.0,39.0,37.9,39.0,188390,39.60,36.00,37.8,1.20,3.17,0,1000,0
PGD,06/30/2010,37.1,38.0,37.1,37.8,86090,40.10,36.30,38.2,-0.40,-1.05,0,0,0
PGD,06/29/2010,38.3,38.4,38.1,38.2,80590,39.90,36.10,38.0,0.20,0.53,0,40,0
PGD,06/28/2010,38.1,38.4,38.0,38.0,117600,40.20,36.40,38.3,-0.30,-0.78,0,0,40000
PGD,06/25/2010,37.9,38.6,37.9,38.3,90150,40.50,36.70,38.6,-0.30,-0.78,0,0,0
PGD,06/24/2010,39.3,39.3,38.5,38.6,124140,40.40,36.60,38.5,0.10,0.26,0,200,0
PGD,06/23/2010,38.9,38.9,38.4,38.5,120190,40.70,36.90,38.8,-0.30,-0.77,0,0,40000
PGD,06/22/2010,39.1,39.8,38.8,38.8,52980,41.60,37.80,39.7,-0.90,-2.27,0,0,0
PGD,06/21/2010,40.0,40.5,39.7,39.7,44490,41.60,37.80,39.7,0.00,0.00,0,0,0
PGD,06/18/2010,40.3,40.9,39.7,39.7,86670,42.30,38.30,40.3,-0.60,-1.49,0,0,0
PGD,06/17/2010,38.9,40.6,38.7,40.3,218630,40.60,36.80,38.7,1.60,4.13,0,0,0
PGD,06/16/2010,38.9,38.9,38.6,38.7,109930,40.00,36.20,38.1,0.60,1.57,0,0,0
PGD,06/15/2010,38.4,38.6,38.0,38.1,46570,40.50,36.70,38.6,-0.50,-1.30,0,0,0
PGD,06/14/2010,38.5,39.0,38.5,38.6,55740,40.40,36.60,38.5,0.10,0.26,0,0,0
PGD,06/11/2010,39.2,39.2,38.4,38.5,84380,40.30,36.50,38.4,0.10,0.26,0,0,0
PGD,06/10/2010,38.0,38.5,38.0,38.4,63470,39.90,36.10,38.0,0.40,1.05,0,0,7900
PGD,06/09/2010,38.8,38.8,38.0,38.0,46770,40.10,36.30,38.2,-0.20,-0.52,0,0,3000
PGD,06/08/2010,37.5,39.0,37.5,38.2,36560,40.50,36.70,38.6,-0.40,-1.04,0,0,0
PGD,06/07/2010,39.3,39.8,38.6,38.6,314540,42.60,38.60,40.6,-2.00,-4.93,0,60,0
PGD,06/04/2010,40.9,41.0,40.1,40.6,139220,43.00,39.00,41.0,-0.40,-0.98,0,0,0
PGD,06/03/2010,41.5,41.6,40.7,41.0,147550,43.10,39.10,41.1,-0.10,-0.24,50000,0,0
PGD,06/02/2010,40.3,41.1,40.2,41.1,80330,43.10,39.10,41.1,0.00,0.00,0,0,5000
PGD,06/01/2010,40.5,41.3,40.1,41.1,93890,43.00,39.00,41.0,0.10,0.24,0,0,0
PGD,05/31/2010,42.5,44.5,40.6,41.0,89270,44.60,40.40,42.5,-1.50,-3.53,0,500,0
PGD,05/28/2010,41.5,42.5,41.5,42.5,259860,42.50,38.50,40.5,2.00,4.94,0,0,0
PGD,05/27/2010,39.5,40.5,38.1,40.5,232950,40.70,36.90,38.8,1.70,4.38,0,0,0
PGD,05/26/2010,37.9,38.8,37.0,38.8,130960,38.80,35.20,37.0,1.80,4.86,0,500,0
PGD,05/25/2010,37.0,38.0,37.0,37.0,146770,38.90,35.30,37.1,-0.10,-0.27,0,0,0
PGD,05/24/2010,38.1,38.1,36.9,37.1,192650,40.00,36.20,38.1,-1.00,-2.62,0,200,0
PGD,05/21/2010,38.3,38.5,38.1,38.1,220710,42.10,38.10,40.1,-2.00,-4.99,0,300,0
PGD,05/20/2010,38.2,40.1,38.2,40.1,166050,42.10,38.10,40.1,0.00,0.00,0,0,0
PGD,05/19/2010,40.5,41.0,40.1,40.1,268780,44.30,40.10,42.2,-2.10,-4.98,0,0,0
PGD,05/18/2010,40.9,42.5,40.9,42.2,170820,44.60,40.40,42.5,-0.30,-0.71,0,0,0
PGD,05/17/2010,43.4,43.7,42.5,42.5,146120,45.90,41.70,43.8,-1.30,-2.97,0,500,0
PGD,05/14/2010,43.7,43.9,43.4,43.8,223670,45.80,41.60,43.7,0.10,0.23,0,0,0
PGD,05/13/2010,43.2,44.8,43.2,43.7,197020,45.50,41.30,43.4,0.30,0.69,0,20,0
PGD,05/12/2010,44.6,45.0,43.4,43.4,336970,47.80,43.40,45.6,-2.20,-4.82,0,10000,0
PGD,05/11/2010,46.9,46.9,45.6,45.6,171510,48.30,43.70,46.0,-0.40,-0.87,0,5000,0
PGD,05/10/2010,46.8,47.0,46.0,46.0,149690,49.50,44.90,47.2,-1.20,-2.54,0,10000,0
PGD,05/07/2010,47.9,47.9,46.5,47.2,217800,50.00,45.60,48.0,-0.80,-1.67,0,5000,0
PGD,05/06/2010,48.0,49.0,48.0,48.0,229820,50.00,45.60,48.0,0.00,0.00,0,0,0
PGD,05/05/2010,48.1,48.6,48.0,48.0,254430,51.00,46.20,48.6,-0.60,-1.23,0,0,10000
PGD,05/04/2010,48.8,49.3,48.4,48.6,196170,51.00,46.40,48.8,-0.20,-0.41,0,0,37000
PGD,04/29/2010,49.4,49.4,48.0,48.8,159690,51.00,46.60,49.0,-0.20,-0.41,0,0,0
PGD,04/28/2010,48.7,49.0,48.6,49.0,293030,51.00,46.50,48.9,0.10,0.20,0,0,0
PGD,04/27/2010,49.0,49.5,48.5,48.9,231990,51.00,46.20,48.6,0.30,0.62,0,0,10000
PGD,04/26/2010,49.0,49.8,48.6,48.6,223120,51.00,46.60,49.0,-0.40,-0.82,0,0,23000
PGD,04/22/2010,50.5,51.0,49.0,49.0,198640,53.00,48.00,50.5,-1.50,-2.97,0,0,350
PGD,04/21/2010,52.0,52.0,50.0,50.5,408310,53.00,48.00,50.5,0.00,0.00,0,42000,0
PGD,04/20/2010,48.9,50.5,48.2,50.5,400620,50.50,45.70,48.1,2.40,4.99,0,0,0
PGD,04/19/2010,49.0,49.0,47.8,48.1,193370,50.50,45.80,48.2,-0.10,-0.21,0,0,0
PGD,04/16/2010,48.5,48.9,48.0,48.2,241030,50.00,45.50,47.8,0.40,0.84,0,5000,0
PGD,04/15/2010,49.0,49.0,47.7,47.8,325830,50.50,45.70,48.1,-0.30,-0.62,0,5000,50000
PGD,04/14/2010,49.0,49.0,48.1,48.1,421920,51.00,46.60,49.0,-0.90,-1.84,0,10350,76000
PGD,04/13/2010,49.5,49.8,49.0,49.0,151860,50.00,45.60,48.0,1.00,2.08,0,5000,0
PGD,04/12/2010,50.5,51.0,49.5,49.5,316940,53.00,48.00,50.5,-1.00,-1.98,0,10000,0
PGD,04/09/2010,52.5,52.5,50.0,50.5,304380,54.00,49.00,51.5,-1.00,-1.94,0,52800,1000
PGD,04/08/2010,49.7,51.5,49.5,51.5,990680,51.50,46.90,49.3,2.20,4.46,0,0,0
PGD,04/07/2010,49.5,49.5,48.8,49.3,217430,51.00,46.60,49.0,0.30,0.61,0,5000,0
PGD,04/06/2010,48.9,50.5,48.6,49.0,472480,51.00,46.20,48.6,0.40,0.82,0,0,10200
PGD,04/05/2010,49.9,49.9,48.5,48.6,182520,51.00,46.40,48.8,-0.20,-0.41,0,1000,0
PGD,04/02/2010,48.6,49.5,48.0,48.8,160840,51.00,46.60,49.0,-0.20,-0.41,0,0,0
PGD,04/01/2010,47.6,50.0,47.5,49.0,264820,50.50,46.10,48.5,0.50,1.03,0,2100,0
PGD,03/31/2010,50.0,50.0,48.5,48.5,685530,53.50,48.50,51.0,-2.50,-4.90,0,10000,10000
PGD,03/30/2010,52.5,52.5,51.0,51.0,818140,56.00,51.00,53.5,-2.50,-4.67,0,200,1080
PGD,03/29/2010,52.5,54.0,52.5,53.5,202040,55.50,50.50,53.0,0.50,0.94,0,0,0
PGD,03/26/2010,54.0,54.5,53.0,53.0,170490,56.50,51.50,54.0,-1.00,-1.85,0,0,0
PGD,03/25/2010,54.5,55.0,53.5,54.0,136400,57.50,52.50,55.0,-1.00,-1.82,0,0,0
PGD,03/24/2010,55.0,55.5,54.5,55.0,120160,57.00,52.00,54.5,0.50,0.92,20000,5000,0
PGD,03/23/2010,56.5,56.5,54.5,54.5,249880,58.00,53.00,55.5,-1.00,-1.80,0,0,0
PGD,03/22/2010,55.5,57.5,55.0,55.5,352110,58.50,53.50,56.0,-0.50,-0.89,0,0,0
PGD,03/19/2010,58.0,58.0,56.0,56.0,87910,59.50,54.50,57.0,-1.00,-1.75,0,900,0
PGD,03/18/2010,0.0,57.0,55.5,57.0,405520,57.00,52.00,54.5,2.50,4.59,0,25000,0
PGD,03/17/2010,55.0,55.5,54.5,54.5,116180,57.00,52.00,54.5,0.00,0.00,0,12000,0
PGD,03/16/2010,56.0,56.0,54.5,54.5,122850,59.00,54.00,56.5,-2.00,-3.54,0,0,0
PGD,03/15/2010,56.0,56.5,55.5,56.5,228430,58.50,53.50,56.0,0.50,0.89,0,0,0
PGD,03/12/2010,55.5,56.0,55.5,56.0,167970,58.00,53.00,55.5,0.50,0.90,0,50000,2000
