MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
PMC,08/11/2010,28.5,28.5,28.5,28.5,500,30.20,26.40,28.3,0.20,0.71,0,0,0
PMC,08/10/2010,28.6,29.7,27.5,28.3,9400,30.70,26.70,28.7,-0.40,-1.39,0,0,0
PMC,08/09/2010,28.5,29.0,28.1,28.7,3100,30.90,26.90,28.9,-0.20,-0.69,0,0,0
PMC,08/06/2010,28.8,29.0,28.6,28.9,3300,30.70,26.70,28.7,0.20,0.70,0,0,0
PMC,08/05/2010,28.5,29.7,28.5,28.7,600,30.90,26.90,28.9,-0.20,-0.69,0,0,0
PMC,08/04/2010,29.8,29.8,28.6,28.9,5200,31.80,27.80,29.8,-0.90,-3.02,0,1000,0
PMC,08/03/2010,30.5,30.5,29.7,29.8,2600,32.20,28.00,30.1,-0.30,-1.00,0,0,0
PMC,08/02/2010,30.1,30.1,30.0,30.1,3600,32.20,28.00,30.1,0.00,0.00,0,0,1000
PMC,07/30/2010,31.1,31.1,30.0,30.1,5300,32.10,27.90,30.0,0.10,0.33,0,0,0
PMC,07/29/2010,30.2,30.2,30.0,30.0,5100,32.30,28.10,30.2,-0.20,-0.66,0,0,0
PMC,07/28/2010,31.4,31.4,30.0,30.2,20600,32.60,28.40,30.5,-0.30,-0.98,0,0,0
PMC,07/27/2010,31.2,31.2,30.5,30.5,2200,32.60,28.40,30.5,0.00,0.00,0,0,0
PMC,07/26/2010,30.6,30.6,30.4,30.5,8200,33.50,29.30,31.4,-0.90,-2.87,0,0,0
PMC,07/23/2010,31.3,31.5,31.3,31.4,3100,33.80,29.40,31.6,-0.20,-0.63,0,0,0
PMC,07/22/2010,32.4,32.4,30.8,31.6,25300,32.80,28.60,30.7,0.90,2.93,0,0,0
PMC,07/21/2010,30.5,30.9,30.4,30.7,11000,32.80,28.60,30.7,0.00,0.00,0,0,0
PMC,07/20/2010,30.7,31.3,30.6,30.7,8700,33.40,29.20,31.3,-0.60,-1.92,0,0,0
PMC,07/19/2010,31.3,31.3,31.0,31.3,4800,33.40,29.20,31.3,0.00,0.00,0,0,0
PMC,07/16/2010,30.8,31.5,30.8,31.3,8300,33.00,28.80,30.9,0.40,1.29,0,0,0
PMC,07/15/2010,31.0,31.1,30.5,30.9,6100,33.20,29.00,31.1,-0.20,-0.64,0,2500,0
PMC,07/14/2010,31.0,31.2,31.0,31.1,13200,33.10,28.90,31.0,0.10,0.32,0,4200,0
PMC,07/13/2010,31.0,31.3,30.4,31.0,24400,32.50,28.30,30.4,0.60,1.97,0,0,0
PMC,07/12/2010,30.5,30.8,30.0,30.4,8800,33.00,28.80,30.9,-0.50,-1.62,0,0,0
PMC,07/09/2010,30.0,31.0,30.0,30.9,9700,32.30,28.10,30.2,0.70,2.32,0,0,0
PMC,07/08/2010,32.4,32.4,30.0,30.2,6600,32.50,28.30,30.4,-0.20,-0.66,0,0,0
PMC,07/07/2010,31.9,31.9,30.2,30.4,29600,32.30,28.10,30.2,0.20,0.66,0,0,0
PMC,07/06/2010,30.5,31.0,30.0,30.2,26800,34.40,30.00,32.2,-2.00,-6.21,0,0,0
PMC,07/05/2010,33.0,33.0,31.3,32.2,2200,33.90,29.50,31.7,0.50,1.58,0,0,0
PMC,07/02/2010,32.0,32.0,31.4,31.7,1900,35.90,31.30,33.6,-1.90,-5.65,0,0,0
PMC,07/01/2010,32.0,34.1,32.0,33.6,48600,34.10,29.70,31.9,1.70,5.33,0,0,0
PMC,06/30/2010,30.5,32.3,30.1,31.9,96000,32.30,28.10,30.2,1.70,5.63,0,0,0
PMC,06/29/2010,30.0,30.7,30.0,30.2,600,32.20,28.00,30.1,0.10,0.33,0,0,0
PMC,06/28/2010,30.2,30.2,30.0,30.1,2400,32.20,28.00,30.1,0.00,0.00,0,0,0
PMC,06/25/2010,30.1,30.4,30.0,30.1,6200,32.20,28.00,30.1,0.00,0.00,0,0,0
PMC,06/24/2010,30.1,30.3,30.0,30.1,23700,32.30,28.10,30.2,-0.10,-0.33,0,0,0
PMC,06/23/2010,30.1,30.3,30.0,30.2,12900,32.80,28.60,30.7,-0.50,-1.63,0,0,0
PMC,06/22/2010,31.0,31.0,30.2,30.7,5800,33.10,28.90,31.0,-0.30,-0.97,0,0,0
PMC,06/21/2010,31.0,31.5,30.5,31.0,6900,32.30,28.10,30.2,0.80,2.65,0,0,0
PMC,06/18/2010,30.5,30.6,30.0,30.2,5000,32.40,28.20,30.3,-0.10,-0.33,0,0,0
PMC,06/17/2010,30.2,30.6,30.2,30.3,1700,33.10,28.90,31.0,-0.70,-2.26,0,0,0
PMC,06/16/2010,31.0,31.0,31.0,31.0,2000,32.20,28.00,30.1,0.90,2.99,0,0,0
PMC,06/15/2010,30.0,30.5,30.0,30.1,4500,33.00,28.80,30.9,-0.80,-2.59,0,0,0
PMC,06/14/2010,30.0,31.0,30.0,30.9,3400,32.80,28.60,30.7,0.20,0.65,0,0,0
PMC,06/11/2010,30.8,31.0,30.5,30.7,4400,32.50,28.30,30.4,0.30,0.99,0,0,0
PMC,06/10/2010,30.0,31.0,30.0,30.4,9900,32.10,27.90,30.0,0.40,1.33,0,0,0
PMC,06/09/2010,30.0,30.1,30.0,30.0,4500,32.10,27.90,30.0,0.00,0.00,0,0,0
PMC,06/08/2010,30.0,30.1,30.0,30.0,13900,32.10,27.90,30.0,0.00,0.00,0,0,0
PMC,06/07/2010,30.0,30.0,30.0,30.0,34200,32.20,28.00,30.1,-0.10,-0.33,0,0,0
PMC,06/04/2010,30.5,30.5,30.0,30.1,3100,32.60,28.40,30.5,-0.40,-1.31,0,0,0
PMC,06/03/2010,30.5,30.6,30.5,30.5,6300,32.10,27.90,30.0,0.50,1.67,0,0,0
PMC,06/02/2010,30.1,30.2,30.0,30.0,16300,32.10,27.90,30.0,0.00,0.00,0,0,0
PMC,06/01/2010,30.0,30.0,30.0,30.0,15200,32.20,28.00,30.1,-0.10,-0.33,0,0,0
PMC,05/31/2010,30.2,30.2,30.0,30.1,12300,32.30,28.10,30.2,-0.10,-0.33,0,0,0
PMC,05/28/2010,30.3,30.6,30.0,30.2,29400,31.00,27.00,29.0,1.20,4.14,0,0,0
PMC,05/27/2010,30.0,30.4,29.8,30.0,36300,32.20,28.00,30.1,-0.10,-0.33,0,0,0
PMC,05/26/2010,29.6,30.5,29.6,30.1,7000,31.30,27.30,29.3,0.80,2.73,0,0,0
PMC,05/25/2010,28.6,29.6,28.6,29.3,8000,30.40,26.60,28.5,0.80,2.81,0,0,0
PMC,05/24/2010,28.5,29.0,27.5,28.5,6500,29.30,25.50,27.4,1.10,4.01,0,0,0
PMC,05/21/2010,28.6,29.0,26.7,27.4,28100,30.40,26.60,28.5,-1.10,-3.86,0,100,0
PMC,05/20/2010,29.0,30.0,27.7,28.5,31700,31.70,27.70,29.7,-1.20,-4.04,0,0,0
PMC,05/19/2010,31.5,31.5,29.3,29.7,47000,33.70,29.30,31.5,-1.80,-5.71,0,0,0
PMC,05/18/2010,31.5,31.9,31.3,31.5,7700,34.20,29.80,32.0,-0.50,-1.56,0,0,0
PMC,05/17/2010,32.5,32.5,31.8,32.0,6500,34.80,30.40,32.6,-0.60,-1.84,0,0,0
PMC,05/14/2010,32.1,33.5,32.0,32.6,27800,34.30,29.90,32.1,0.50,1.56,0,3000,0
PMC,05/13/2010,31.0,32.4,31.0,32.1,5200,34.60,30.20,32.4,-0.30,-0.93,0,0,0
PMC,05/12/2010,32.5,34.2,31.9,32.4,32800,36.50,31.90,34.2,-1.80,-5.26,0,0,0
PMC,05/11/2010,33.7,34.8,31.8,34.2,21300,36.20,31.60,33.9,0.30,0.88,0,0,0
PMC,05/10/2010,35.5,35.5,33.5,33.9,12300,37.40,32.60,35.0,-1.10,-3.14,0,0,0
PMC,05/07/2010,36.0,36.0,34.3,35.0,62100,36.70,31.90,34.3,0.70,2.04,0,0,0
PMC,05/06/2010,33.8,34.9,33.8,34.3,31100,36.30,31.70,34.0,0.30,0.88,0,0,0
PMC,05/05/2010,34.3,34.3,33.8,34.0,7300,36.70,31.90,34.3,-0.30,-0.87,0,0,0
PMC,05/04/2010,34.0,35.1,33.7,34.3,46900,36.10,31.50,33.8,0.50,1.48,0,0,0
PMC,04/29/2010,34.5,35.0,33.2,33.8,47200,36.40,31.80,34.1,-0.30,-0.88,0,0,0
PMC,04/28/2010,35.0,35.0,34.0,34.1,28100,36.40,31.80,34.1,0.00,0.00,10000,0,0
PMC,04/27/2010,34.0,35.8,33.0,34.1,40400,36.50,31.90,34.2,-0.10,-0.29,0,0,0
PMC,04/26/2010,35.4,35.4,33.5,34.2,3000,37.80,33.00,35.4,-1.20,-3.39,0,0,0
