MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
PVC,08/11/2010,28.8,29.4,28.0,28.9,309000,30.80,26.80,28.8,0.10,0.35,30000,0,0
PVC,08/10/2010,29.5,30.0,28.7,28.8,416100,32.90,28.70,30.8,-2.00,-6.49,0,0,0
PVC,08/09/2010,33.0,33.0,30.6,30.8,370500,35.20,30.60,32.9,-2.10,-6.38,18500,0,0
PVC,08/06/2010,33.2,33.4,32.7,32.9,189400,35.80,31.20,33.5,-0.60,-1.79,0,6800,0
PVC,08/05/2010,34.0,34.5,32.9,33.5,364800,35.90,31.30,33.6,-0.10,-0.30,0,0,0
PVC,08/04/2010,35.0,35.0,33.3,33.6,593200,38.30,33.30,35.8,-2.20,-6.15,5000,1000,0
PVC,08/03/2010,36.0,36.5,35.1,35.8,231800,38.70,33.70,36.2,-0.40,-1.10,0,0,0
PVC,08/02/2010,37.1,37.1,35.8,36.2,184800,39.60,34.60,37.1,-0.90,-2.43,0,0,0
PVC,07/30/2010,37.0,37.7,36.8,37.1,130400,39.30,34.30,36.8,0.30,0.82,0,0,0
PVC,07/29/2010,36.4,37.4,36.0,36.8,172300,39.30,34.30,36.8,0.00,0.00,0,5000,0
PVC,07/28/2010,37.5,38.4,36.4,36.8,260800,40.80,35.60,38.2,-1.40,-3.66,0,0,0
PVC,07/27/2010,39.0,39.0,37.8,38.2,225100,41.40,36.00,38.7,-0.50,-1.29,0,0,0
PVC,07/26/2010,39.9,39.9,38.3,38.7,129300,41.80,36.40,39.1,-0.40,-1.02,0,0,0
PVC,07/23/2010,39.4,39.4,38.8,39.1,262200,41.90,36.50,39.2,-0.10,-0.26,0,0,0
PVC,07/22/2010,39.0,39.8,38.7,39.2,293900,42.50,37.10,39.8,-0.60,-1.51,0,0,0
PVC,07/21/2010,41.0,41.0,39.0,39.8,371800,44.40,38.60,41.5,-1.70,-4.10,0,0,14000
PVC,07/20/2010,42.4,42.5,40.7,41.5,333000,45.20,39.40,42.3,-0.80,-1.89,0,0,10600
PVC,07/19/2010,41.0,43.3,40.7,42.3,442600,44.60,38.80,41.7,0.60,1.44,0,0,0
PVC,07/16/2010,42.0,43.0,41.1,41.7,611600,43.90,38.30,41.1,0.60,1.46,0,0,0
PVC,07/15/2010,39.0,41.8,39.0,41.1,922600,42.10,36.70,39.4,1.70,4.31,0,0,6800
PVC,07/14/2010,41.0,41.0,38.7,39.4,260000,41.60,36.20,38.9,0.50,1.29,0,0,3400
PVC,07/13/2010,38.5,39.5,38.2,38.9,307100,40.90,35.70,38.3,0.60,1.57,0,5000,0
PVC,07/12/2010,37.0,39.0,37.0,38.3,240200,41.30,35.90,38.6,-0.30,-0.78,0,3400,0
PVC,07/09/2010,39.3,39.3,38.2,38.6,195600,42.00,36.60,39.3,-0.70,-1.78,6900,0,0
PVC,07/08/2010,40.0,41.0,38.6,39.3,216700,42.30,36.90,39.6,-0.30,-0.76,0,0,0
PVC,07/07/2010,39.8,40.8,38.6,39.6,235900,42.50,37.10,39.8,-0.20,-0.50,0,0,0
PVC,07/06/2010,41.6,41.6,39.2,39.8,201200,44.80,39.00,41.9,-2.10,-5.01,0,0,0
PVC,07/05/2010,40.2,42.3,40.2,41.9,546400,42.30,36.90,39.6,2.30,5.81,0,10000,0
PVC,07/02/2010,39.0,40.2,38.6,39.6,452700,40.60,35.40,38.0,1.60,4.21,0,0,6000
