MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
PXI,08/11/2010,23.0,23.9,22.3,22.3,264730,24.50,22.30,23.4,-1.10,-4.70,0,0,0
PXI,08/10/2010,23.6,23.8,23.4,23.4,168880,25.80,23.40,24.6,-1.20,-4.88,0,0,0
PXI,08/09/2010,25.3,26.0,24.6,24.6,512600,27.00,24.60,25.8,-1.20,-4.65,0,0,0
PXI,08/06/2010,26.6,27.0,25.8,25.8,143910,27.90,25.30,26.6,-0.80,-3.01,0,0,0
PXI,08/05/2010,27.9,27.9,26.6,26.6,188400,28.90,26.30,27.6,-1.00,-3.62,0,0,0
PXI,08/04/2010,28.4,29.1,27.6,27.6,735560,30.40,27.60,29.0,-1.40,-4.83,0,0,0
PXI,08/03/2010,29.2,29.6,28.9,29.0,331030,30.70,27.90,29.3,-0.30,-1.02,0,0,0
PXI,08/02/2010,30.1,30.1,28.5,29.3,490040,31.30,28.50,29.9,-0.60,-2.01,0,0,0
PXI,07/30/2010,29.9,30.3,29.8,29.9,754010,30.80,28.00,29.4,0.50,1.70,0,0,0
PXI,07/29/2010,28.5,29.7,28.5,29.4,314280,30.60,27.80,29.2,0.20,0.68,0,0,0
PXI,07/28/2010,30.6,30.6,29.2,29.2,322430,32.00,29.00,30.5,-1.30,-4.26,1040480,50,0
PXI,07/27/2010,30.3,30.8,29.8,30.5,445940,31.90,28.90,30.4,0.10,0.33,0,50,0
PXI,07/26/2010,30.4,30.8,30.0,30.4,1217400,31.00,28.20,29.6,0.80,2.70,0,0,0
PXI,07/23/2010,29.0,29.6,28.2,29.6,653480,30.30,27.50,28.9,0.70,2.42,0,0,0
PXI,07/22/2010,29.9,29.9,28.7,28.9,480860,31.30,28.50,29.9,-1.00,-3.34,0,0,0
PXI,07/21/2010,30.7,30.7,29.8,29.9,562720,31.10,28.30,29.7,0.20,0.67,0,0,0
PXI,07/20/2010,30.3,30.3,29.7,29.7,292280,31.50,28.50,30.0,-0.30,-1.00,597110,0,0
PXI,07/19/2010,30.0,30.5,29.8,30.0,292080,31.90,28.90,30.4,-0.40,-1.32,0,0,0
PXI,07/16/2010,30.0,30.5,29.9,30.4,387530,32.00,29.00,30.5,-0.10,-0.33,0,0,0
PXI,07/15/2010,30.8,31.4,30.5,30.5,734300,32.00,29.00,30.5,0.00,0.00,0,0,0
PXI,07/14/2010,31.5,31.9,30.5,30.5,381900,33.00,30.00,31.5,-1.00,-3.17,0,0,0
PXI,07/13/2010,31.5,32.0,30.8,31.5,412610,32.30,29.30,30.8,0.70,2.27,0,0,0
PXI,07/12/2010,30.2,30.9,30.2,30.8,416110,31.60,28.60,30.1,0.70,2.33,69000,0,0
PXI,07/09/2010,30.8,31.2,30.1,30.1,526640,32.50,29.50,31.0,-0.90,-2.90,22000,0,0
PXI,07/08/2010,32.1,32.3,30.4,31.0,686650,32.90,29.90,31.4,-0.40,-1.27,0,100,6000
PXI,07/07/2010,33.0,33.0,30.9,31.4,549060,33.60,30.40,32.0,-0.60,-1.88,0,0,1000
PXI,07/06/2010,33.7,33.8,32.0,32.0,1672660,34.00,30.80,32.4,-0.40,-1.23,0,0,1000
PXI,07/05/2010,31.7,32.4,31.7,32.4,877300,32.40,29.40,30.9,1.50,4.85,20000,0,0
PXI,07/02/2010,31.0,31.4,30.4,30.9,525430,32.10,29.10,30.6,0.30,0.98,0,3000,0
PXI,07/01/2010,32.0,32.0,30.6,30.6,533300,33.40,30.40,31.9,-1.30,-4.08,0,0,0
PXI,06/30/2010,32.1,32.5,31.8,31.9,658390,34.60,31.40,33.0,-1.10,-3.33,0,0,0
PXI,06/29/2010,32.6,34.0,32.6,33.0,992320,34.20,31.00,32.6,0.40,1.23,40000,5000,5000
PXI,06/28/2010,33.5,33.6,32.5,32.6,893030,35.20,32.00,33.6,-1.00,-2.98,300000,0,0
PXI,06/25/2010,33.0,34.9,32.0,33.6,1358250,34.90,31.70,33.3,0.30,0.90,0,0,0
PXI,06/24/2010,33.3,33.3,33.1,33.3,1115720,33.30,30.30,31.8,1.50,4.72,0,0,0
PXI,06/23/2010,31.8,31.8,31.5,31.8,1033400,31.80,28.80,30.3,1.50,4.95,0,1000,0
PXI,06/22/2010,29.0,30.3,28.6,30.3,1570740,30.30,27.50,28.9,1.40,4.84,0,5000,0
PXI,06/21/2010,25.6,29.0,25.6,28.9,1478250,38.40,25.60,0.0,28.90,0.00,0,790,0
