MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
QST,08/11/2010,12.2,13.7,12.2,13.4,1100,13.80,12.00,12.9,0.50,3.88,0,0,0
QST,08/10/2010,13.6,13.6,12.8,12.9,1100,13.60,12.00,12.8,0.10,0.78,0,0,0
QST,08/09/2010,12.8,12.9,12.8,12.8,3100,14.60,12.80,13.7,-0.90,-6.57,0,0,0
QST,08/06/2010,12.9,14.5,12.9,13.7,1000,14.60,12.80,13.7,0.00,0.00,0,0,0
QST,08/05/2010,14.1,14.1,13.6,13.7,400,14.30,12.50,13.4,0.30,2.24,0,0,0
QST,08/04/2010,13.5,13.5,13.4,13.4,7900,15.40,13.40,14.4,-1.00,-6.94,0,0,0
QST,08/03/2010,14.6,14.6,14.3,14.4,400,15.30,13.30,14.3,0.10,0.70,0,0,0
QST,08/02/2010,14.3,14.3,14.3,14.3,200,14.30,12.50,13.4,0.90,6.72,0,0,0
QST,07/30/2010,13.1,13.8,13.1,13.4,1400,14.30,12.50,13.4,0.00,0.00,0,0,0
QST,07/29/2010,0.0,0.0,0.0,13.4,0,14.30,12.50,13.4,0.00,0.00,0,0,0
QST,07/28/2010,14.7,14.7,13.2,13.4,2600,15.00,13.20,14.1,-0.70,-4.96,0,0,0
QST,07/27/2010,0.0,0.0,0.0,14.1,0,15.00,13.20,14.1,0.00,0.00,0,0,0
QST,07/26/2010,14.1,14.1,14.1,14.1,1800,15.60,13.60,14.6,-0.50,-3.42,0,0,0
QST,07/23/2010,14.6,14.6,14.6,14.6,100,14.90,13.10,14.0,0.60,4.29,0,0,0
QST,07/22/2010,13.8,14.5,13.8,14.0,2400,15.70,13.70,14.7,-0.70,-4.76,0,0,0
QST,07/21/2010,14.8,15.0,14.5,14.7,4200,16.10,14.10,15.1,-0.40,-2.65,0,0,0
QST,07/20/2010,15.2,15.2,14.8,15.1,1500,15.80,13.80,14.8,0.30,2.03,0,0,0
QST,07/19/2010,14.6,15.2,14.3,14.8,9000,15.30,13.30,14.3,0.50,3.50,0,0,0
QST,07/16/2010,14.3,14.4,13.6,14.3,14000,14.40,12.60,13.5,0.80,5.93,0,0,0
QST,07/15/2010,13.5,13.7,13.5,13.5,1200,15.40,13.40,14.4,-0.90,-6.25,0,0,0
QST,07/14/2010,14.8,14.8,14.4,14.4,900,14.80,13.00,13.9,0.50,3.60,0,0,0
