MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
RDP,08/11/2010,0.0,18.7,17.9,18.0,13930,19.70,17.90,18.8,-0.80,-4.26,0,0,0
RDP,08/10/2010,18.8,18.8,18.8,18.8,73490,20.60,18.80,19.7,-0.90,-4.57,0,0,0
RDP,08/09/2010,20.7,20.7,19.7,19.7,3300,21.70,19.70,20.7,-1.00,-4.83,0,0,0
RDP,08/06/2010,20.3,21.0,20.3,20.7,9870,21.00,19.00,20.0,0.70,3.50,0,0,0
RDP,08/05/2010,20.1,20.1,18.5,20.0,20530,20.10,18.30,19.2,0.80,4.17,0,0,0
RDP,08/04/2010,19.4,19.9,19.2,19.2,18670,21.20,19.20,20.2,-1.00,-4.95,0,0,0
RDP,08/03/2010,20.3,21.0,20.2,20.2,49250,22.20,20.20,21.2,-1.00,-4.72,0,0,0
RDP,08/02/2010,20.7,21.9,20.7,21.2,18560,22.60,20.60,21.6,-0.40,-1.85,0,0,0
RDP,07/30/2010,21.7,22.6,21.6,21.6,108140,22.60,20.60,21.6,0.00,0.00,0,0,0
RDP,07/29/2010,21.9,21.9,20.9,21.6,134290,22.90,20.90,21.9,-0.30,-1.37,0,0,0
RDP,07/28/2010,22.0,22.3,21.1,21.9,165790,23.10,20.90,22.0,-0.10,-0.45,0,0,0
RDP,07/27/2010,22.0,22.4,21.6,22.0,336550,23.80,21.60,22.7,-0.70,-3.08,0,0,0
RDP,07/26/2010,22.8,23.0,22.0,22.7,137780,23.70,21.50,22.6,0.10,0.44,0,0,0
RDP,07/23/2010,23.6,23.6,22.5,22.6,207700,23.60,21.40,22.5,0.10,0.44,0,0,0
RDP,07/22/2010,22.5,22.5,22.4,22.5,166230,22.50,20.50,21.5,1.00,4.65,0,2000,0
RDP,07/21/2010,20.6,21.5,20.6,21.5,333230,21.50,19.50,20.5,1.00,4.88,73180,0,0
RDP,07/20/2010,20.6,20.6,20.0,20.5,84710,21.00,19.00,20.0,0.50,2.50,0,0,0
RDP,07/19/2010,19.7,20.0,19.5,20.0,14530,20.50,18.70,19.6,0.40,2.04,0,0,0
RDP,07/16/2010,0.0,19.9,19.6,19.6,35840,20.80,19.00,19.9,-0.30,-1.51,0,0,1000
RDP,07/15/2010,19.6,20.8,19.6,19.9,27440,21.50,19.50,20.5,-0.60,-2.93,0,0,0
RDP,07/14/2010,21.0,21.0,20.5,20.5,72500,21.00,19.00,20.0,0.50,2.50,0,0,0
RDP,07/13/2010,19.1,20.0,19.1,20.0,116290,20.00,18.20,19.1,0.90,4.71,0,0,0
RDP,07/12/2010,0.0,19.5,19.1,19.1,3490,20.10,18.30,19.2,-0.10,-0.52,0,0,0
RDP,07/09/2010,19.0,19.2,19.0,19.2,13060,20.10,18.30,19.2,0.00,0.00,0,0,0
RDP,07/08/2010,20.3,20.3,19.0,19.2,24910,20.50,18.70,19.6,-0.40,-2.04,0,0,0
RDP,07/07/2010,19.5,20.7,19.5,19.6,46630,20.70,18.90,19.8,-0.20,-1.01,0,0,1000
RDP,07/06/2010,20.4,20.4,19.7,19.8,135610,21.70,19.70,20.7,-0.90,-4.35,0,0,30
RDP,07/05/2010,21.4,21.4,20.0,20.7,51840,21.80,19.80,20.8,-0.10,-0.48,0,0,0
RDP,07/02/2010,19.5,20.8,19.5,20.8,155810,20.80,19.00,19.9,0.90,4.52,0,0,0
RDP,07/01/2010,20.3,20.3,18.6,19.9,115990,20.30,18.50,19.4,0.50,2.58,0,0,40
RDP,06/30/2010,18.2,19.4,18.2,19.4,219510,19.40,17.60,18.5,0.90,4.86,0,2000,0
RDP,06/29/2010,18.0,18.5,17.9,18.5,110740,18.50,16.90,17.7,0.80,4.52,0,0,0
RDP,06/28/2010,0.0,17.8,17.6,17.7,31430,18.50,16.90,17.7,0.00,0.00,0,0,30
RDP,06/25/2010,0.0,18.0,17.6,17.7,21410,18.40,16.80,17.6,0.10,0.57,0,0,0
RDP,06/24/2010,0.0,18.0,17.6,17.6,17300,18.50,16.90,17.7,-0.10,-0.56,0,0,0
RDP,06/23/2010,0.0,17.7,17.6,17.7,15490,18.50,16.90,17.7,0.00,0.00,0,0,0
RDP,06/22/2010,0.0,18.3,17.7,17.7,28280,19.30,17.50,18.4,-0.70,-3.80,0,0,0
RDP,06/21/2010,17.8,18.5,17.8,18.4,5130,18.60,17.00,17.8,0.60,3.37,0,100,0
RDP,06/18/2010,18.1,18.8,17.8,17.8,29980,19.50,17.70,18.6,-0.80,-4.30,0,0,0
RDP,06/17/2010,0.0,18.6,17.7,18.6,92060,18.60,17.00,17.8,0.80,4.49,0,0,0
RDP,06/16/2010,17.5,18.0,17.5,17.8,11760,18.30,16.70,17.5,0.30,1.71,0,0,0
RDP,06/15/2010,17.7,17.7,17.4,17.5,33850,18.30,16.70,17.5,0.00,0.00,0,0,0
RDP,06/14/2010,17.3,17.9,17.3,17.5,6860,18.30,16.70,17.5,0.00,0.00,0,0,0
RDP,06/11/2010,17.9,17.9,17.5,17.5,23230,18.30,16.70,17.5,0.00,0.00,0,0,0
RDP,06/10/2010,17.0,17.9,17.0,17.5,12020,18.30,16.70,17.5,0.00,0.00,0,0,0
RDP,06/09/2010,17.9,18.0,17.5,17.5,21130,18.30,16.70,17.5,0.00,0.00,0,0,0
RDP,06/08/2010,0.0,17.5,17.0,17.5,23850,17.50,15.90,16.7,0.80,4.79,0,0,0
RDP,06/07/2010,16.7,17.0,16.7,16.7,49730,18.30,16.70,17.5,-0.80,-4.57,0,0,0
RDP,06/04/2010,17.5,17.7,17.5,17.5,6100,18.30,16.70,17.5,0.00,0.00,0,0,0
RDP,06/03/2010,17.5,17.9,17.5,17.5,38790,18.30,16.70,17.5,0.00,0.00,0,0,0
RDP,06/02/2010,17.9,17.9,17.2,17.5,12910,18.20,16.60,17.4,0.10,0.57,0,0,0
RDP,06/01/2010,17.2,18.0,17.2,17.4,12430,18.60,17.00,17.8,-0.40,-2.25,0,0,0
RDP,05/31/2010,18.3,18.3,17.8,17.8,10510,19.50,17.70,18.6,-0.80,-4.30,0,0,0
