MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
S96,08/11/2010,42.9,44.5,42.3,43.6,210200,45.10,39.30,42.2,1.40,3.32,15000,0,1100
S96,08/10/2010,45.0,45.0,41.9,42.2,245600,48.10,41.90,45.0,-2.80,-6.22,52400,0,0
S96,08/09/2010,47.0,47.0,44.6,45.0,280300,51.20,44.60,47.9,-2.90,-6.05,73000,0,0
S96,08/06/2010,47.6,48.3,47.6,47.9,224000,51.00,44.40,47.7,0.20,0.42,0,0,200
S96,08/05/2010,50.0,50.0,47.0,47.7,169600,51.00,44.40,47.7,0.00,0.00,150000,1600,0
S96,08/04/2010,48.0,48.5,47.0,47.7,179300,51.70,45.10,48.4,-0.70,-1.45,45000,1900,0
S96,08/03/2010,48.0,49.3,47.9,48.4,218700,51.60,45.00,48.3,0.10,0.21,63000,0,0
S96,08/02/2010,49.0,49.0,47.7,48.3,177000,52.00,45.20,48.6,-0.30,-0.62,37400,0,0
S96,07/30/2010,48.6,49.1,48.2,48.6,292600,52.00,45.20,48.6,0.00,0.00,125000,0,0
S96,07/29/2010,46.5,49.5,46.5,48.6,313600,51.10,44.50,47.8,0.80,1.67,50000,0,23900
S96,07/28/2010,49.0,49.5,47.1,47.8,285000,53.30,46.50,49.9,-2.10,-4.21,63000,0,1000
S96,07/27/2010,51.8,51.8,49.0,49.9,294200,54.80,47.80,51.3,-1.40,-2.73,29000,0,2000
S96,07/26/2010,51.0,52.9,50.0,51.3,583600,53.30,46.50,49.9,1.40,2.81,65000,16900,0
S96,07/23/2010,51.0,51.5,49.0,49.9,668300,52.40,45.60,49.0,0.90,1.84,317000,1000,0
S96,07/22/2010,48.0,50.9,46.8,49.0,627800,51.30,44.70,48.0,1.00,2.08,0,11000,1000
S96,07/21/2010,48.5,48.8,47.6,48.0,275300,52.30,45.50,48.9,-0.90,-1.84,10000,2000,2100
S96,07/20/2010,50.0,51.5,48.0,48.9,408700,53.70,46.70,50.2,-1.30,-2.59,43000,0,0
S96,07/19/2010,50.3,50.6,48.5,50.2,1232600,50.60,44.00,47.3,2.90,6.13,0,15500,0
S96,07/16/2010,45.7,48.8,45.0,47.3,954800,48.80,42.60,45.7,1.60,3.50,87000,0,1000
S96,07/15/2010,46.9,46.9,45.2,45.7,225900,49.70,43.30,46.5,-0.80,-1.72,40400,0,0
S96,07/14/2010,48.0,48.5,45.7,46.5,266000,50.10,43.70,46.9,-0.40,-0.85,8000,0,4200
S96,07/13/2010,45.2,47.5,45.2,46.9,350900,48.30,42.10,45.2,1.70,3.76,0,0,0
S96,07/12/2010,44.0,46.6,43.0,45.2,360600,46.90,40.90,43.9,1.30,2.96,10000,11000,1100
S96,07/09/2010,44.5,44.8,43.5,43.9,241200,47.70,41.50,44.6,-0.70,-1.57,10000,0,100
S96,07/08/2010,45.0,46.0,43.7,44.6,271400,47.90,41.70,44.8,-0.20,-0.45,0,0,100
S96,07/07/2010,45.5,45.9,44.1,44.8,300800,48.40,42.20,45.3,-0.50,-1.10,10000,0,100
S96,07/06/2010,46.8,47.0,44.7,45.3,363900,49.80,43.40,46.6,-1.30,-2.79,0,0,0
S96,07/05/2010,46.3,47.5,46.0,46.6,219200,49.20,42.80,46.0,0.60,1.30,0,0,100
S96,07/02/2010,46.0,46.6,45.6,46.0,314800,48.70,42.50,45.6,0.40,0.88,10000,0,0
S96,07/01/2010,44.5,46.8,44.4,45.6,499100,48.00,41.80,44.9,0.70,1.56,10000,0,0
S96,06/30/2010,43.9,45.9,43.9,44.9,424900,50.50,43.90,47.2,-2.30,-4.87,0,0,0
S96,06/29/2010,47.8,49.0,46.0,47.2,412600,51.10,44.50,47.8,-0.60,-1.26,0,0,0
S96,06/28/2010,50.0,50.0,47.0,47.8,407600,52.80,46.00,49.4,-1.60,-3.24,0,0,0
S96,06/25/2010,54.0,54.2,48.1,49.4,411700,54.20,47.20,50.7,-1.30,-2.56,0,500,0
S96,06/24/2010,48.5,50.8,48.3,50.7,638000,50.80,44.20,47.5,3.20,6.74,0,0,0
S96,06/23/2010,47.0,49.0,46.1,47.5,618400,52.40,45.60,49.0,-1.50,-3.06,10000,22000,2400
S96,06/22/2010,50.0,51.0,48.1,49.0,944900,55.30,48.10,51.7,-2.70,-5.22,20000,500,1000
S96,06/21/2010,54.0,54.0,50.5,51.7,718300,55.80,48.60,52.2,-0.50,-0.96,0,0,0
S96,06/18/2010,49.2,53.0,49.2,52.2,977000,53.00,46.20,49.6,2.60,5.24,85050,0,0
S96,06/17/2010,51.4,51.5,47.0,49.6,1212100,51.50,44.90,48.2,1.40,2.90,20800,1900,200
S96,06/16/2010,48.0,48.2,48.0,48.2,682800,48.20,42.00,45.1,3.10,6.87,0,1000,1400
S96,06/15/2010,43.0,45.2,42.0,45.1,884100,45.20,39.40,42.3,2.80,6.62,10000,0,300
S96,06/14/2010,42.8,43.9,41.0,42.3,631300,46.10,40.10,43.1,-0.80,-1.86,0,0,0
S96,06/11/2010,43.0,43.1,42.7,43.1,1422000,43.10,37.50,40.3,2.80,6.95,0,1000,149900
S96,06/10/2010,40.0,40.4,39.7,40.3,791500,40.40,35.20,37.8,2.50,6.61,0,0,60000
S96,06/09/2010,36.2,37.9,36.2,37.8,124700,37.90,33.10,35.5,2.30,6.48,0,0,0
S96,06/08/2010,34.0,37.4,34.0,35.5,717100,38.90,33.90,36.4,-0.90,-2.47,110550,0,0
S96,06/07/2010,36.3,38.0,36.3,36.4,483000,41.70,36.30,39.0,-2.60,-6.67,0,0,0
S96,06/04/2010,41.0,41.0,38.2,39.0,162200,43.80,38.20,41.0,-2.00,-4.88,0,0,0
S96,06/03/2010,41.0,42.0,40.0,41.0,23600,43.00,37.40,40.2,0.80,1.99,0,0,0
S96,06/02/2010,40.0,41.0,40.0,40.2,40100,42.40,37.00,39.7,0.50,1.26,10000,0,0
S96,06/01/2010,39.9,40.5,38.9,39.7,100200,42.60,37.20,39.9,-0.20,-0.50,0,0,0
S96,05/31/2010,41.0,41.0,39.6,39.9,55900,45.40,39.60,42.5,-2.60,-6.12,0,0,0
S96,05/28/2010,42.0,43.0,41.8,42.5,75400,43.00,37.40,40.2,2.30,5.72,0,0,0
S96,05/27/2010,41.0,41.0,39.5,40.2,32000,43.50,37.90,40.7,-0.50,-1.23,0,0,0
S96,05/26/2010,40.7,41.5,39.3,40.7,52200,43.70,38.10,40.9,-0.20,-0.49,0,0,0
S96,05/25/2010,41.4,41.4,40.0,40.9,43200,42.30,36.90,39.6,1.30,3.28,0,0,0
S96,05/24/2010,39.9,40.1,38.6,39.6,67600,40.10,34.90,37.5,2.10,5.60,0,0,0
S96,05/21/2010,39.3,39.3,36.5,37.5,100100,41.60,36.20,38.9,-1.40,-3.60,0,0,0
S96,05/20/2010,37.1,41.3,37.0,38.9,181400,42.40,37.00,39.7,-0.80,-2.02,0,0,0
S96,05/19/2010,41.5,41.5,39.3,39.7,72700,45.10,39.30,42.2,-2.50,-5.92,0,0,0
S96,05/18/2010,43.7,43.7,40.7,42.2,26000,45.00,39.20,42.1,0.10,0.24,0,0,0
S96,05/17/2010,43.0,44.0,41.0,42.1,32900,46.30,40.30,43.3,-1.20,-2.77,0,0,0
S96,05/14/2010,43.4,43.9,42.0,43.3,49800,44.40,38.60,41.5,1.80,4.34,0,0,0
S96,05/13/2010,39.9,45.0,39.9,41.5,175500,45.90,39.90,42.9,-1.40,-3.26,0,0,0
S96,05/12/2010,43.0,43.5,42.8,42.9,130200,49.20,42.80,46.0,-3.10,-6.74,0,0,0
S96,05/11/2010,47.0,50.9,44.8,46.0,147600,51.00,44.40,47.7,-1.70,-3.56,0,0,0
S96,05/10/2010,52.0,52.0,47.3,47.7,91000,54.30,47.30,50.8,-3.10,-6.10,0,0,0
S96,05/07/2010,53.7,53.7,46.7,50.8,480500,53.70,46.70,50.2,0.60,1.20,0,0,0
S96,05/06/2010,50.2,50.2,50.2,50.2,78300,50.20,43.80,47.0,3.20,6.81,0,0,0
S96,05/05/2010,47.0,47.0,47.0,47.0,124400,47.00,41.00,44.0,3.00,6.82,15000,0,0
S96,05/04/2010,42.5,44.0,42.5,44.0,193400,44.00,38.40,41.2,2.80,6.80,0,0,100
S96,04/29/2010,40.4,42.0,40.4,41.2,65900,43.20,37.60,40.4,0.80,1.98,0,0,100
S96,04/28/2010,41.0,41.0,39.7,40.4,68200,43.90,38.30,41.1,-0.70,-1.70,5000,0,0
S96,04/27/2010,41.0,41.5,40.9,41.1,26300,43.70,38.10,40.9,0.20,0.49,0,0,10500
S96,04/26/2010,42.4,42.4,40.5,40.9,8000,45.60,39.80,42.7,-1.80,-4.22,0,0,0
S96,04/22/2010,45.0,45.0,40.6,42.7,95700,46.10,40.10,43.1,-0.40,-0.93,0,0,0
S96,04/21/2010,42.0,43.5,41.5,43.1,202800,43.50,37.90,40.7,2.40,5.90,0,0,100
S96,04/20/2010,39.7,41.9,39.7,40.7,74000,42.60,37.20,39.9,0.80,2.01,0,10500,100
