MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
SBS,08/11/2010,0.0,33.9,32.5,31.5,26080,33.90,30.70,32.3,-0.80,-2.48,0,0,0
SBS,08/10/2010,32.3,35.5,32.3,32.3,678810,35.70,32.30,34.0,-1.70,-5.00,20000,0,0
SBS,08/09/2010,0.0,34.0,34.0,34.0,12000,35.90,32.50,34.2,-0.20,-0.58,0,0,0
SBS,08/06/2010,34.4,34.9,34.2,34.2,152290,37.60,34.20,35.9,-1.70,-4.74,50000,100000,0
SBS,08/05/2010,0.0,36.0,35.0,35.9,105900,37.80,34.20,36.0,-0.10,-0.28,50000,0,0
SBS,08/04/2010,35.7,36.0,35.5,36.0,81960,37.90,34.30,36.1,-0.10,-0.28,0,0,0
SBS,08/03/2010,36.2,36.7,36.1,36.1,78530,38.00,34.40,36.2,-0.10,-0.28,0,0,0
SBS,08/02/2010,37.0,37.0,36.0,36.2,64330,38.00,34.40,36.2,0.00,0.00,0,0,0
SBS,07/30/2010,36.9,36.9,36.2,36.2,174190,38.80,35.20,37.0,-0.80,-2.16,220000,0,0
SBS,07/29/2010,37.5,37.5,36.0,37.0,100020,39.10,35.50,37.3,-0.30,-0.80,0,0,0
SBS,07/28/2010,37.4,37.4,36.8,37.3,85080,38.80,35.20,37.0,0.30,0.81,2850000,0,0
SBS,07/27/2010,37.0,37.5,37.0,37.0,106220,39.20,35.60,37.4,-0.40,-1.07,0,0,0
SBS,07/26/2010,38.4,38.4,37.0,37.4,127830,39.30,35.70,37.5,-0.10,-0.27,115000,40,0
SBS,07/23/2010,38.5,38.5,37.0,37.5,139310,39.20,35.60,37.4,0.10,0.27,0,40,0
SBS,07/22/2010,38.0,38.1,36.7,37.4,126980,39.90,36.10,38.0,-0.60,-1.58,0,40,0
SBS,07/21/2010,38.5,38.5,37.7,38.0,93030,40.40,36.60,38.5,-0.50,-1.30,128720,840,0
SBS,07/20/2010,40.0,40.0,38.5,38.5,288730,42.00,38.00,40.0,-1.50,-3.75,1400000,140,0
SBS,07/19/2010,40.3,40.3,38.8,40.0,219280,42.30,38.30,40.3,-0.30,-0.74,0,0,0
SBS,07/16/2010,40.8,40.8,39.9,40.3,281340,42.50,38.50,40.5,-0.20,-0.49,0,0,0
SBS,07/15/2010,40.9,41.0,40.1,40.5,215340,42.50,38.50,40.5,0.00,0.00,0,0,0
SBS,07/14/2010,41.3,41.4,40.5,40.5,436400,43.30,39.30,41.3,-0.80,-1.94,0,0,0
SBS,07/13/2010,40.0,42.0,39.5,41.3,748060,42.00,38.00,40.0,1.30,3.25,400000,0,0
SBS,07/12/2010,40.1,40.2,38.0,40.0,413090,42.00,38.00,40.0,0.00,0.00,0,0,0
SBS,07/09/2010,40.1,40.3,39.5,40.0,400660,42.10,38.10,40.1,-0.10,-0.25,0,0,20
SBS,07/08/2010,40.1,40.2,39.0,40.1,415700,42.00,38.00,40.0,0.10,0.25,0,5500,0
SBS,07/07/2010,38.0,40.0,38.0,40.0,298970,41.80,38.00,39.9,0.10,0.25,500000,1100,0
SBS,07/06/2010,41.0,41.0,39.9,39.9,108650,44.10,39.90,42.0,-2.10,-5.00,720000,100,0
SBS,07/05/2010,44.0,44.0,37.2,42.0,226820,45.60,30.40,0.0,42.00,0.00,0,0,0
