MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
SC5,08/11/2010,52.0,54.0,52.0,52.0,10700,56.00,51.00,53.5,-1.50,-2.80,0,90,0
SC5,08/10/2010,54.5,55.0,53.5,53.5,46960,58.50,53.50,56.0,-2.50,-4.46,171880,0,0
SC5,08/09/2010,0.0,57.0,55.0,56.0,29930,60.00,55.00,57.5,-1.50,-2.61,226340,0,0
SC5,08/06/2010,0.0,57.5,56.5,57.5,15320,60.00,55.00,57.5,0.00,0.00,76370,0,0
SC5,08/05/2010,57.5,58.5,56.5,57.5,21590,60.00,55.00,57.5,0.00,0.00,213180,300,0
SC5,08/04/2010,58.0,58.0,56.0,57.5,24370,60.50,55.50,58.0,-0.50,-0.86,0,0,0
SC5,08/03/2010,58.0,58.5,57.5,58.0,17530,60.50,55.50,58.0,0.00,0.00,231340,500,0
SC5,08/02/2010,0.0,58.5,55.5,58.0,55060,59.50,54.50,57.0,1.00,1.75,81370,0,40
SC5,07/30/2010,0.0,58.0,57.0,57.0,17700,59.50,54.50,57.0,0.00,0.00,218180,0,0
SC5,07/29/2010,56.0,58.0,56.0,57.0,32570,59.50,54.50,57.0,0.00,0.00,104880,20,0
SC5,07/28/2010,58.0,58.0,55.0,57.0,82190,59.50,54.50,57.0,0.00,0.00,200410,1000,0
SC5,07/27/2010,58.0,58.0,57.0,57.0,20000,60.50,55.50,58.0,-1.00,-1.72,61370,1600,0
SC5,07/26/2010,58.5,58.5,56.0,58.0,122470,61.00,56.00,58.5,-0.50,-0.85,153680,0,1970
SC5,07/23/2010,58.5,59.0,58.0,58.5,27010,61.00,56.00,58.5,0.00,0.00,160760,20,0
SC5,07/22/2010,58.5,59.5,58.5,58.5,27230,61.50,56.50,59.0,-0.50,-0.85,217410,160,0
SC5,07/21/2010,60.0,60.0,59.0,59.0,30550,63.00,57.00,60.0,-1.00,-1.67,91370,1340,0
SC5,07/20/2010,0.0,60.0,59.5,60.0,47900,62.00,57.00,59.5,0.50,0.84,243680,110,0
SC5,07/19/2010,60.0,60.5,59.5,59.5,35290,63.50,57.50,60.5,-1.00,-1.65,134880,10,0
SC5,07/16/2010,60.5,62.0,60.0,60.5,170040,64.50,58.50,61.5,-1.00,-1.63,58610,580,0
SC5,07/15/2010,60.5,62.0,60.0,61.5,106690,65.00,59.00,62.0,-0.50,-0.81,0,0,0
SC5,07/14/2010,61.0,63.5,60.5,62.0,134750,65.00,59.00,62.0,0.00,0.00,122480,6010,0
SC5,07/13/2010,61.5,62.5,59.0,62.0,122420,63.50,57.50,60.5,1.50,2.48,52280,0,0
SC5,07/12/2010,58.5,61.0,58.5,60.5,126530,63.00,57.00,60.0,0.50,0.83,120610,2370,120
SC5,07/09/2010,59.0,60.5,59.0,60.0,95180,62.00,57.00,59.5,0.50,0.84,30000,11970,0
SC5,07/08/2010,59.5,61.5,59.0,59.5,135550,62.00,57.00,59.5,0.00,0.00,177480,0,19900
SC5,07/07/2010,62.5,62.5,59.5,59.5,118910,64.00,58.00,61.0,-1.50,-2.46,75380,8290,0
