MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
SCD,08/11/2010,0.0,27.6,26.3,27.6,620,28.90,26.30,27.6,0.00,0.00,0,0,0
SCD,08/10/2010,0.0,27.6,26.3,27.6,6520,28.90,26.30,27.6,0.00,0.00,0,0,0
SCD,08/09/2010,0.0,29.2,27.6,27.6,2710,30.40,27.60,29.0,-1.40,-4.83,0,0,0
SCD,08/06/2010,28.5,29.0,27.1,29.0,11770,29.90,27.10,28.5,0.50,1.75,0,0,0
SCD,08/05/2010,0.0,28.5,28.5,28.5,13600,31.50,28.50,30.0,-1.50,-5.00,0,0,0
SCD,08/04/2010,0.0,30.0,30.0,30.0,30,31.50,28.50,30.0,0.00,0.00,0,0,0
SCD,08/03/2010,0.0,30.0,28.5,30.0,31560,31.30,28.50,29.9,0.10,0.33,0,0,0
SCD,08/02/2010,0.0,30.0,29.1,29.9,1510,31.30,28.50,29.9,0.00,0.00,0,0,0
SCD,07/30/2010,0.0,29.9,29.9,29.9,10,30.60,27.80,29.2,0.70,2.40,0,0,0
SCD,07/29/2010,0.0,30.0,29.1,29.2,17580,30.50,27.70,29.1,0.10,0.34,0,0,0
SCD,07/28/2010,0.0,29.3,29.0,29.1,4550,31.90,28.90,30.4,-1.30,-4.28,0,0,0
SCD,07/27/2010,0.0,30.4,28.9,30.4,27330,30.80,28.00,29.4,1.00,3.40,0,0,0
SCD,07/26/2010,0.0,31.0,29.4,29.4,2010,32.40,29.40,30.9,-1.50,-4.85,0,0,0
SCD,07/23/2010,0.0,30.9,29.6,30.9,9710,32.40,29.40,30.9,0.00,0.00,0,0,0
SCD,07/22/2010,30.0,30.9,29.1,30.9,6210,31.90,28.90,30.4,0.50,1.64,0,300,0
SCD,07/21/2010,31.5,31.5,30.4,30.4,5630,33.60,30.40,32.0,-1.60,-5.00,1100000,1000,0
