MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
SD3,08/11/2010,34.5,35.0,33.0,34.2,84500,36.20,31.60,33.9,0.30,0.88,0,4200,0
SD3,08/10/2010,35.7,35.7,33.3,33.9,81500,38.10,33.30,35.7,-1.80,-5.04,15000,0,0
SD3,08/09/2010,37.0,37.0,35.6,35.7,76100,40.80,35.60,38.2,-2.50,-6.54,0,0,0
SD3,08/06/2010,38.5,38.7,37.8,38.2,36000,41.50,36.10,38.8,-0.60,-1.55,0,200,0
SD3,08/05/2010,39.0,39.0,38.2,38.8,28400,41.60,36.20,38.9,-0.10,-0.26,0,1500,0
SD3,08/04/2010,39.6,39.6,38.7,38.9,54700,43.00,37.40,40.2,-1.30,-3.23,0,0,0
SD3,08/03/2010,40.5,40.6,39.7,40.2,49300,43.10,37.50,40.3,-0.10,-0.25,0,4100,0
SD3,08/02/2010,41.0,41.0,39.5,40.3,43300,43.80,38.20,41.0,-0.70,-1.71,10000,0,0
SD3,07/30/2010,40.7,41.6,40.7,41.0,60100,43.70,38.10,40.9,0.10,0.24,5000,0,0
SD3,07/29/2010,40.7,41.4,40.3,40.9,29800,43.50,37.90,40.7,0.20,0.49,0,0,0
SD3,07/28/2010,42.0,42.0,40.2,40.7,60200,44.90,39.10,42.0,-1.30,-3.10,0,1300,0
SD3,07/27/2010,42.2,42.6,41.0,42.0,70900,44.80,39.00,41.9,0.10,0.24,10000,0,0
SD3,07/26/2010,42.0,42.3,41.6,41.9,69200,44.80,39.00,41.9,0.00,0.00,5000,0,0
SD3,07/23/2010,42.0,42.1,41.6,41.9,130300,44.10,38.50,41.3,0.60,1.45,0,0,25600
SD3,07/22/2010,42.0,42.0,40.7,41.3,74600,45.20,39.40,42.3,-1.00,-2.36,0,0,0
SD3,07/21/2010,43.0,43.0,41.9,42.3,74600,45.90,39.90,42.9,-0.60,-1.40,5000,0,0
SD3,07/20/2010,43.6,43.6,42.7,42.9,80000,46.00,40.00,43.0,-0.10,-0.23,5000,0,0
SD3,07/19/2010,42.9,43.4,42.4,43.0,139400,46.10,40.10,43.1,-0.10,-0.23,15000,32000,0
SD3,07/16/2010,42.0,43.9,42.0,43.1,86500,46.70,40.70,43.7,-0.60,-1.37,0,0,700
SD3,07/15/2010,44.5,45.0,42.2,43.7,187100,48.30,42.10,45.2,-1.50,-3.32,0,0,0
SD3,07/14/2010,46.8,47.5,44.0,45.2,125900,48.80,42.60,45.7,-0.50,-1.09,0,0,0
SD3,07/13/2010,45.9,46.5,45.2,45.7,107600,47.40,41.20,44.3,1.40,3.16,0,1200,0
SD3,07/12/2010,42.9,45.6,42.9,44.3,162100,45.90,39.90,42.9,1.40,3.26,0,26300,0
SD3,07/09/2010,40.8,43.4,40.8,42.9,334700,43.40,37.80,40.6,2.30,5.67,0,0,0
SD3,07/08/2010,41.5,41.6,40.3,40.6,120900,43.80,38.20,41.0,-0.40,-0.98,0,10000,0
SD3,07/07/2010,41.5,41.7,40.7,41.0,75000,43.60,38.00,40.8,0.20,0.49,0,5600,0
SD3,07/06/2010,41.0,41.5,40.4,40.8,93900,44.60,38.80,41.7,-0.90,-2.16,0,800,2700
SD3,07/05/2010,41.5,42.3,41.4,41.7,58700,44.20,38.60,41.4,0.30,0.72,0,3700,0
SD3,07/02/2010,41.9,42.0,40.8,41.4,80300,43.50,37.90,40.7,0.70,1.72,0,500,0
SD3,07/01/2010,39.4,41.7,39.3,40.7,84200,43.60,38.00,40.8,-0.10,-0.25,0,2000,0
SD3,06/30/2010,40.0,41.0,40.0,40.8,78700,45.00,39.20,42.1,-1.30,-3.09,0,900,0
SD3,06/29/2010,40.9,43.0,40.9,42.1,112700,44.20,38.60,41.4,0.70,1.69,0,0,0
SD3,06/28/2010,40.8,42.0,40.5,41.4,66600,44.60,38.80,41.7,-0.30,-0.72,10000,900,0
SD3,06/25/2010,43.0,43.0,41.0,41.7,138500,46.30,40.30,43.3,-1.60,-3.70,0,5400,0
SD3,06/24/2010,43.7,44.0,43.0,43.3,169500,46.10,40.10,43.1,0.20,0.46,0,4600,0
SD3,06/23/2010,43.2,44.0,42.0,43.1,81800,46.60,40.60,43.6,-0.50,-1.15,0,8900,0
SD3,06/22/2010,43.0,44.5,42.4,43.6,140100,47.50,41.30,44.4,-0.80,-1.80,0,0,0
SD3,06/21/2010,43.0,45.0,43.0,44.4,173600,45.60,39.80,42.7,1.70,3.98,0,0,0
SD3,06/18/2010,42.0,43.5,41.8,42.7,197800,46.30,40.30,43.3,-0.60,-1.39,0,0,0
SD3,06/17/2010,44.0,44.2,42.6,43.3,185200,47.40,41.20,44.3,-1.00,-2.26,0,0,0
SD3,06/16/2010,44.0,45.5,43.7,44.3,178900,46.10,40.10,43.1,1.20,2.78,0,0,0
SD3,06/15/2010,45.0,45.0,41.8,43.1,184100,46.00,40.00,43.0,0.10,0.23,0,0,0
SD3,06/14/2010,40.4,43.2,40.4,43.0,264300,43.20,37.60,40.4,2.60,6.44,0,0,0
SD3,06/11/2010,40.0,41.3,39.2,40.4,275700,41.70,36.30,39.0,1.40,3.59,0,0,0
SD3,06/10/2010,37.0,39.8,37.0,39.0,120800,41.90,36.50,39.2,-0.20,-0.51,0,0,0
