MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
SDB,08/11/2010,26.5,26.5,26.0,26.4,4400,28.30,24.70,26.5,-0.10,-0.38,0,0,0
SDB,08/10/2010,29.1,29.1,25.3,26.5,31800,29.10,25.30,27.2,-0.70,-2.57,0,0,0
SDB,08/09/2010,28.3,28.3,26.6,27.2,7300,30.40,26.60,28.5,-1.30,-4.56,0,0,0
SDB,08/06/2010,28.5,29.0,28.3,28.5,5500,30.40,26.60,28.5,0.00,0.00,0,0,0
SDB,08/05/2010,28.5,28.9,28.5,28.5,6600,30.90,26.90,28.9,-0.40,-1.38,0,0,0
SDB,08/04/2010,28.8,29.0,28.8,28.9,4200,32.10,27.90,30.0,-1.10,-3.67,0,0,0
SDB,08/03/2010,30.5,30.5,29.0,30.0,6900,32.40,28.20,30.3,-0.30,-0.99,0,0,0
SDB,08/02/2010,30.3,30.3,30.3,30.3,100,32.10,27.90,30.0,0.30,1.00,0,0,0
SDB,07/30/2010,30.0,30.8,29.5,30.0,13900,31.50,27.50,29.5,0.50,1.69,0,0,0
SDB,07/29/2010,30.5,30.5,28.5,29.5,10000,31.30,27.30,29.3,0.20,0.68,0,0,0
SDB,07/28/2010,32.0,32.0,29.0,29.3,26900,33.10,28.90,31.0,-1.70,-5.48,0,0,0
SDB,07/27/2010,31.0,31.0,31.0,31.0,15400,33.10,28.90,31.0,0.00,0.00,0,0,0
SDB,07/26/2010,31.1,31.1,31.0,31.0,13800,33.10,28.90,31.0,0.00,0.00,0,0,0
SDB,07/23/2010,30.9,31.5,30.7,31.0,14000,33.00,28.80,30.9,0.10,0.32,0,0,0
SDB,07/22/2010,30.0,31.7,30.0,30.9,7000,33.20,29.00,31.1,-0.20,-0.64,0,0,0
SDB,07/21/2010,32.4,32.4,31.0,31.1,7900,33.40,29.20,31.3,-0.20,-0.64,0,0,0
SDB,07/20/2010,31.3,31.7,31.0,31.3,36900,33.40,29.20,31.3,0.00,0.00,0,0,0
SDB,07/19/2010,32.4,32.4,31.2,31.3,35900,33.90,29.50,31.7,-0.40,-1.26,0,0,0
SDB,07/16/2010,32.6,32.6,31.3,31.7,25400,34.30,29.90,32.1,-0.40,-1.25,0,0,0
SDB,07/15/2010,31.5,32.7,31.0,32.1,20600,34.90,30.50,32.7,-0.60,-1.83,0,0,0
SDB,07/14/2010,34.0,34.0,32.0,32.7,8700,34.70,30.30,32.5,0.20,0.62,0,0,0
SDB,07/13/2010,33.0,33.0,31.4,32.5,32900,33.50,29.30,31.4,1.10,3.50,0,0,0
SDB,07/12/2010,31.8,31.8,31.1,31.4,14700,33.70,29.30,31.5,-0.10,-0.32,0,0,0
SDB,07/09/2010,31.8,31.8,31.0,31.5,2500,33.40,29.20,31.3,0.20,0.64,0,0,0
SDB,07/08/2010,33.0,33.0,30.2,31.3,7600,33.90,29.50,31.7,-0.40,-1.26,0,0,0
SDB,07/07/2010,32.0,32.3,31.0,31.7,5700,34.20,29.80,32.0,-0.30,-0.94,0,0,0
SDB,07/06/2010,32.4,32.4,31.4,32.0,5900,34.60,30.20,32.4,-0.40,-1.23,0,0,0
SDB,07/05/2010,32.9,32.9,31.7,32.4,16300,34.90,30.50,32.7,-0.30,-0.92,0,0,0
SDB,07/02/2010,34.0,34.0,32.1,32.7,12800,34.90,30.50,32.7,0.00,0.00,0,0,0
SDB,07/01/2010,33.5,33.6,32.5,32.7,32100,34.60,30.20,32.4,0.30,0.93,0,0,0
SDB,06/30/2010,31.3,33.5,31.3,32.4,27500,35.90,31.30,33.6,-1.20,-3.57,0,0,0
SDB,06/29/2010,34.0,34.2,33.3,33.6,35200,35.60,31.00,33.3,0.30,0.90,0,0,0
SDB,06/28/2010,33.8,33.8,32.4,33.3,26500,35.90,31.30,33.6,-0.30,-0.89,0,0,0
SDB,06/25/2010,33.5,34.5,33.0,33.6,26600,36.90,32.10,34.5,-0.90,-2.61,0,0,0
SDB,06/24/2010,33.0,34.6,33.0,34.5,82900,34.60,30.20,32.4,2.10,6.48,0,0,0
SDB,06/23/2010,31.7,33.0,31.7,32.4,67700,33.90,29.50,31.7,0.70,2.21,0,0,0
SDB,06/22/2010,31.7,32.0,31.1,31.7,73400,33.40,29.20,31.3,0.40,1.28,0,0,0
SDB,06/21/2010,30.7,32.0,30.5,31.3,35500,33.50,29.30,31.4,-0.10,-0.32,0,0,0
SDB,06/18/2010,31.5,31.5,31.0,31.4,20600,33.70,29.30,31.5,-0.10,-0.32,0,0,0
SDB,06/17/2010,30.6,31.9,30.6,31.5,16400,33.90,29.50,31.7,-0.20,-0.63,0,0,0
SDB,06/16/2010,31.6,32.5,31.0,31.7,34500,32.70,28.50,30.6,1.10,3.59,0,0,0
SDB,06/15/2010,31.4,31.4,30.3,30.6,9900,32.70,28.50,30.6,0.00,0.00,0,0,0
SDB,06/14/2010,30.1,31.0,30.0,30.6,23800,32.20,28.00,30.1,0.50,1.66,0,0,0
SDB,06/11/2010,30.5,30.8,29.5,30.1,19800,31.50,27.50,29.5,0.60,2.03,0,0,0
SDB,06/10/2010,30.3,30.3,29.0,29.5,8700,31.90,27.90,29.9,-0.40,-1.34,0,0,0
SDB,06/09/2010,30.0,30.2,28.9,29.9,6900,31.20,27.20,29.2,0.70,2.40,0,0,0
SDB,06/08/2010,29.5,29.5,28.9,29.2,7100,30.60,26.60,28.6,0.60,2.10,0,0,0
SDB,06/07/2010,28.8,28.8,28.4,28.6,40000,32.60,28.40,30.5,-1.90,-6.23,0,0,0
SDB,06/04/2010,31.9,31.9,30.0,30.5,20200,33.40,29.20,31.3,-0.80,-2.56,0,0,0
SDB,06/03/2010,31.9,32.2,30.4,31.3,12800,32.30,28.10,30.2,1.10,3.64,0,0,0
SDB,06/02/2010,30.0,31.1,29.8,30.2,21300,31.30,27.30,29.3,0.90,3.07,0,0,0
