MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
SME,08/11/2010,23.7,24.2,23.6,24.1,243500,24.20,21.20,22.7,1.40,6.17,10000,0,0
SME,08/10/2010,22.6,23.9,22.5,22.7,95700,25.20,22.00,23.6,-0.90,-3.81,10000,0,0
SME,08/09/2010,23.6,24.3,23.0,23.6,71500,26.40,23.00,24.7,-1.10,-4.45,69400,0,0
SME,08/06/2010,23.0,25.0,23.0,24.7,21800,26.30,22.90,24.6,0.10,0.41,0,0,0
SME,08/05/2010,23.7,25.5,23.7,24.6,43900,26.80,23.40,25.1,-0.50,-1.99,0,0,0
SME,08/04/2010,26.0,26.0,24.9,25.1,82700,28.20,24.60,26.4,-1.30,-4.92,0,0,0
SME,08/03/2010,26.0,26.9,25.2,26.4,66200,27.80,24.20,26.0,0.40,1.54,0,0,0
SME,08/02/2010,26.0,27.0,25.5,26.0,158900,27.20,23.80,25.5,0.50,1.96,100000,0,0
SME,07/30/2010,25.0,26.2,24.7,25.5,613500,26.40,23.00,24.7,0.80,3.24,0,0,0
SME,07/29/2010,24.4,25.0,24.0,24.7,183500,26.00,22.60,24.3,0.40,1.65,0,0,0
SME,07/28/2010,24.6,24.6,23.7,24.3,53200,26.00,22.60,24.3,0.00,0.00,0,0,0
SME,07/27/2010,24.2,25.0,23.4,24.3,234600,25.20,22.00,23.6,0.70,2.97,0,0,0
SME,07/26/2010,24.4,24.4,23.4,23.6,34400,25.10,21.90,23.5,0.10,0.43,0,0,0
SME,07/23/2010,23.3,23.9,23.2,23.5,23100,24.90,21.70,23.3,0.20,0.86,108200,0,0
SME,07/22/2010,23.5,23.5,23.1,23.3,71900,25.10,21.90,23.5,-0.20,-0.85,0,0,0
SME,07/21/2010,23.9,23.9,23.3,23.5,27900,25.50,22.30,23.9,-0.40,-1.67,0,0,0
SME,07/20/2010,24.4,24.4,23.8,23.9,52100,25.50,22.30,23.9,0.00,0.00,0,0,0
SME,07/19/2010,24.5,24.5,23.7,23.9,88000,25.50,22.30,23.9,0.00,0.00,75500,0,0
SME,07/16/2010,24.0,24.1,23.6,23.9,107300,25.50,22.30,23.9,0.00,0.00,0,0,0
SME,07/15/2010,24.3,24.4,23.6,23.9,117100,27.00,23.60,25.3,-1.40,-5.53,0,0,0
SME,07/14/2010,25.9,26.3,23.1,25.3,267900,26.30,22.90,24.6,0.70,2.85,0,0,0
SME,07/13/2010,23.2,24.7,23.2,24.6,208300,24.70,21.50,23.1,1.50,6.49,0,0,4400
SME,07/12/2010,22.8,23.4,22.7,23.1,37300,24.60,21.40,23.0,0.10,0.43,53300,0,0
SME,07/09/2010,23.1,23.4,22.7,23.0,26800,24.70,21.50,23.1,-0.10,-0.43,0,0,0
SME,07/08/2010,23.2,23.9,23.0,23.1,61400,24.20,21.20,22.7,0.40,1.76,0,0,0
SME,07/07/2010,23.1,23.6,22.4,22.7,72200,23.90,20.90,22.4,0.30,1.34,0,0,0
SME,07/06/2010,23.1,23.1,22.2,22.4,64500,24.80,21.60,23.2,-0.80,-3.45,0,0,500
SME,07/05/2010,24.0,24.0,23.0,23.2,21100,24.70,21.50,23.1,0.10,0.43,0,0,0
SME,07/02/2010,23.0,23.5,23.0,23.1,65300,24.20,21.20,22.7,0.40,1.76,0,0,0
SME,07/01/2010,23.0,23.8,22.2,22.7,126100,25.10,21.90,23.5,-0.80,-3.40,0,0,0
SME,06/30/2010,23.0,23.9,23.0,23.5,128800,26.30,22.90,24.6,-1.10,-4.47,0,0,0
SME,06/29/2010,24.4,25.0,24.3,24.6,107600,25.70,22.50,24.1,0.50,2.07,0,0,0
SME,06/28/2010,25.1,25.1,23.7,24.1,42700,26.80,23.40,25.1,-1.00,-3.98,0,4400,0
SME,06/25/2010,24.0,25.3,23.7,25.1,460600,25.30,22.10,23.7,1.40,5.91,0,4400,0
