MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
SRB,08/11/2010,18.7,20.7,18.7,19.1,441600,21.50,18.70,20.1,-1.00,-4.98,165000,0,0
SRB,08/10/2010,20.0,20.8,20.0,20.1,105700,22.80,20.00,21.4,-1.30,-6.07,126000,0,0
SRB,08/09/2010,22.9,23.5,21.3,21.4,410000,24.50,21.30,22.9,-1.50,-6.55,5000,0,0
SRB,08/06/2010,23.0,23.0,22.0,22.9,552300,23.00,20.00,21.5,1.40,6.51,0,0,0
SRB,08/05/2010,21.5,21.5,21.0,21.5,33300,21.50,18.70,20.1,1.40,6.97,27000,0,0
SRB,08/04/2010,20.5,21.6,19.2,20.1,630400,22.00,19.20,20.6,-0.50,-2.43,0,0,0
SRB,08/03/2010,22.0,22.0,20.5,20.6,478700,23.50,20.50,22.0,-1.40,-6.36,11000,500,0
SRB,08/02/2010,23.9,23.9,21.7,22.0,357800,24.90,21.70,23.3,-1.30,-5.58,0,0,0
SRB,07/30/2010,22.0,24.5,21.8,23.3,356800,24.70,21.50,23.1,0.20,0.87,0,0,0
SRB,07/29/2010,23.1,24.0,23.0,23.1,349000,26.40,23.00,24.7,-1.60,-6.48,0,0,0
SRB,07/28/2010,24.8,27.0,24.0,24.7,449300,27.60,24.00,25.8,-1.10,-4.26,0,0,0
SRB,07/27/2010,25.1,28.3,24.8,25.8,591200,28.40,24.80,26.6,-0.80,-3.01,0,0,0
SRB,07/26/2010,28.0,28.4,26.3,26.6,612500,30.10,26.30,28.2,-1.60,-5.67,0,0,0
SRB,07/23/2010,28.1,29.0,25.5,28.2,314900,29.30,25.50,27.4,0.80,2.92,105000,0,0
SRB,07/22/2010,27.8,27.8,26.6,27.4,550600,27.80,24.20,26.0,1.40,5.38,312000,0,0
