MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
STC,08/11/2010,14.0,14.3,13.5,14.0,17800,14.40,12.60,13.5,0.50,3.70,0,0,0
STC,08/10/2010,14.5,14.5,13.1,13.5,27000,14.80,13.00,13.9,-0.40,-2.88,0,0,0
STC,08/09/2010,14.8,14.8,13.7,13.9,53800,15.70,13.70,14.7,-0.80,-5.44,23000,0,0
STC,08/06/2010,15.1,15.1,14.5,14.7,23000,15.10,13.30,14.2,0.50,3.52,0,0,0
STC,08/05/2010,14.6,14.7,14.0,14.2,11800,15.00,13.20,14.1,0.10,0.71,0,0,0
STC,08/04/2010,14.6,14.6,13.8,14.1,22200,15.60,13.60,14.6,-0.50,-3.42,0,0,0
STC,08/03/2010,15.7,15.7,14.6,14.6,26400,16.60,14.60,15.6,-1.00,-6.41,23000,0,0
STC,08/02/2010,15.4,15.7,15.4,15.6,4800,16.40,14.40,15.4,0.20,1.30,0,0,0
STC,07/30/2010,15.4,15.5,15.0,15.4,7600,15.80,13.80,14.8,0.60,4.05,0,0,0
STC,07/29/2010,15.8,15.8,14.6,14.8,7300,15.80,13.80,14.8,0.00,0.00,0,0,0
STC,07/28/2010,15.6,15.9,14.6,14.8,30000,16.30,14.30,15.3,-0.50,-3.27,23000,0,0
STC,07/27/2010,15.4,16.0,14.9,15.3,52700,16.30,14.30,15.3,0.00,0.00,0,0,4000
STC,07/26/2010,15.8,15.8,15.1,15.3,39800,16.60,14.60,15.6,-0.30,-1.92,6000,0,6000
STC,07/23/2010,15.8,16.0,15.3,15.6,30600,17.10,14.90,16.0,-0.40,-2.50,0,0,5000
STC,07/22/2010,16.4,16.4,15.7,16.0,36000,17.90,15.70,16.8,-0.80,-4.76,10000,0,0
STC,07/21/2010,16.9,16.9,16.7,16.8,35900,17.80,15.60,16.7,0.10,0.60,0,0,0
STC,07/20/2010,16.4,17.0,16.4,16.7,88100,17.80,15.60,16.7,0.00,0.00,0,0,3000
STC,07/19/2010,17.7,18.0,16.0,16.7,32300,18.10,15.90,17.0,-0.30,-1.76,0,0,0
STC,07/16/2010,16.0,17.0,16.0,17.0,360300,17.00,14.80,15.9,1.10,6.92,0,15000,900
STC,07/15/2010,15.8,16.2,15.6,15.9,45800,16.90,14.70,15.8,0.10,0.63,0,0,0
STC,07/14/2010,16.1,16.1,15.6,15.8,21300,17.20,15.00,16.1,-0.30,-1.86,0,0,0
STC,07/13/2010,16.8,16.8,15.5,16.1,67100,16.90,14.70,15.8,0.30,1.90,0,0,0
STC,07/12/2010,15.8,15.8,15.5,15.8,113400,15.80,13.80,14.8,1.00,6.76,0,3900,0
STC,07/09/2010,14.4,15.0,14.3,14.8,34400,15.80,13.80,14.8,0.00,0.00,0,0,0
STC,07/08/2010,14.8,15.3,14.7,14.8,17700,16.30,14.30,15.3,-0.50,-3.27,0,0,0
STC,07/07/2010,15.9,15.9,15.2,15.3,4200,16.40,14.40,15.4,-0.10,-0.65,0,0,0
STC,07/06/2010,16.9,16.9,15.1,15.4,27300,17.20,15.00,16.1,-0.70,-4.35,0,0,0
STC,07/05/2010,16.0,16.2,15.7,16.1,198200,16.20,14.20,15.2,0.90,5.92,0,0,0
STC,07/02/2010,14.7,15.3,14.7,15.2,106000,15.30,13.30,14.3,0.90,6.29,0,0,0
STC,07/01/2010,14.0,14.4,14.0,14.3,4500,15.00,13.20,14.1,0.20,1.42,0,0,0
STC,06/30/2010,13.7,14.3,13.7,14.1,4900,15.30,13.30,14.3,-0.20,-1.40,0,0,0
STC,06/29/2010,14.4,14.6,14.3,14.3,16100,15.30,13.30,14.3,0.00,0.00,0,0,0
STC,06/28/2010,14.2,14.3,14.2,14.3,6800,15.00,13.20,14.1,0.20,1.42,0,0,0
STC,06/25/2010,14.4,14.4,14.0,14.1,31300,15.10,13.30,14.2,-0.10,-0.70,0,0,0
STC,06/24/2010,14.2,14.3,14.2,14.2,10400,15.30,13.30,14.3,-0.10,-0.70,0,0,0
STC,06/23/2010,14.0,14.6,14.0,14.3,3200,15.70,13.70,14.7,-0.40,-2.72,0,0,0
STC,06/22/2010,14.9,15.0,14.4,14.7,15300,15.70,13.70,14.7,0.00,0.00,0,0,0
STC,06/21/2010,14.0,14.8,14.0,14.7,67400,14.80,13.00,13.9,0.80,5.76,0,0,0
STC,06/18/2010,14.0,14.0,13.7,13.9,7100,14.90,13.10,14.0,-0.10,-0.71,0,0,0
STC,06/17/2010,14.0,14.1,13.9,14.0,7100,15.10,13.30,14.2,-0.20,-1.41,0,0,0
STC,06/16/2010,14.3,14.3,14.1,14.2,16800,15.00,13.20,14.1,0.10,0.71,0,0,0
STC,06/15/2010,14.2,14.3,14.0,14.1,8500,14.90,13.10,14.0,0.10,0.71,0,0,0
