MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
TBC,08/11/2010,14.0,14.0,13.9,14.5,17500,14.50,13.30,13.9,0.60,4.32,0,0,0
TBC,08/10/2010,0.0,14.5,13.9,13.9,37500,15.20,13.80,14.5,-0.60,-4.14,0,0,0
TBC,08/09/2010,0.0,15.0,14.5,14.5,9940,15.70,14.30,15.0,-0.50,-3.33,0,0,0
TBC,08/06/2010,15.1,15.1,15.0,15.0,9490,15.70,14.30,15.0,0.00,0.00,1175238,1160,0
TBC,08/05/2010,15.2,15.3,14.8,15.0,37760,15.40,14.00,14.7,0.30,2.04,0,0,0
TBC,08/04/2010,14.9,14.9,14.7,14.7,34950,15.60,14.20,14.9,-0.20,-1.34,0,0,0
TBC,08/03/2010,14.9,15.0,14.7,14.9,34570,15.60,14.20,14.9,0.00,0.00,0,0,0
TBC,08/02/2010,15.2,15.2,14.7,14.9,34630,16.00,14.60,15.3,-0.40,-2.61,0,0,0
TBC,07/30/2010,0.0,15.3,14.7,15.3,45560,15.90,14.50,15.2,0.10,0.66,1000000,0,0
TBC,07/29/2010,15.3,15.3,15.2,15.2,25630,16.00,14.60,15.3,-0.10,-0.65,0,0,0
TBC,07/28/2010,15.2,15.5,15.2,15.3,7320,16.30,14.90,15.6,-0.30,-1.92,0,0,0
TBC,07/27/2010,16.0,16.0,15.6,15.6,9110,16.60,15.20,15.9,-0.30,-1.89,0,0,0
TBC,07/26/2010,15.8,16.1,15.8,15.9,17190,16.90,15.30,16.1,-0.20,-1.24,0,0,0
TBC,07/23/2010,0.0,16.1,16.0,16.1,50770,16.60,15.20,15.9,0.20,1.26,0,0,0
TBC,07/22/2010,16.2,16.2,15.9,15.9,4590,16.50,15.10,15.8,0.10,0.63,0,0,0
TBC,07/21/2010,16.0,16.1,15.8,15.8,27350,16.80,15.20,16.0,-0.20,-1.25,0,0,0
TBC,07/20/2010,16.1,16.2,16.0,16.0,10900,17.00,15.40,16.2,-0.20,-1.23,0,0,0
TBC,07/19/2010,16.2,16.3,16.0,16.2,9810,17.10,15.50,16.3,-0.10,-0.61,0,0,100
TBC,07/16/2010,16.4,16.4,16.1,16.3,4780,16.90,15.30,16.1,0.20,1.24,0,200,0
TBC,07/15/2010,16.0,16.2,16.0,16.1,48870,17.30,15.70,16.5,-0.40,-2.42,0,0,0
TBC,07/14/2010,16.8,17.0,16.1,16.5,26480,17.60,16.00,16.8,-0.30,-1.79,0,0,0
TBC,07/13/2010,16.5,16.8,16.5,16.8,17760,17.30,15.70,16.5,0.30,1.82,0,0,0
TBC,07/12/2010,0.0,16.5,16.4,16.5,30330,17.30,15.70,16.5,0.00,0.00,1880000,0,3000
TBC,07/09/2010,16.2,16.5,16.0,16.5,30670,16.80,15.20,16.0,0.50,3.13,0,0,0
TBC,07/08/2010,15.9,16.0,15.9,16.0,14410,16.60,15.20,15.9,0.10,0.63,0,0,0
TBC,07/07/2010,0.0,16.0,15.9,15.9,20880,16.50,15.10,15.8,0.10,0.63,140000,0,0
TBC,07/06/2010,16.0,16.1,15.8,15.8,64000,17.00,15.40,16.2,-0.40,-2.47,1800000,0,0
TBC,07/05/2010,0.0,16.3,16.1,16.2,31020,17.00,15.40,16.2,0.00,0.00,0,0,0
TBC,07/02/2010,16.1,16.2,16.0,16.2,13600,16.80,15.20,16.0,0.20,1.25,0,0,0
TBC,07/01/2010,0.0,16.0,15.9,16.0,27100,16.60,15.20,15.9,0.10,0.63,0,0,0
TBC,06/30/2010,16.0,16.1,15.9,15.9,27500,16.90,15.30,16.1,-0.20,-1.24,0,0,0
TBC,06/29/2010,0.0,16.1,16.0,16.1,23950,16.60,15.20,15.9,0.20,1.26,0,0,0
TBC,06/28/2010,0.0,16.2,15.9,15.9,6520,16.90,15.30,16.1,-0.20,-1.24,0,0,0
