MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
TBX,08/11/2010,35.0,36.0,35.0,35.2,7500,37.30,32.50,34.9,0.30,0.86,0,0,0
TBX,08/10/2010,34.6,35.5,34.6,34.9,17300,39.00,34.00,36.5,-1.60,-4.38,18000,0,0
TBX,08/09/2010,36.5,36.5,36.5,36.5,600,39.20,34.20,36.7,-0.20,-0.54,0,0,0
TBX,08/06/2010,37.0,37.0,36.6,36.7,6000,39.30,34.30,36.8,-0.10,-0.27,0,0,0
TBX,08/05/2010,36.6,37.1,36.6,36.8,6200,39.10,34.10,36.6,0.20,0.55,0,0,0
TBX,08/04/2010,36.5,36.8,36.5,36.6,3000,37.70,32.90,35.3,1.30,3.68,0,0,200
TBX,08/03/2010,37.0,37.0,35.2,35.3,2600,39.30,34.30,36.8,-1.50,-4.08,0,0,0
TBX,08/02/2010,36.7,36.8,36.7,36.8,10200,36.80,32.00,34.4,2.40,6.98,0,0,0
TBX,07/30/2010,34.1,35.0,34.1,34.4,7400,39.00,34.00,36.5,-2.10,-5.75,0,0,0
TBX,07/29/2010,36.4,36.5,36.4,36.5,13400,36.50,31.90,34.2,2.30,6.73,0,0,0
TBX,07/28/2010,34.5,35.0,34.0,34.2,12000,39.00,34.00,36.5,-2.30,-6.30,0,0,0
TBX,07/27/2010,36.0,37.5,36.0,36.5,8000,39.30,34.30,36.8,-0.30,-0.82,0,0,0
TBX,07/26/2010,36.5,37.0,36.0,36.8,7900,39.10,34.10,36.6,0.20,0.55,0,0,0
TBX,07/23/2010,36.0,36.8,36.0,36.6,14700,36.80,32.00,34.4,2.20,6.40,0,0,200
TBX,07/22/2010,36.0,36.0,33.8,34.4,10100,38.70,33.70,36.2,-1.80,-4.97,0,0,0
TBX,07/21/2010,36.0,36.8,35.8,36.2,7000,38.30,33.30,35.8,0.40,1.12,0,0,0
TBX,07/20/2010,35.5,36.0,35.5,35.8,1500,36.70,31.90,34.3,1.50,4.37,0,0,0
TBX,07/19/2010,35.0,35.5,32.9,34.3,4000,37.70,32.90,35.3,-1.00,-2.83,0,600,0
TBX,07/16/2010,35.0,35.4,35.0,35.3,6700,37.40,32.60,35.0,0.30,0.86,0,0,0
TBX,07/15/2010,35.0,35.0,35.0,35.0,1800,37.60,32.80,35.2,-0.20,-0.57,0,0,0
TBX,07/14/2010,35.5,35.5,35.0,35.2,8900,37.90,33.10,35.5,-0.30,-0.85,0,0,0
TBX,07/13/2010,34.5,36.8,34.5,35.5,3000,36.80,32.00,34.4,1.10,3.20,0,0,0
TBX,07/12/2010,34.4,34.4,34.4,34.4,5100,36.20,31.60,33.9,0.50,1.47,5000,0,0
TBX,07/09/2010,34.0,34.0,33.7,33.9,5100,35.80,31.20,33.5,0.40,1.19,0,0,0
TBX,07/08/2010,33.5,33.5,33.5,33.5,100,36.90,32.10,34.5,-1.00,-2.90,0,0,0
TBX,07/07/2010,0.0,0.0,0.0,34.5,0,36.90,32.10,34.5,0.00,0.00,0,0,0
TBX,07/06/2010,35.1,35.1,32.7,34.5,10800,37.40,32.60,35.0,-0.50,-1.43,0,0,0
TBX,07/05/2010,35.0,35.0,35.0,35.0,8000,37.80,33.00,35.4,-0.40,-1.13,0,0,0
TBX,07/02/2010,35.0,35.4,34.9,35.4,57400,37.10,32.30,34.7,0.70,2.02,0,0,0
