MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
TCM,08/11/2010,19.1,19.5,18.4,18.6,534050,20.00,18.20,19.1,-0.50,-2.62,0,0,0
TCM,08/10/2010,19.7,19.8,19.1,19.1,1359600,21.10,19.10,20.1,-1.00,-4.98,0,0,0
TCM,08/09/2010,20.6,20.7,20.1,20.1,1668190,22.10,20.10,21.1,-1.00,-4.74,0,0,0
TCM,08/06/2010,21.8,22.1,21.1,21.1,1008950,23.30,21.10,22.2,-1.10,-4.95,30000,3000,174990
TCM,08/05/2010,22.2,22.9,21.7,22.2,942230,23.30,21.10,22.2,0.00,0.00,0,0,0
TCM,08/04/2010,21.1,22.3,20.8,22.2,1319680,22.40,20.40,21.4,0.80,3.74,0,0,0
TCM,08/03/2010,20.6,21.4,20.4,21.4,1719540,21.40,19.40,20.4,1.00,4.90,0,0,50000
TCM,08/02/2010,20.0,20.5,19.6,20.4,2518640,20.50,18.70,19.6,0.80,4.08,0,108000,10000
TCM,07/30/2010,19.0,19.6,18.8,19.6,793570,19.60,17.80,18.7,0.90,4.81,0,0,0
TCM,07/29/2010,18.7,19.3,18.6,18.7,338210,19.90,18.10,19.0,-0.30,-1.58,0,0,0
TCM,07/28/2010,19.5,19.7,18.9,19.0,673780,20.60,18.80,19.7,-0.70,-3.55,0,0,3000
TCM,07/27/2010,19.2,20.0,19.2,19.7,2493890,20.00,18.20,19.1,0.60,3.14,0,0,20000
TCM,07/26/2010,18.7,19.4,18.6,19.1,1088380,19.60,17.80,18.7,0.40,2.14,0,0,0
TCM,07/23/2010,18.8,19.0,18.2,18.7,749690,19.90,18.10,19.0,-0.30,-1.58,0,0,0
TCM,07/22/2010,19.1,19.3,18.5,19.0,1240610,20.30,18.50,19.4,-0.40,-2.06,0,0,0
