MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
TLH,08/11/2010,16.8,16.9,16.4,16.5,336950,17.40,15.80,16.6,-0.10,-0.60,0,1010,0
TLH,08/10/2010,16.9,17.0,16.1,16.6,493950,17.60,16.00,16.8,-0.20,-1.19,0,0,0
TLH,08/09/2010,17.6,17.7,16.8,16.8,313720,18.20,16.60,17.4,-0.60,-3.45,60000,0,0
TLH,08/06/2010,17.6,17.6,17.0,17.4,852990,18.60,17.00,17.8,-0.40,-2.25,0,1000,0
TLH,08/05/2010,18.0,18.1,17.7,17.8,257250,18.70,17.10,17.9,-0.10,-0.56,0,950,0
TLH,08/04/2010,18.4,18.5,17.6,17.9,320720,19.40,17.60,18.5,-0.60,-3.24,0,2250,0
TLH,08/03/2010,18.9,19.0,18.5,18.5,168990,19.70,17.90,18.8,-0.30,-1.60,150000,100,0
TLH,08/02/2010,18.8,19.1,18.8,18.8,303680,19.80,18.00,18.9,-0.10,-0.53,0,10000,0
TLH,07/30/2010,19.1,19.3,18.9,18.9,155830,19.80,18.00,18.9,0.00,0.00,0,0,0
TLH,07/29/2010,19.0,19.3,18.7,18.9,184630,19.90,18.10,19.0,-0.10,-0.53,0,0,0
TLH,07/28/2010,19.9,20.0,19.0,19.0,522730,21.00,19.00,20.0,-1.00,-5.00,0,600,0
TLH,07/27/2010,20.4,20.5,20.0,20.0,194490,21.30,19.30,20.3,-0.30,-1.48,134520,0,0
TLH,07/26/2010,20.5,20.6,20.2,20.3,214530,21.10,19.10,20.1,0.20,1.00,0,3250,0
TLH,07/23/2010,20.4,20.4,20.0,20.1,495650,21.20,19.20,20.2,-0.10,-0.50,0,50,0
TLH,07/22/2010,20.5,20.5,20.1,20.2,396300,21.50,19.50,20.5,-0.30,-1.46,0,2000,0
TLH,07/21/2010,20.7,20.7,20.5,20.5,302750,21.70,19.70,20.7,-0.20,-0.97,0,0,0
TLH,07/20/2010,20.8,21.1,20.7,20.7,287260,21.80,19.80,20.8,-0.10,-0.48,0,0,0
TLH,07/19/2010,21.0,21.0,20.8,20.8,112990,22.00,20.00,21.0,-0.20,-0.95,0,1000,0
TLH,07/16/2010,21.3,21.4,21.0,21.0,262310,22.10,20.10,21.1,-0.10,-0.47,0,0,0
TLH,07/15/2010,20.8,21.6,20.7,21.1,482640,21.70,19.70,20.7,0.40,1.93,0,0,0
TLH,07/14/2010,21.5,21.5,20.7,20.7,432990,22.30,20.30,21.3,-0.60,-2.82,20000,0,0
TLH,07/13/2010,21.1,21.7,20.8,21.3,302890,22.10,20.10,21.1,0.20,0.95,0,0,0
TLH,07/12/2010,21.0,21.1,20.7,21.1,87180,22.00,20.00,21.0,0.10,0.48,0,0,0
TLH,07/09/2010,21.1,21.5,20.9,21.0,342400,22.40,20.40,21.4,-0.40,-1.87,0,0,0
TLH,07/08/2010,21.0,21.6,20.8,21.4,1019820,21.60,19.60,20.6,0.80,3.88,0,0,0
TLH,07/07/2010,21.2,21.2,20.6,20.6,412430,21.50,19.50,20.5,0.10,0.49,0,0,0
TLH,07/06/2010,20.5,20.6,20.3,20.5,388440,21.50,19.50,20.5,0.00,0.00,0,10100,0
TLH,07/05/2010,20.5,20.9,20.3,20.5,241900,21.50,19.50,20.5,0.00,0.00,0,0,0
TLH,07/02/2010,20.5,20.6,20.4,20.5,234650,21.50,19.50,20.5,0.00,0.00,20000,0,0
