MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
TPP,08/11/2010,17.4,17.6,16.1,17.2,30300,18.00,15.80,16.9,0.30,1.78,0,0,0
TPP,08/10/2010,17.6,17.6,16.7,16.9,44500,19.10,16.70,17.9,-1.00,-5.59,0,0,0
TPP,08/09/2010,18.0,18.9,17.4,17.9,26900,18.90,16.50,17.7,0.20,1.13,0,0,0
TPP,08/06/2010,18.0,18.0,17.0,17.7,9100,19.00,16.60,17.8,-0.10,-0.56,0,0,0
TPP,08/05/2010,18.7,18.7,17.4,17.8,17400,20.00,17.40,18.7,-0.90,-4.81,40000,0,700
TPP,08/04/2010,18.9,19.6,18.5,18.7,8500,21.10,18.50,19.8,-1.10,-5.56,0,0,0
TPP,08/03/2010,20.0,20.2,19.5,19.8,28500,21.40,18.60,20.0,-0.20,-1.00,0,0,0
TPP,08/02/2010,20.0,20.2,20.0,20.0,13100,21.70,18.90,20.3,-0.30,-1.48,0,0,0
TPP,07/30/2010,19.5,20.8,19.5,20.3,61800,21.60,18.80,20.2,0.10,0.50,8000,0,0
TPP,07/29/2010,19.4,20.7,19.4,20.2,36100,21.90,19.10,20.5,-0.30,-1.46,0,0,0
TPP,07/28/2010,20.7,20.7,20.5,20.5,59600,23.50,20.50,22.0,-1.50,-6.82,0,0,0
TPP,07/27/2010,22.0,22.2,21.5,22.0,29400,23.30,20.30,21.8,0.20,0.92,0,0,0
TPP,07/26/2010,22.0,22.3,20.9,21.8,116900,22.30,19.50,20.9,0.90,4.31,8000,0,3000
TPP,07/23/2010,21.0,21.5,20.7,20.9,17600,22.30,19.50,20.9,0.00,0.00,0,0,0
TPP,07/22/2010,21.0,21.6,20.2,20.9,66600,23.10,20.10,21.6,-0.70,-3.24,0,0,0
