MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
TSM,08/11/2010,18.0,18.0,18.0,18.0,400,18.00,15.80,16.9,1.10,6.51,0,0,0
TSM,08/10/2010,17.0,17.0,16.8,16.9,7400,19.20,16.80,18.0,-1.10,-6.11,0,0,0
TSM,08/09/2010,18.0,18.0,18.0,18.0,1500,20.30,17.70,19.0,-1.00,-5.26,0,0,0
TSM,08/06/2010,19.0,19.0,19.0,19.0,100,19.40,17.00,18.2,0.80,4.40,0,0,0
TSM,08/05/2010,0.0,0.0,0.0,18.2,0,19.40,17.00,18.2,0.00,0.00,0,0,0
TSM,08/04/2010,18.0,20.0,18.0,18.2,3000,20.60,18.00,19.3,-1.10,-5.70,0,0,0
TSM,08/03/2010,20.0,20.0,19.2,19.3,2500,20.10,17.50,18.8,0.50,2.66,0,0,0
TSM,08/02/2010,19.0,19.0,18.8,18.8,1000,21.60,18.80,20.2,-1.40,-6.93,0,0,0
TSM,07/30/2010,20.0,21.2,20.0,20.2,600,21.40,18.60,20.0,0.20,1.00,0,0,0
TSM,07/29/2010,20.0,20.0,20.0,20.0,2000,21.10,18.50,19.8,0.20,1.01,0,0,0
TSM,07/28/2010,19.8,20.0,19.7,19.8,10800,22.50,19.70,21.1,-1.30,-6.16,0,0,0
TSM,07/27/2010,21.7,21.9,20.2,21.1,4500,22.20,19.40,20.8,0.30,1.44,0,0,0
TSM,07/26/2010,23.5,23.5,20.7,20.8,3000,23.60,20.60,22.1,-1.30,-5.88,0,0,0
TSM,07/23/2010,23.5,23.5,22.0,22.1,7800,25.20,22.00,23.6,-1.50,-6.36,0,0,0
TSM,07/22/2010,23.9,23.9,22.0,23.6,3500,23.90,20.90,22.4,1.20,5.36,0,0,0
TSM,07/21/2010,22.4,22.4,22.4,22.4,5500,22.40,19.60,21.0,1.40,6.67,0,0,0
TSM,07/20/2010,20.6,21.7,20.5,21.0,22600,21.70,18.90,20.3,0.70,3.45,0,0,0
TSM,07/19/2010,22.0,22.0,20.0,20.3,10200,22.60,19.80,21.2,-0.90,-4.25,0,0,0
TSM,07/16/2010,21.9,21.9,21.1,21.2,25900,24.10,21.10,22.6,-1.40,-6.19,0,0,0
TSM,07/15/2010,23.4,23.4,21.2,22.6,3600,24.20,21.20,22.7,-0.10,-0.44,0,0,0
TSM,07/14/2010,24.2,24.2,21.7,22.7,5400,24.30,21.30,22.8,-0.10,-0.44,0,0,0
TSM,07/13/2010,22.8,23.0,22.7,22.8,4400,26.10,22.70,24.4,-1.60,-6.56,0,0,0
TSM,07/12/2010,24.9,24.9,24.0,24.4,2500,27.60,24.00,25.8,-1.40,-5.43,0,0,0
TSM,07/09/2010,25.8,25.8,25.8,25.8,2000,26.90,23.50,25.2,0.60,2.38,0,0,0
TSM,07/08/2010,27.5,27.7,24.2,25.2,10100,27.80,24.20,26.0,-0.80,-3.08,0,0,0
TSM,07/07/2010,28.2,28.2,24.6,26.0,8900,28.20,24.60,26.4,-0.40,-1.52,0,0,0
TSM,07/06/2010,27.0,27.0,25.3,26.4,3900,27.00,23.60,25.3,1.10,4.35,0,0,0
TSM,07/05/2010,27.3,27.3,23.9,25.3,13400,27.30,23.90,25.6,-0.30,-1.17,0,0,0
TSM,07/02/2010,25.0,29.0,21.0,25.6,19800,0.00,0.00,0.0,25.60,0.00,0,0,0
