MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
TTF,08/11/2010,21.5,21.8,21.5,21.7,34330,22.70,20.70,21.7,0.00,0.00,0,0,0
TTF,08/10/2010,21.5,22.1,21.0,21.7,71140,23.20,21.00,22.1,-0.40,-1.81,0,0,0
TTF,08/09/2010,0.0,22.6,22.0,22.1,41180,23.70,21.50,22.6,-0.50,-2.21,0,0,0
TTF,08/06/2010,0.0,23.2,22.5,22.6,14610,24.10,21.90,23.0,-0.40,-1.74,0,0,0
TTF,08/05/2010,0.0,23.5,23.0,23.0,42840,24.10,21.90,23.0,0.00,0.00,0,0,0
TTF,08/04/2010,0.0,23.2,23.0,23.0,39380,24.40,22.20,23.3,-0.30,-1.29,0,0,0
TTF,08/03/2010,23.0,23.6,23.0,23.3,65660,24.10,21.90,23.0,0.30,1.30,0,0,0
TTF,08/02/2010,0.0,23.3,22.6,23.0,50480,23.70,21.50,22.6,0.40,1.77,0,0,0
TTF,07/30/2010,23.0,23.0,22.3,22.6,110880,23.70,21.50,22.6,0.00,0.00,0,0,0
TTF,07/29/2010,22.5,22.7,22.5,22.6,44020,24.00,21.80,22.9,-0.30,-1.31,0,0,0
TTF,07/28/2010,23.8,24.1,22.9,22.9,75270,24.60,22.40,23.5,-0.60,-2.55,0,0,0
TTF,07/27/2010,23.7,23.7,23.0,23.5,36040,24.30,22.10,23.2,0.30,1.29,0,0,0
TTF,07/26/2010,24.2,24.2,23.2,23.2,55230,24.70,22.50,23.6,-0.40,-1.69,0,0,0
TTF,07/23/2010,23.7,23.7,23.4,23.6,39520,24.20,22.00,23.1,0.50,2.16,0,0,0
TTF,07/22/2010,23.9,24.5,23.1,23.1,169140,25.40,23.00,24.2,-1.10,-4.55,0,0,0
TTF,07/21/2010,0.0,24.4,24.0,24.2,58390,25.40,23.00,24.2,0.00,0.00,0,0,0
TTF,07/20/2010,24.2,24.4,24.0,24.2,78070,25.40,23.00,24.2,0.00,0.00,0,0,0
TTF,07/19/2010,24.6,24.7,24.2,24.2,73280,25.80,23.40,24.6,-0.40,-1.63,0,0,0
TTF,07/16/2010,24.4,24.8,24.4,24.6,83050,25.50,23.10,24.3,0.30,1.23,0,0,0
TTF,07/15/2010,0.0,24.9,24.0,24.3,59550,25.60,23.20,24.4,-0.10,-0.41,0,0,0
TTF,07/14/2010,23.9,24.9,23.9,24.4,37800,25.70,23.30,24.5,-0.10,-0.41,0,0,0
TTF,07/13/2010,24.0,24.5,23.6,24.5,88500,24.50,22.30,23.4,1.10,4.70,0,0,0
TTF,07/12/2010,23.9,23.9,23.3,23.4,41780,24.40,22.20,23.3,0.10,0.43,0,0,0
TTF,07/09/2010,0.0,24.0,23.2,23.3,105260,24.90,22.70,23.8,-0.50,-2.10,0,0,0
TTF,07/08/2010,24.0,24.5,23.8,23.8,34400,25.20,22.80,24.0,-0.20,-0.83,0,0,0
TTF,07/07/2010,0.0,24.3,24.0,24.0,108780,25.40,23.00,24.2,-0.20,-0.83,0,0,0
TTF,07/06/2010,0.0,24.9,24.2,24.2,53840,26.20,23.80,25.0,-0.80,-3.20,0,0,0
TTF,07/05/2010,0.0,25.0,24.4,25.0,145860,25.90,23.50,24.7,0.30,1.21,0,0,0
TTF,07/02/2010,0.0,25.0,24.7,24.7,31700,26.20,23.80,25.0,-0.30,-1.20,0,0,0
TTF,07/01/2010,0.0,25.2,24.9,25.0,118620,27.10,24.70,25.9,-0.90,-3.47,0,0,0
TTF,06/30/2010,24.5,25.9,24.5,25.9,244750,26.20,23.80,25.0,0.90,3.60,0,100,0
TTF,06/29/2010,25.1,25.1,24.8,25.0,169800,26.20,23.80,25.0,0.00,0.00,0,0,0
TTF,06/28/2010,25.0,25.1,24.5,25.0,57590,26.20,23.80,25.0,0.00,0.00,0,0,0
TTF,06/25/2010,24.5,25.0,24.1,25.0,80650,26.10,23.70,24.9,0.10,0.40,0,0,0
TTF,06/24/2010,24.7,25.5,24.4,24.9,159290,25.60,23.20,24.4,0.50,2.05,20014,0,0
TTF,06/23/2010,24.7,24.7,24.2,24.4,256180,25.90,23.50,24.7,-0.30,-1.21,0,0,0
TTF,06/22/2010,24.6,24.9,24.5,24.7,119350,25.80,23.40,24.6,0.10,0.41,0,0,0
TTF,06/21/2010,25.0,25.0,24.6,24.6,56500,26.00,23.60,24.8,-0.20,-0.81,0,0,0
TTF,06/18/2010,24.2,25.0,24.2,24.8,90110,25.90,23.50,24.7,0.10,0.40,0,0,0
TTF,06/17/2010,24.6,25.2,24.6,24.7,48850,26.20,23.80,25.0,-0.30,-1.20,0,0,0
TTF,06/16/2010,25.7,25.7,25.0,25.0,66030,26.90,24.50,25.7,-0.70,-2.72,0,0,0
TTF,06/15/2010,25.5,25.7,25.4,25.7,113390,27.10,24.70,25.9,-0.20,-0.77,0,0,0
TTF,06/14/2010,25.9,25.9,25.2,25.9,178210,26.70,24.30,25.5,0.40,1.57,0,0,0
TTF,06/11/2010,24.4,25.5,24.2,25.5,234020,25.50,23.10,24.3,1.20,4.94,0,0,0
TTF,06/10/2010,24.0,24.3,23.9,24.3,88590,25.00,22.80,23.9,0.40,1.67,0,0,0
TTF,06/09/2010,0.0,24.0,23.3,23.9,49390,24.40,22.20,23.3,0.60,2.58,0,100,0
TTF,06/08/2010,22.8,23.3,22.3,23.3,47050,24.40,22.20,23.3,0.00,0.00,0,0,0
TTF,06/07/2010,23.2,24.0,23.1,23.3,228970,25.50,23.10,24.3,-1.00,-4.12,0,0,0
