MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
TV2,08/11/2010,21.7,21.7,21.0,21.1,1300,21.70,18.90,20.3,0.80,3.94,0,0,0
TV2,08/10/2010,20.5,21.0,20.0,20.3,10900,22.40,19.60,21.0,-0.70,-3.33,0,0,0
TV2,08/09/2010,21.0,21.0,20.7,21.0,2500,23.60,20.60,22.1,-1.10,-4.98,0,0,0
TV2,08/06/2010,23.0,23.0,21.0,22.1,7400,23.90,20.90,22.4,-0.30,-1.34,0,0,0
TV2,08/05/2010,22.4,22.4,22.3,22.4,1900,22.50,19.70,21.1,1.30,6.16,0,900,0
TV2,08/04/2010,21.2,21.2,21.0,21.1,5100,23.10,20.10,21.6,-0.50,-2.31,0,0,0
TV2,08/03/2010,21.5,22.0,21.5,21.6,1200,23.60,20.60,22.1,-0.50,-2.26,0,0,0
TV2,08/02/2010,22.3,22.3,22.0,22.1,5000,24.30,21.30,22.8,-0.70,-3.07,0,0,0
TV2,07/30/2010,22.8,22.8,22.8,22.8,600,24.30,21.30,22.8,0.00,0.00,0,0,0
TV2,07/29/2010,23.5,24.2,22.5,22.8,13100,25.10,21.90,23.5,-0.70,-2.98,0,10500,0
TV2,07/28/2010,23.5,23.9,22.9,23.5,1000,24.00,21.00,22.5,1.00,4.44,0,500,0
TV2,07/27/2010,22.8,24.1,22.3,22.5,30000,25.50,22.30,23.9,-1.40,-5.86,0,14000,11900
TV2,07/26/2010,23.8,24.0,23.8,23.9,3300,24.10,21.10,22.6,1.30,5.75,0,800,0
TV2,07/23/2010,22.0,24.2,21.9,22.6,9000,24.30,21.30,22.8,-0.20,-0.88,0,700,0
TV2,07/22/2010,23.1,23.1,22.7,22.8,2900,25.10,21.90,23.5,-0.70,-2.98,0,0,0
TV2,07/21/2010,23.6,23.6,23.5,23.5,2700,26.40,23.00,24.7,-1.20,-4.86,0,0,0
TV2,07/20/2010,24.7,24.7,24.7,24.7,100,25.20,22.00,23.6,1.10,4.66,0,0,0
TV2,07/19/2010,24.1,24.1,22.9,23.6,10900,26.30,22.90,24.6,-1.00,-4.07,0,0,0
TV2,07/16/2010,24.0,25.2,24.0,24.6,3500,25.50,22.30,23.9,0.70,2.93,0,2600,0
TV2,07/15/2010,24.0,24.8,23.8,23.9,26000,26.50,23.10,24.8,-0.90,-3.63,0,19200,0
TV2,07/14/2010,25.0,25.0,24.6,24.8,3900,26.90,23.50,25.2,-0.40,-1.59,0,2900,0
TV2,07/13/2010,25.8,26.0,25.0,25.2,24000,26.00,22.60,24.3,0.90,3.70,0,14900,0
TV2,07/12/2010,25.0,25.0,24.1,24.3,2900,25.60,22.40,24.0,0.30,1.25,0,1900,0
TV2,07/09/2010,24.5,24.5,23.5,24.0,2800,25.60,22.40,24.0,0.00,0.00,0,2500,0
TV2,07/08/2010,24.0,24.5,24.0,24.0,5200,25.60,22.40,24.0,0.00,0.00,0,2700,0
TV2,07/07/2010,24.8,24.8,23.1,24.0,200,25.20,22.00,23.6,0.40,1.69,0,0,0
TV2,07/06/2010,23.7,23.7,23.6,23.6,1100,26.20,22.80,24.5,-0.90,-3.67,0,0,0
TV2,07/05/2010,24.8,24.9,23.6,24.5,7600,26.20,22.80,24.5,0.00,0.00,0,600,0
TV2,07/02/2010,24.8,24.8,24.4,24.5,2300,26.10,22.70,24.4,0.10,0.41,0,400,0
TV2,07/01/2010,25.4,25.4,24.2,24.4,1100,27.00,23.60,25.3,-0.90,-3.56,0,100,0
TV2,06/30/2010,24.7,25.7,24.7,25.3,18200,28.30,24.70,26.5,-1.20,-4.53,0,0,0
TV2,06/29/2010,26.4,27.6,26.0,26.5,37200,28.00,24.40,26.2,0.30,1.15,0,0,2000
TV2,06/28/2010,26.5,26.5,25.6,26.2,73400,27.30,23.90,25.6,0.60,2.34,0,0,0
TV2,06/25/2010,26.8,26.8,25.0,25.6,65000,27.10,23.70,25.4,0.20,0.79,0,0,0
TV2,06/24/2010,25.9,25.9,24.7,25.4,59900,26.40,23.00,24.7,0.70,2.83,0,8600,0
TV2,06/23/2010,23.4,25.3,23.4,24.7,23900,26.80,23.40,25.1,-0.40,-1.59,0,10000,0
TV2,06/22/2010,24.8,25.7,22.7,25.1,19800,25.70,22.50,24.1,1.00,4.15,0,0,0
TV2,06/21/2010,24.8,24.8,24.0,24.1,19600,25.80,22.60,24.2,-0.10,-0.41,0,7500,0
TV2,06/18/2010,24.0,24.5,23.9,24.2,29900,24.70,21.50,23.1,1.10,4.76,0,9600,0
TV2,06/17/2010,23.0,24.2,23.0,23.1,9100,26.00,22.60,24.3,-1.20,-4.94,0,3000,0
TV2,06/16/2010,25.5,25.6,22.4,24.3,14000,25.60,22.40,24.0,0.30,1.25,0,4200,0
TV2,06/15/2010,23.5,24.1,23.5,24.0,83300,24.10,21.10,22.6,1.40,6.19,0,10000,0
TV2,06/14/2010,23.5,23.5,22.0,22.6,5300,24.20,21.20,22.7,-0.10,-0.44,0,5000,0
