MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
UNI,08/11/2010,21.7,23.6,21.7,23.4,126500,23.60,20.60,22.1,1.30,5.88,19400,0,0
UNI,08/10/2010,23.0,23.7,21.9,22.1,127700,25.10,21.90,23.5,-1.40,-5.96,0,0,0
UNI,08/09/2010,25.0,25.0,23.4,23.5,123700,26.80,23.40,25.1,-1.60,-6.37,5000,0,0
UNI,08/06/2010,25.0,25.6,25.0,25.1,75400,27.00,23.60,25.3,-0.20,-0.79,0,0,0
UNI,08/05/2010,25.3,25.8,24.6,25.3,67300,27.00,23.60,25.3,0.00,0.00,0,0,0
UNI,08/04/2010,25.8,25.8,24.8,25.3,101300,28.40,24.80,26.6,-1.30,-4.89,0,0,0
UNI,08/03/2010,27.5,28.0,26.0,26.6,89600,29.50,25.70,27.6,-1.00,-3.62,0,0,0
UNI,08/02/2010,28.5,28.5,27.0,27.6,125500,29.70,25.90,27.8,-0.20,-0.72,20000,0,0
UNI,07/30/2010,28.3,28.3,27.5,27.8,54600,29.30,25.50,27.4,0.40,1.46,0,0,0
UNI,07/29/2010,28.0,28.3,26.8,27.4,223800,30.60,26.60,28.6,-1.20,-4.20,50000,0,0
UNI,07/28/2010,30.4,30.4,28.4,28.6,60400,32.10,27.90,30.0,-1.40,-4.67,0,0,0
UNI,07/27/2010,29.7,31.3,29.5,30.0,147800,31.60,27.60,29.6,0.40,1.35,0,0,0
UNI,07/26/2010,30.0,30.5,29.0,29.6,101000,31.90,27.90,29.9,-0.30,-1.00,29000,0,2100
UNI,07/23/2010,30.0,30.6,29.5,29.9,132100,31.90,27.90,29.9,0.00,0.00,0,0,0
UNI,07/22/2010,30.7,30.7,29.4,29.9,148900,32.90,28.70,30.8,-0.90,-2.92,0,0,0
UNI,07/21/2010,31.2,31.6,30.3,30.8,132700,33.70,29.30,31.5,-0.70,-2.22,0,0,0
UNI,07/20/2010,32.1,32.1,31.1,31.5,54200,34.00,29.60,31.8,-0.30,-0.94,0,0,0
UNI,07/19/2010,31.4,32.4,31.2,31.8,80400,33.30,29.10,31.2,0.60,1.92,0,0,0
UNI,07/16/2010,31.5,31.9,30.6,31.2,107100,33.90,29.50,31.7,-0.50,-1.58,0,0,0
UNI,07/15/2010,32.0,32.4,31.2,31.7,127500,35.50,30.90,33.2,-1.50,-4.52,0,0,0
UNI,07/14/2010,34.5,34.5,32.1,33.2,362200,34.50,30.10,32.3,0.90,2.79,0,0,10000
UNI,07/13/2010,32.3,32.3,32.0,32.3,35900,32.30,28.10,30.2,2.10,6.95,0,0,0
UNI,07/12/2010,30.0,30.9,28.9,30.2,99400,30.90,26.90,28.9,1.30,4.50,0,0,0
UNI,07/09/2010,29.1,29.8,28.3,28.9,129300,31.90,27.90,29.9,-1.00,-3.34,0,0,0
UNI,07/08/2010,32.0,32.0,29.4,29.9,145000,32.80,28.60,30.7,-0.80,-2.61,0,0,0
UNI,07/07/2010,31.4,31.9,29.7,30.7,148200,32.60,28.40,30.5,0.20,0.66,0,0,0
UNI,07/06/2010,31.6,31.6,30.4,30.5,364400,34.80,30.40,32.6,-2.10,-6.44,0,100,0
UNI,07/05/2010,33.7,33.7,32.0,32.6,135800,34.60,30.20,32.4,0.20,0.62,0,0,0
UNI,07/02/2010,31.4,34.4,31.4,32.4,440500,36.00,31.40,33.7,-1.30,-3.86,0,0,2000
UNI,07/01/2010,33.7,33.7,33.7,33.7,80800,38.70,33.70,36.2,-2.50,-6.91,51500,0,0
UNI,06/30/2010,36.5,36.5,36.2,36.2,207800,41.60,36.20,38.9,-2.70,-6.94,0,0,0
UNI,06/29/2010,39.3,39.3,37.1,38.9,485400,39.30,34.30,36.8,2.10,5.71,0,0,5000
UNI,06/28/2010,36.8,36.8,36.8,36.8,266100,36.80,22.20,29.5,7.30,24.75,0,100,5000
UNI,06/25/2010,57.5,59.0,57.0,59.0,674500,59.00,51.40,55.2,3.80,6.88,0,100,8000
UNI,06/24/2010,53.1,55.3,52.1,55.2,649800,55.30,48.10,51.7,3.50,6.77,0,2100,2000
UNI,06/23/2010,51.6,52.8,49.5,51.7,257900,55.20,48.00,51.6,0.10,0.19,0,100,0
UNI,06/22/2010,54.5,55.4,50.0,51.6,242400,56.90,49.50,53.2,-1.60,-3.01,0,100,0
UNI,06/21/2010,54.5,54.5,52.0,53.2,223100,55.10,47.90,51.5,1.70,3.30,0,0,0
UNI,06/18/2010,52.0,52.1,50.0,51.5,235500,53.10,46.30,49.7,1.80,3.62,0,0,0
UNI,06/17/2010,50.0,50.0,49.2,49.7,143700,53.50,46.50,50.0,-0.30,-0.60,0,0,0
UNI,06/16/2010,50.0,50.5,49.5,50.0,150800,52.80,46.00,49.4,0.60,1.21,0,0,0
UNI,06/15/2010,50.0,50.2,48.8,49.4,165700,53.70,46.70,50.2,-0.80,-1.59,0,1000,0
UNI,06/14/2010,50.0,50.9,49.9,50.2,144600,53.30,46.50,49.9,0.30,0.60,0,4000,0
UNI,06/11/2010,52.5,52.5,49.0,49.9,190200,54.80,47.80,51.3,-1.40,-2.73,0,0,0
UNI,06/10/2010,52.5,52.5,50.2,51.3,62400,56.30,49.10,52.7,-1.40,-2.66,0,0,0
UNI,06/09/2010,54.2,54.2,51.1,52.7,71700,56.20,49.00,52.6,0.10,0.19,0,0,0
UNI,06/08/2010,50.0,55.0,50.0,52.6,88900,57.40,50.00,53.7,-1.10,-2.05,0,0,0
UNI,06/07/2010,54.4,54.6,50.5,53.7,463400,54.60,47.60,51.1,2.60,5.09,0,0,0
UNI,06/04/2010,51.1,51.1,51.1,51.1,30700,51.10,44.50,47.8,3.30,6.90,0,0,0
UNI,06/03/2010,47.8,47.8,47.8,47.8,28400,47.80,41.60,44.7,3.10,6.94,0,0,0
UNI,06/02/2010,44.5,45.3,43.6,44.7,62500,47.90,41.70,44.8,-0.10,-0.22,0,0,0
UNI,06/01/2010,45.0,45.2,44.5,44.8,48600,48.40,42.20,45.3,-0.50,-1.10,0,0,0
UNI,05/31/2010,45.0,45.9,44.5,45.3,37100,48.70,42.50,45.6,-0.30,-0.66,0,0,0
UNI,05/28/2010,45.0,45.7,45.0,45.6,104700,45.70,39.90,42.8,2.80,6.54,0,0,0
UNI,05/27/2010,43.0,44.7,43.0,43.8,32800,46.20,40.20,43.2,0.60,1.39,0,0,0
UNI,05/26/2010,43.5,44.2,42.8,43.2,92200,46.00,40.00,43.0,0.20,0.47,0,0,0
UNI,05/25/2010,43.1,44.0,42.5,43.0,111600,46.10,40.10,43.1,-0.10,-0.23,0,0,3700
UNI,05/24/2010,42.5,43.6,41.3,43.1,56000,43.60,38.00,40.8,2.30,5.64,0,0,0
UNI,05/21/2010,41.5,42.5,40.2,40.8,158000,46.20,40.20,43.2,-2.40,-5.56,0,0,0
UNI,05/20/2010,43.2,45.7,42.5,43.2,98400,48.70,42.50,45.6,-2.40,-5.26,0,0,0
UNI,05/19/2010,46.4,46.5,44.4,45.6,65500,49.60,43.20,46.4,-0.80,-1.72,0,0,0
UNI,05/18/2010,47.0,47.8,44.6,46.4,89100,49.30,42.90,46.1,0.30,0.65,0,0,0
UNI,05/17/2010,47.9,48.3,45.6,46.1,57300,51.20,44.60,47.9,-1.80,-3.76,0,0,0
UNI,05/14/2010,48.5,48.6,47.0,47.9,63500,51.10,44.50,47.8,0.10,0.21,21400,0,0
UNI,05/13/2010,47.0,48.8,47.0,47.8,62800,50.80,44.20,47.5,0.30,0.63,0,0,800
UNI,05/12/2010,48.5,48.5,46.1,47.5,134900,51.60,45.00,48.3,-0.80,-1.66,0,0,0
UNI,05/11/2010,50.0,51.8,45.7,48.3,157700,52.40,45.60,49.0,-0.70,-1.43,0,0,0
UNI,05/10/2010,48.0,50.5,46.6,49.0,117500,52.40,45.60,49.0,0.00,0.00,0,0,0
UNI,05/07/2010,50.5,50.5,48.2,49.0,121400,55.10,47.90,51.5,-2.50,-4.85,0,0,4000
UNI,05/06/2010,51.0,52.5,51.0,51.5,77600,55.20,48.00,51.6,-0.10,-0.19,0,0,0
UNI,05/05/2010,51.7,52.9,51.0,51.6,88300,57.20,49.80,53.5,-1.90,-3.55,0,0,4800
UNI,05/04/2010,51.0,54.0,51.0,53.5,237900,54.00,47.00,50.5,3.00,5.94,0,0,5000
UNI,04/29/2010,51.0,51.0,50.1,50.5,106900,54.40,47.40,50.9,-0.40,-0.79,0,0,0
UNI,04/28/2010,53.0,53.0,50.0,50.9,94600,55.30,48.10,51.7,-0.80,-1.55,0,100,0
UNI,04/27/2010,51.0,52.4,51.0,51.7,176200,54.50,47.50,51.0,0.70,1.37,0,0,100
UNI,04/26/2010,50.0,52.4,49.6,51.0,222400,52.80,46.00,49.4,1.60,3.24,0,0,0
UNI,04/22/2010,51.4,51.4,48.2,49.4,300800,51.40,44.80,48.1,1.30,2.70,28200,0,0
UNI,04/21/2010,48.2,48.5,47.7,48.1,60500,51.50,44.90,48.2,-0.10,-0.21,0,0,0
UNI,04/20/2010,48.0,49.6,47.2,48.2,172500,49.60,43.20,46.4,1.80,3.88,0,0,0
UNI,04/19/2010,47.0,47.1,46.0,46.4,100400,50.60,44.00,47.3,-0.90,-1.90,0,0,0
UNI,04/16/2010,49.0,49.0,47.0,47.3,83100,51.20,44.60,47.9,-0.60,-1.25,0,0,0
UNI,04/15/2010,48.0,48.7,47.7,47.9,62800,51.20,44.60,47.9,0.00,0.00,0,0,0
