MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
VBC,08/11/2010,68.6,69.8,68.6,69.4,18100,73.50,63.90,68.7,0.70,1.02,0,0,1100
VBC,08/10/2010,67.0,68.9,67.0,68.7,11100,68.90,59.90,64.4,4.30,6.68,0,0,0
VBC,08/09/2010,64.5,64.5,64.2,64.4,1000,73.80,64.20,69.0,-4.60,-6.67,0,0,0
VBC,08/06/2010,0.0,0.0,0.0,69.0,0,73.80,64.20,69.0,0.00,0.00,0,0,0
VBC,08/05/2010,69.0,69.1,69.0,69.0,3000,74.00,64.40,69.2,-0.20,-0.29,0,0,0
VBC,08/04/2010,70.0,70.0,68.9,69.2,400,73.70,64.10,68.9,0.30,0.44,0,0,0
VBC,08/03/2010,69.0,69.0,68.6,68.9,2500,74.30,64.70,69.5,-0.60,-0.86,0,0,0
VBC,08/02/2010,68.0,70.0,68.0,69.5,3900,70.00,61.00,65.5,4.00,6.11,0,0,2500
VBC,07/30/2010,65.6,65.6,65.4,65.5,10500,68.20,59.40,63.8,1.70,2.66,0,0,0
VBC,07/29/2010,62.0,64.6,61.9,63.8,11500,69.10,60.10,64.6,-0.80,-1.24,0,0,0
VBC,07/28/2010,64.5,64.9,64.0,64.6,9500,68.90,59.90,64.4,0.20,0.31,0,0,1500
VBC,07/27/2010,64.4,64.4,64.4,64.4,10500,68.90,59.90,64.4,0.00,0.00,0,0,0
VBC,07/26/2010,64.4,64.4,64.0,64.4,10000,68.90,59.90,64.4,0.00,0.00,0,0,0
VBC,07/23/2010,62.0,65.0,62.0,64.4,25600,65.00,56.60,60.8,3.60,5.92,0,0,6500
VBC,07/22/2010,62.0,64.0,58.0,60.8,11500,64.00,55.80,59.9,0.90,1.50,0,0,3500
VBC,07/21/2010,59.9,59.9,59.8,59.9,10000,64.50,56.10,60.3,-0.40,-0.66,0,0,0
VBC,07/20/2010,60.7,60.7,60.0,60.3,10700,64.90,56.50,60.7,-0.40,-0.66,0,0,0
VBC,07/19/2010,62.0,62.0,60.1,60.7,10400,64.30,55.90,60.1,0.60,1.00,0,0,1100
VBC,07/16/2010,60.1,63.7,59.4,60.1,14200,68.10,59.30,63.7,-3.60,-5.65,0,0,0
VBC,07/15/2010,60.2,64.3,60.2,63.7,3500,68.80,59.80,64.3,-0.60,-0.93,0,0,0
VBC,07/14/2010,66.2,66.2,62.9,64.3,13900,66.90,58.30,62.6,1.70,2.72,0,0,0
