MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
VC2,08/11/2010,54.0,57.0,53.1,56.1,1200,60.90,53.10,57.0,-0.90,-1.58,0,0,0
VC2,08/10/2010,57.1,58.6,55.0,57.0,14300,62.80,54.60,58.7,-1.70,-2.90,0,0,0
VC2,08/09/2010,58.7,60.0,55.6,58.7,3000,63.30,55.10,59.2,-0.50,-0.84,0,0,0
VC2,08/06/2010,59.5,59.5,59.0,59.2,1300,64.00,55.80,59.9,-0.70,-1.17,0,0,0
VC2,08/05/2010,59.0,62.9,59.0,59.9,3200,62.90,54.70,58.8,1.10,1.87,0,0,0
VC2,08/04/2010,58.2,59.9,58.1,58.8,1600,63.60,55.40,59.5,-0.70,-1.18,0,0,0
VC2,08/03/2010,58.1,60.0,58.1,59.5,400,66.10,57.50,61.8,-2.30,-3.72,0,0,0
VC2,08/02/2010,61.8,61.8,61.8,61.8,100,67.90,59.10,63.5,-1.70,-2.68,0,0,0
VC2,07/30/2010,62.5,64.6,62.5,63.5,4300,65.80,57.20,61.5,2.00,3.25,0,0,0
VC2,07/29/2010,56.0,62.9,56.0,61.5,7000,64.30,55.90,60.1,1.40,2.33,0,0,0
VC2,07/28/2010,58.1,61.2,58.1,60.1,2900,65.60,57.20,61.4,-1.30,-2.12,0,0,0
VC2,07/27/2010,57.6,62.0,57.6,61.4,1300,66.20,57.60,61.9,-0.50,-0.81,0,0,700
VC2,07/26/2010,60.1,62.3,60.1,61.9,3800,66.60,58.00,62.3,-0.40,-0.64,0,0,0
VC2,07/23/2010,63.0,63.9,61.1,62.3,1800,66.00,57.40,61.7,0.60,0.97,0,0,0
VC2,07/22/2010,59.1,62.8,59.1,61.7,7200,67.30,58.50,62.9,-1.20,-1.91,0,0,0
VC2,07/21/2010,62.1,64.4,62.1,62.9,3900,69.20,60.20,64.7,-1.80,-2.78,0,0,0
VC2,07/20/2010,67.0,67.0,62.1,64.7,9300,69.50,60.50,65.0,-0.30,-0.46,0,0,0
VC2,07/19/2010,67.9,68.3,64.2,65.0,7400,69.90,60.90,65.4,-0.40,-0.61,0,0,0
VC2,07/16/2010,66.8,66.8,64.2,65.4,6000,69.20,60.20,64.7,0.70,1.08,0,0,0
VC2,07/15/2010,64.2,65.1,64.2,64.7,3000,71.30,62.10,66.7,-2.00,-3.00,0,0,0
VC2,07/14/2010,67.9,67.9,64.5,66.7,2200,72.60,63.20,67.9,-1.20,-1.77,0,0,0
VC2,07/13/2010,67.9,67.9,67.9,67.9,1200,72.40,63.00,67.7,0.20,0.30,0,0,0
VC2,07/12/2010,67.9,67.9,66.9,67.7,10100,71.00,61.80,66.4,1.30,1.96,0,0,0
VC2,07/09/2010,63.5,67.0,63.5,66.4,14700,68.10,59.30,63.7,2.70,4.24,0,0,0
VC2,07/08/2010,64.0,64.0,63.5,63.7,9300,71.90,62.50,67.2,-3.50,-5.21,0,0,0
VC2,07/07/2010,67.4,67.4,63.5,67.2,1600,68.40,59.60,64.0,3.20,5.00,0,0,100
VC2,07/06/2010,64.0,64.2,64.0,64.0,6400,71.30,62.10,66.7,-2.70,-4.05,0,0,0
VC2,07/05/2010,69.9,69.9,64.1,66.7,10000,71.10,61.90,66.5,0.20,0.30,0,0,100
VC2,07/02/2010,67.9,67.9,65.0,66.5,2700,69.00,60.00,64.5,2.00,3.10,0,0,0
VC2,07/01/2010,68.8,68.8,63.1,64.5,4900,68.80,59.80,64.3,0.20,0.31,0,200,0
VC2,06/30/2010,66.9,66.9,63.6,64.3,10700,72.50,63.10,67.8,-3.50,-5.16,35000,0,0
VC2,06/29/2010,67.0,67.9,65.0,67.8,22100,70.00,61.00,65.5,2.30,3.51,0,0,0
VC2,06/28/2010,65.5,66.0,64.8,65.5,3200,70.90,61.70,66.3,-0.80,-1.21,0,0,0
VC2,06/25/2010,70.0,70.0,66.0,66.3,1600,72.50,63.10,67.8,-1.50,-2.21,0,0,0
VC2,06/24/2010,68.0,68.0,66.0,67.8,40200,72.40,63.00,67.7,0.10,0.15,0,0,0
VC2,06/23/2010,67.9,67.9,67.4,67.7,35200,72.10,62.70,67.4,0.30,0.45,0,0,0
VC2,06/22/2010,68.1,68.9,66.8,67.4,18400,74.70,65.10,69.9,-2.50,-3.58,0,0,0
VC2,06/21/2010,73.9,73.9,67.0,69.9,2100,74.30,64.70,69.5,0.40,0.58,0,0,0
VC2,06/18/2010,67.6,69.8,67.6,69.5,14400,75.20,65.40,70.3,-0.80,-1.14,0,0,0
VC2,06/17/2010,71.5,71.5,66.8,70.3,35700,75.70,65.90,70.8,-0.50,-0.71,0,0,0
VC2,06/16/2010,70.3,71.9,70.0,70.8,107200,75.20,65.40,70.3,0.50,0.71,0,0,0
VC2,06/15/2010,70.3,70.6,68.8,70.3,51500,75.60,65.80,70.7,-0.40,-0.57,0,0,0
VC2,06/14/2010,73.7,73.7,70.2,70.7,22900,75.10,65.30,70.2,0.50,0.71,0,0,0
VC2,06/11/2010,71.4,71.4,69.0,70.2,85200,72.50,63.10,67.8,2.40,3.54,59600,0,0
VC2,06/10/2010,66.3,69.1,66.3,67.8,116700,70.90,61.70,66.3,1.50,2.26,0,0,0
VC2,06/09/2010,66.7,67.0,65.0,66.3,44200,68.80,59.80,64.3,2.00,3.11,0,0,0
VC2,06/08/2010,63.5,66.9,63.5,64.3,26900,68.20,59.40,63.8,0.50,0.78,0,0,0
VC2,06/07/2010,64.1,64.1,63.7,63.8,3200,73.10,63.70,68.4,-4.60,-6.73,0,0,0
VC2,06/04/2010,68.0,68.6,67.4,68.4,2100,72.20,62.80,67.5,0.90,1.33,0,0,0
VC2,06/03/2010,67.9,68.0,64.5,67.5,3300,70.70,61.50,66.1,1.40,2.12,0,0,0
VC2,06/02/2010,65.0,66.9,65.0,66.1,11300,70.40,61.20,65.8,0.30,0.46,0,0,0
VC2,06/01/2010,63.7,66.5,63.5,65.8,12200,72.40,63.00,67.7,-1.90,-2.81,0,0,0
VC2,05/31/2010,69.4,71.4,66.3,67.7,11000,71.40,62.20,66.8,0.90,1.35,0,0,0
VC2,05/28/2010,68.0,68.0,65.5,66.8,8200,69.90,60.90,65.4,1.40,2.14,0,0,0
VC2,05/27/2010,68.6,68.6,63.6,65.4,11100,70.20,61.20,65.7,-0.30,-0.46,0,0,100
VC2,05/26/2010,66.0,69.0,64.4,65.7,18700,69.30,60.30,64.8,0.90,1.39,0,0,0
VC2,05/25/2010,65.4,65.4,62.6,64.8,8700,67.40,58.60,63.0,1.80,2.86,0,0,0
VC2,05/24/2010,65.7,65.7,60.0,63.0,6700,65.80,57.20,61.5,1.50,2.44,0,0,0
VC2,05/21/2010,63.0,63.4,59.3,61.5,5100,67.90,59.10,63.5,-2.00,-3.15,0,0,0
VC2,05/20/2010,67.6,67.6,62.0,63.5,22900,67.80,59.00,63.4,0.10,0.16,0,0,0
VC2,05/19/2010,61.7,65.1,61.7,63.4,15400,69.60,60.60,65.1,-1.70,-2.61,0,0,0
VC2,05/18/2010,65.0,67.8,62.1,65.1,21300,68.10,59.30,63.7,1.40,2.20,0,0,0
VC2,05/17/2010,63.2,64.0,63.2,63.7,2800,72.20,62.80,67.5,-3.80,-5.63,0,0,0
VC2,05/14/2010,65.5,68.0,65.4,67.5,22100,69.90,60.90,65.4,2.10,3.21,0,0,0
VC2,05/13/2010,65.0,68.0,64.0,65.4,9100,69.00,60.00,64.5,0.90,1.40,0,0,0
VC2,05/12/2010,65.1,65.9,62.6,64.5,77200,71.90,62.50,67.2,-2.70,-4.02,0,0,0
VC2,05/11/2010,67.5,69.6,65.1,67.2,79500,71.20,62.00,66.6,0.60,0.90,0,0,0
VC2,05/10/2010,68.0,68.0,66.5,66.6,50500,74.20,64.60,69.4,-2.80,-4.03,0,0,0
VC2,05/07/2010,70.0,71.0,67.6,69.4,29200,76.20,66.40,71.3,-1.90,-2.66,0,0,0
VC2,05/06/2010,67.1,72.7,67.1,71.3,109700,72.70,63.30,68.0,3.30,4.85,0,0,0
VC2,05/05/2010,68.5,69.6,66.6,68.0,23600,73.70,64.10,68.9,-0.90,-1.31,0,0,0
VC2,05/04/2010,70.0,71.6,65.1,68.9,97000,71.60,62.40,67.0,1.90,2.84,0,0,0
VC2,04/29/2010,68.5,68.5,65.5,67.0,100900,72.50,63.10,67.8,-0.80,-1.18,0,0,0
VC2,04/28/2010,67.4,70.0,65.0,67.8,98300,72.50,63.10,67.8,0.00,0.00,0,0,0
VC2,04/27/2010,71.6,71.6,67.0,67.8,147000,72.60,63.20,67.9,-0.10,-0.15,0,0,0
VC2,04/26/2010,65.0,69.1,64.6,67.9,212500,69.10,60.10,64.6,3.30,5.11,0,0,0
VC2,04/22/2010,63.0,64.9,62.5,64.6,440300,64.90,56.50,60.7,3.90,6.43,0,0,0
VC2,04/21/2010,58.2,62.0,58.2,60.7,158800,62.00,54.00,58.0,2.70,4.66,0,0,0
VC2,04/20/2010,57.4,59.0,57.1,58.0,106300,62.10,54.10,58.1,-0.10,-0.17,0,0,0
VC2,04/19/2010,58.9,59.2,57.3,58.1,83100,65.60,57.20,61.4,-3.30,-5.37,0,0,3400
VC2,04/16/2010,64.0,64.8,60.3,61.4,175600,65.10,56.70,60.9,0.50,0.82,0,0,0
VC2,04/15/2010,60.0,60.9,60.0,60.9,104600,60.90,53.10,57.0,3.90,6.84,0,0,0
VC2,04/14/2010,54.7,58.1,54.5,57.0,146400,58.10,50.50,54.3,2.70,4.97,0,0,0
VC2,04/13/2010,55.5,55.5,53.6,54.3,54300,58.40,50.80,54.6,-0.30,-0.55,0,0,0
VC2,04/12/2010,55.5,55.8,54.0,54.6,28200,59.30,51.70,55.5,-0.90,-1.62,0,0,0
VC2,04/09/2010,57.0,57.0,54.5,55.5,46000,58.30,50.70,54.5,1.00,1.83,0,0,0
VC2,04/08/2010,53.6,55.5,53.4,54.5,70700,57.20,49.80,53.5,1.00,1.87,0,0,0
VC2,04/07/2010,53.8,53.8,53.0,53.5,54800,57.30,49.90,53.6,-0.10,-0.19,0,0,0
VC2,04/06/2010,54.3,54.3,52.5,53.6,39900,57.20,49.80,53.5,0.10,0.19,0,0,0
VC2,04/05/2010,53.5,54.0,52.8,53.5,28100,56.00,48.80,52.4,1.10,2.10,0,0,0
VC2,04/02/2010,53.4,53.4,51.6,52.4,17200,55.50,48.30,51.9,0.50,0.96,0,0,0
VC2,04/01/2010,52.8,53.0,50.1,51.9,59600,54.20,47.20,50.7,1.20,2.37,0,0,0
VC2,03/31/2010,52.7,52.7,49.7,50.7,74600,55.80,48.60,52.2,-1.50,-2.87,0,0,0
VC2,03/30/2010,52.4,53.3,51.0,52.2,22300,56.80,49.40,53.1,-0.90,-1.69,0,0,0
VC2,03/29/2010,54.0,54.0,52.5,53.1,39200,57.10,49.70,53.4,-0.30,-0.56,0,0,0
VC2,03/26/2010,54.9,54.9,52.3,53.4,72000,57.20,49.80,53.5,-0.10,-0.19,0,0,0
VC2,03/25/2010,56.3,56.3,52.0,53.5,36200,59.00,51.40,55.2,-1.70,-3.08,15100,0,0
VC2,03/24/2010,56.0,56.0,54.0,55.2,34300,59.20,51.60,55.4,-0.20,-0.36,0,0,0
VC2,03/23/2010,56.9,57.5,54.0,55.4,49500,60.50,52.70,56.6,-1.20,-2.12,0,0,0
VC2,03/22/2010,58.0,58.7,54.0,56.6,85800,61.70,53.70,57.7,-1.10,-1.91,0,0,0
VC2,03/19/2010,58.9,59.8,56.0,57.7,49600,61.60,53.60,57.6,0.10,0.17,0,0,1700
VC2,03/18/2010,58.0,59.4,55.5,57.6,82800,60.00,52.20,56.1,1.50,2.67,10000,0,0
VC2,03/17/2010,59.0,60.0,55.8,57.9,55800,64.20,55.80,60.0,-2.10,-3.50,13100,0,2400
VC2,03/16/2010,62.9,62.9,58.4,60.0,41400,67.00,58.40,62.7,-2.70,-4.31,16500,0,0
VC2,03/15/2010,61.0,64.4,61.0,62.7,47000,65.00,56.60,60.8,1.90,3.13,0,0,0
VC2,03/12/2010,61.0,61.5,60.0,60.8,34900,65.40,57.00,61.2,-0.40,-0.65,7300,0,0
VC2,03/11/2010,61.8,62.4,59.8,61.2,49200,65.50,57.10,61.3,-0.10,-0.16,0,0,0
VC2,03/10/2010,63.0,63.9,59.0,61.3,59900,64.80,56.40,60.6,0.70,1.16,0,0,0
VC2,03/09/2010,63.9,63.9,58.5,60.6,77700,64.70,56.30,60.5,0.10,0.17,0,0,0
VC2,03/08/2010,59.7,60.7,59.5,60.5,103300,60.70,52.90,56.8,3.70,6.51,0,0,0
VC2,03/05/2010,56.8,57.9,54.0,56.8,69800,59.90,52.10,56.0,0.80,1.43,0,0,0
VC2,03/04/2010,56.5,56.8,54.6,56.0,52200,57.40,50.00,53.7,2.30,4.28,7700,0,0
VC2,03/03/2010,52.9,54.5,52.9,53.7,94900,56.90,49.50,53.2,0.50,0.94,0,0,0
