MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
VCH,08/11/2010,21.1,21.1,20.0,20.3,5800,21.20,18.60,19.9,0.40,2.01,0,0,0
VCH,08/10/2010,20.0,21.1,19.7,19.9,27000,22.50,19.70,21.1,-1.20,-5.69,0,0,0
VCH,08/09/2010,21.5,22.0,21.0,21.1,8900,23.70,20.70,22.2,-1.10,-4.95,0,0,0
VCH,08/06/2010,23.5,23.5,21.9,22.2,20400,25.10,21.90,23.5,-1.30,-5.53,0,0,0
VCH,08/05/2010,23.7,23.7,23.4,23.5,1300,24.60,21.40,23.0,0.50,2.17,0,0,0
VCH,08/04/2010,23.9,23.9,22.6,23.0,13100,25.60,22.40,24.0,-1.00,-4.17,0,0,0
VCH,08/03/2010,25.0,25.0,23.5,24.0,8600,26.90,23.50,25.2,-1.20,-4.76,0,0,0
VCH,08/02/2010,26.5,26.5,24.8,25.2,29700,26.50,23.10,24.8,0.40,1.61,0,0,0
VCH,07/30/2010,24.8,24.8,24.6,24.8,18000,24.80,21.60,23.2,1.60,6.90,0,0,0
VCH,07/29/2010,22.9,24.2,22.5,23.2,22900,24.20,21.20,22.7,0.50,2.20,0,0,0
VCH,07/28/2010,24.6,24.6,22.6,22.7,27200,25.80,22.60,24.2,-1.50,-6.20,0,0,0
VCH,07/27/2010,25.5,25.5,23.8,24.2,47800,27.20,23.80,25.5,-1.30,-5.10,0,0,0
VCH,07/26/2010,25.6,25.9,25.2,25.5,18000,27.70,24.10,25.9,-0.40,-1.54,0,0,0
VCH,07/23/2010,27.0,27.5,25.5,25.9,15700,28.80,25.20,27.0,-1.10,-4.07,0,0,0
VCH,07/22/2010,27.8,27.8,26.8,27.0,50600,30.80,26.80,28.8,-1.80,-6.25,0,0,0
VCH,07/21/2010,35.0,35.0,28.0,28.8,164000,0.00,0.00,0.0,28.80,0.00,0,0,0
