MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
VCM,08/11/2010,42.3,42.4,40.0,41.7,45900,44.20,38.60,41.4,0.30,0.72,0,0,0
VCM,08/10/2010,41.5,42.1,40.0,41.4,32500,44.70,38.90,41.8,-0.40,-0.96,0,0,0
VCM,08/09/2010,41.5,42.5,40.2,41.8,19400,44.80,39.00,41.9,-0.10,-0.24,6000,0,0
VCM,08/06/2010,42.0,42.5,41.5,41.9,38500,44.40,38.60,41.5,0.40,0.96,0,0,0
VCM,08/05/2010,41.0,42.0,40.0,41.5,103900,44.60,38.80,41.7,-0.20,-0.48,0,0,0
VCM,08/04/2010,41.0,42.8,40.8,41.7,22600,46.70,40.70,43.7,-2.00,-4.58,0,0,0
VCM,08/03/2010,45.0,45.0,42.0,43.7,18100,45.60,39.80,42.7,1.00,2.34,0,0,0
VCM,08/02/2010,45.0,45.0,41.6,42.7,12600,46.90,40.90,43.9,-1.20,-2.73,0,0,0
VCM,07/30/2010,42.1,45.3,42.1,43.9,26800,47.80,41.60,44.7,-0.80,-1.79,0,0,0
VCM,07/29/2010,44.7,44.7,44.7,44.7,1000,46.20,40.20,43.2,1.50,3.47,0,0,0
VCM,07/28/2010,44.1,44.1,42.5,43.2,17900,48.10,41.90,45.0,-1.80,-4.00,0,0,0
VCM,07/27/2010,46.8,46.8,44.0,45.0,30000,49.80,43.40,46.6,-1.60,-3.43,0,0,0
VCM,07/26/2010,46.9,46.9,46.5,46.6,4000,49.00,42.60,45.8,0.80,1.75,0,0,0
VCM,07/23/2010,46.9,48.5,45.0,45.8,22300,49.10,42.70,45.9,-0.10,-0.22,0,0,0
VCM,07/22/2010,46.9,46.9,45.0,45.9,7000,49.80,43.40,46.6,-0.70,-1.50,0,0,0
VCM,07/21/2010,47.0,47.0,45.2,46.6,15700,51.30,44.70,48.0,-1.40,-2.92,0,0,0
VCM,07/20/2010,48.0,48.0,48.0,48.0,2000,49.70,43.30,46.5,1.50,3.23,0,0,0
VCM,07/19/2010,46.5,46.5,46.5,46.5,7000,49.70,43.30,46.5,0.00,0.00,0,0,0
VCM,07/16/2010,46.5,46.5,46.5,46.5,11500,49.50,43.10,46.3,0.20,0.43,0,0,0
VCM,07/15/2010,47.0,47.0,45.6,46.3,25000,50.30,43.90,47.1,-0.80,-1.70,0,0,0
VCM,07/14/2010,46.4,47.5,46.4,47.1,47700,49.70,43.30,46.5,0.60,1.29,0,0,0
VCM,07/13/2010,46.4,46.7,46.4,46.5,7000,49.20,42.80,46.0,0.50,1.09,0,0,0
VCM,07/12/2010,46.0,46.0,46.0,46.0,7000,48.80,42.60,45.7,0.30,0.66,0,0,0
VCM,07/09/2010,46.5,46.5,45.5,45.7,13700,49.70,43.30,46.5,-0.80,-1.72,0,0,0
VCM,07/08/2010,46.4,47.0,46.3,46.5,37000,49.50,43.10,46.3,0.20,0.43,0,0,0
VCM,07/07/2010,47.0,47.0,46.0,46.3,42800,49.60,43.20,46.4,-0.10,-0.22,0,0,1300
VCM,07/06/2010,47.0,47.0,46.0,46.4,28600,50.20,43.80,47.0,-0.60,-1.28,0,0,0
VCM,07/05/2010,47.0,47.5,46.6,47.0,56400,50.20,43.80,47.0,0.00,0.00,0,0,0
VCM,07/02/2010,47.5,47.5,46.7,47.0,38700,50.20,43.80,47.0,0.00,0.00,0,0,0
VCM,07/01/2010,47.5,47.5,46.8,47.0,48200,51.10,44.50,47.8,-0.80,-1.67,0,0,0
VCM,06/30/2010,48.0,48.5,47.5,47.8,41400,52.80,46.00,49.4,-1.60,-3.24,0,0,0
VCM,06/29/2010,48.9,50.0,48.5,49.4,68000,51.50,44.90,48.2,1.20,2.49,0,0,0
