MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
VHC,08/11/2010,45.9,45.9,44.1,45.9,98240,45.90,41.70,43.8,2.10,4.79,0,0,0
VHC,08/10/2010,41.8,43.8,41.0,43.8,44380,43.80,39.80,41.8,2.00,4.78,0,0,0
VHC,08/09/2010,0.0,41.8,40.8,41.8,16170,42.50,38.50,40.5,1.30,3.21,150490,0,0
VHC,08/06/2010,40.0,42.4,40.0,40.5,5900,44.10,39.90,42.0,-1.50,-3.57,0,0,0
VHC,08/05/2010,0.0,42.0,42.0,42.0,60,43.00,39.00,41.0,1.00,2.44,0,0,0
VHC,08/04/2010,39.0,41.0,39.0,41.0,13380,42.10,38.10,40.1,0.90,2.24,0,0,0
VHC,08/03/2010,0.0,40.1,40.0,40.1,1300,42.50,38.50,40.5,-0.40,-0.99,0,0,0
VHC,08/02/2010,40.5,40.5,40.5,40.5,6290,40.50,36.70,38.6,1.90,4.92,0,0,0
VHC,07/30/2010,0.0,40.0,38.6,38.6,3470,40.00,36.20,38.1,0.50,1.31,0,0,0
VHC,07/29/2010,0.0,39.9,38.1,38.1,18840,39.90,36.10,38.0,0.10,0.26,0,0,0
VHC,07/28/2010,41.4,41.4,38.0,38.0,11060,42.00,38.00,40.0,-2.00,-5.00,0,0,0
VHC,07/27/2010,0.0,41.1,40.0,40.0,2330,42.00,38.00,40.0,0.00,0.00,0,0,0
VHC,07/26/2010,0.0,40.0,40.0,40.0,12010,41.10,37.30,39.2,0.80,2.04,0,0,0
VHC,07/23/2010,0.0,42.2,39.2,39.2,1440,43.00,39.00,41.0,-1.80,-4.39,0,0,0
VHC,07/22/2010,42.4,42.4,41.0,41.0,12350,44.50,40.30,42.4,-1.40,-3.30,0,10000,0
VHC,07/21/2010,0.0,42.4,42.4,42.4,60,42.50,38.50,40.5,1.90,4.69,0,0,0
VHC,07/20/2010,0.0,40.5,40.5,40.5,1510,42.20,38.20,40.2,0.30,0.75,0,0,0
VHC,07/19/2010,0.0,42.0,40.2,40.2,800,42.20,38.20,40.2,0.00,0.00,0,0,0
VHC,07/16/2010,0.0,40.5,40.0,40.2,10200,40.90,37.10,39.0,1.20,3.08,0,0,0
VHC,07/15/2010,38.6,41.3,38.6,39.0,530,41.40,37.60,39.5,-0.50,-1.27,0,0,0
VHC,07/14/2010,0.0,41.2,39.5,39.5,570,41.30,37.50,39.4,0.10,0.25,0,0,0
VHC,07/13/2010,0.0,42.0,39.4,39.4,1020,43.00,39.00,41.0,-1.60,-3.90,0,0,0
VHC,07/12/2010,43.8,43.8,41.0,41.0,20,45.10,40.90,43.0,-2.00,-4.65,0,0,0
VHC,07/09/2010,43.6,43.6,42.0,43.0,1060,45.70,41.50,43.6,-0.60,-1.38,0,0,0
VHC,07/08/2010,43.5,43.6,43.5,43.6,34960,45.10,40.90,43.0,0.60,1.40,0,0,0
VHC,07/07/2010,0.0,43.0,40.0,43.0,4310,43.00,39.00,41.0,2.00,4.88,0,0,0
VHC,07/06/2010,0.0,41.0,40.0,41.0,30,42.50,38.50,40.5,0.50,1.23,0,0,0
VHC,07/05/2010,0.0,40.5,38.7,40.5,1270,41.70,37.90,39.8,0.70,1.76,0,0,0
VHC,07/02/2010,41.4,41.4,39.5,39.8,14880,43.40,39.40,41.4,-1.60,-3.86,0,0,0
VHC,07/01/2010,0.0,41.4,41.2,41.4,2840,41.40,37.60,39.5,1.90,4.81,0,1800,0
VHC,06/30/2010,0.0,41.4,39.5,39.5,710,41.40,37.60,39.5,0.00,0.00,0,200,0
VHC,06/29/2010,0.0,40.6,39.5,39.5,4700,42.90,38.90,40.9,-1.40,-3.42,0,0,0
VHC,06/28/2010,44.4,44.4,40.9,40.9,1010,45.00,40.80,42.9,-2.00,-4.66,0,0,0
VHC,06/25/2010,0.0,42.9,42.9,42.9,30,45.10,40.90,43.0,-0.10,-0.23,0,0,0
VHC,06/24/2010,0.0,43.0,41.0,43.0,16010,45.10,40.90,43.0,0.00,0.00,0,0,0
VHC,06/23/2010,0.0,43.0,41.0,43.0,10900,43.20,39.20,41.2,1.80,4.37,0,0,0
VHC,06/22/2010,43.7,43.7,41.2,41.2,2250,45.40,41.20,43.3,-2.10,-4.85,55570,990,0
VHC,06/21/2010,0.0,45.0,43.3,43.3,15540,45.50,41.30,43.4,-0.10,-0.23,0,0,0
VHC,06/18/2010,42.7,43.4,42.4,43.4,27590,44.50,40.30,42.4,1.00,2.36,0,0,0
VHC,06/17/2010,0.0,42.4,41.0,42.4,25030,43.50,39.50,41.5,0.90,2.17,0,23030,0
VHC,06/16/2010,41.5,41.5,41.5,41.5,11810,41.50,37.70,39.6,1.90,4.80,0,0,0
VHC,06/15/2010,37.8,39.6,37.8,39.6,36340,39.60,36.00,37.8,1.80,4.76,0,8000,0
VHC,06/14/2010,39.3,39.3,36.9,37.8,10370,39.40,35.80,37.6,0.20,0.53,0,70,0
VHC,06/11/2010,0.0,38.8,37.6,37.6,14320,40.70,36.90,38.8,-1.20,-3.09,0,0,0
VHC,06/10/2010,0.0,38.8,37.4,38.8,23010,41.20,37.40,39.3,-0.50,-1.27,0,0,0
VHC,06/09/2010,39.3,39.3,39.3,39.3,10,40.40,36.60,38.5,0.80,2.08,0,0,0
VHC,06/08/2010,39.3,39.3,37.5,38.5,1130,40.40,36.60,38.5,0.00,0.00,0,0,0
VHC,06/07/2010,39.0,39.0,38.0,38.5,7870,40.90,37.10,39.0,-0.50,-1.28,0,0,0
VHC,06/04/2010,0.0,39.3,38.5,39.0,810,40.90,37.10,39.0,0.00,0.00,0,0,0
VHC,06/03/2010,0.0,39.0,38.0,39.0,910,40.90,37.10,39.0,0.00,0.00,0,0,0
VHC,06/02/2010,39.8,39.8,38.5,39.0,470,41.50,37.70,39.6,-0.60,-1.52,0,0,0
VHC,06/01/2010,0.0,39.6,38.4,39.6,770,40.40,36.60,38.5,1.10,2.86,0,0,0
VHC,05/31/2010,40.2,40.2,38.5,38.5,3000,41.20,37.40,39.3,-0.80,-2.04,0,600,0
VHC,05/28/2010,38.6,39.3,38.6,39.3,2780,39.60,36.00,37.8,1.50,3.97,0,0,0
VHC,05/27/2010,38.0,38.1,37.8,37.8,16770,39.90,36.10,38.0,-0.20,-0.53,0,0,0
VHC,05/26/2010,0.0,38.0,37.8,38.0,27150,39.90,36.10,38.0,0.00,0.00,0,20000,0
VHC,05/25/2010,36.4,38.2,36.4,38.0,18320,40.10,36.30,38.2,-0.20,-0.52,0,0,0
VHC,05/24/2010,35.6,38.2,35.5,38.2,2950,38.40,34.80,36.6,1.60,4.37,0,0,0
VHC,05/21/2010,36.6,37.0,36.6,36.6,36470,40.40,36.60,38.5,-1.90,-4.94,0,0,0
VHC,05/20/2010,37.5,38.5,37.5,38.5,18720,40.90,37.10,39.0,-0.50,-1.28,0,0,0
VHC,05/19/2010,37.6,39.4,37.0,39.0,11170,40.60,36.80,38.7,0.30,0.78,0,0,0
VHC,05/18/2010,39.0,39.0,37.6,38.7,20400,40.90,37.10,39.0,-0.30,-0.77,0,0,0
VHC,05/17/2010,40.8,40.8,39.0,39.0,8000,43.00,39.00,41.0,-2.00,-4.88,0,0,0
VHC,05/14/2010,0.0,41.1,41.0,41.0,3700,43.50,39.50,41.5,-0.50,-1.20,0,69810,0
VHC,05/13/2010,42.1,42.2,41.5,41.5,10180,44.20,40.00,42.1,-0.60,-1.43,0,0,0
VHC,05/12/2010,0.0,43.9,42.1,42.1,5550,46.40,42.00,44.2,-2.10,-4.75,0,0,0
