MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
VNL,08/11/2010,0.0,16.5,16.3,16.5,1470,17.10,15.50,16.3,0.20,1.23,0,0,0
VNL,08/10/2010,16.8,17.0,16.1,16.3,9820,17.60,16.00,16.8,-0.50,-2.98,0,0,0
VNL,08/09/2010,17.0,17.0,16.8,16.8,5270,17.80,16.20,17.0,-0.20,-1.18,0,0,0
VNL,08/06/2010,0.0,18.0,17.0,17.0,6360,18.40,16.80,17.6,-0.60,-3.41,0,4850,0
VNL,08/05/2010,0.0,17.7,17.3,17.6,1440,18.00,16.40,17.2,0.40,2.33,0,0,0
VNL,08/04/2010,17.5,17.8,17.1,17.2,10830,18.50,16.90,17.7,-0.50,-2.82,0,0,0
VNL,08/03/2010,17.5,17.8,17.5,17.7,8710,18.40,16.80,17.6,0.10,0.57,0,0,0
VNL,08/02/2010,17.5,17.9,17.5,17.6,2550,18.30,16.70,17.5,0.10,0.57,0,0,0
VNL,07/30/2010,17.6,17.6,17.5,17.5,1390,18.40,16.80,17.6,-0.10,-0.57,0,0,0
VNL,07/29/2010,17.6,17.6,17.6,17.6,920,18.50,16.90,17.7,-0.10,-0.56,0,0,0
VNL,07/28/2010,0.0,17.8,17.7,17.7,5500,18.60,17.00,17.8,-0.10,-0.56,0,0,0
VNL,07/27/2010,0.0,17.9,17.8,17.8,2840,18.60,17.00,17.8,0.00,0.00,0,10,0
VNL,07/26/2010,0.0,18.0,17.8,17.8,5680,18.90,17.10,18.0,-0.20,-1.11,0,0,0
VNL,07/23/2010,0.0,18.5,17.8,18.0,3560,18.50,16.90,17.7,0.30,1.69,0,0,0
VNL,07/22/2010,17.6,18.0,17.6,17.7,1520,18.70,17.10,17.9,-0.20,-1.12,0,0,0
VNL,07/21/2010,0.0,18.0,17.9,17.9,2700,19.20,17.40,18.3,-0.40,-2.19,0,0,0
VNL,07/20/2010,0.0,18.3,17.9,18.3,6110,18.50,16.90,17.7,0.60,3.39,0,0,0
VNL,07/19/2010,18.3,18.3,17.7,17.7,4430,18.90,17.10,18.0,-0.30,-1.67,0,0,0
VNL,07/16/2010,0.0,18.0,17.8,18.0,1350,18.60,17.00,17.8,0.20,1.12,0,0,0
VNL,07/15/2010,18.0,18.0,17.8,17.8,7210,19.00,17.20,18.1,-0.30,-1.66,0,0,0
VNL,07/14/2010,0.0,18.4,18.0,18.1,2490,19.30,17.50,18.4,-0.30,-1.63,0,0,0
VNL,07/13/2010,18.5,18.5,18.4,18.4,5700,19.10,17.30,18.2,0.20,1.10,0,5000,0
VNL,07/12/2010,18.5,18.5,17.6,18.2,7120,19.30,17.50,18.4,-0.20,-1.09,0,0,0
VNL,07/09/2010,18.5,18.5,17.5,18.4,2020,18.70,17.10,17.9,0.50,2.79,0,0,0
VNL,07/08/2010,18.4,18.4,17.8,17.9,4080,18.70,17.10,17.9,0.00,0.00,0,0,0
VNL,07/07/2010,0.0,18.2,17.8,17.9,7360,19.20,17.40,18.3,-0.40,-2.19,0,0,0
VNL,07/06/2010,17.8,18.3,17.8,18.3,4650,19.40,17.60,18.5,-0.20,-1.08,0,0,0
VNL,07/05/2010,0.0,18.6,18.5,18.5,2710,19.30,17.50,18.4,0.10,0.54,0,0,0
VNL,07/02/2010,18.6,18.6,18.2,18.4,1060,19.20,17.40,18.3,0.10,0.55,0,0,0
VNL,07/01/2010,17.8,18.3,17.8,18.3,14520,18.60,17.00,17.8,0.50,2.81,0,0,0
