MaCK,Ngay,GiaMoCua,GiaCaoNhat,GiaThapNhat,GiaDongCua,KhoiLuongGD,GiaTran,GiaSan,GiaThamChieu,TangGiam,%,GDThoaThuan,NNMua,NNBan
WSS,08/11/2010,15.1,15.4,15.0,15.3,80100,16.10,14.10,15.1,0.20,1.32,0,0,0
WSS,08/10/2010,15.4,15.4,14.9,15.1,147200,17.10,14.90,16.0,-0.90,-5.63,0,0,0
WSS,08/09/2010,16.0,16.8,15.5,16.0,150500,17.50,15.30,16.4,-0.40,-2.44,60000,0,0
WSS,08/06/2010,16.6,16.6,16.3,16.4,39500,17.90,15.70,16.8,-0.40,-2.38,0,0,0
WSS,08/05/2010,16.9,17.2,16.5,16.8,178200,17.70,15.50,16.6,0.20,1.20,0,0,0
WSS,08/04/2010,17.1,17.1,16.5,16.6,54500,18.10,15.90,17.0,-0.40,-2.35,0,0,0
WSS,08/03/2010,17.4,17.4,16.8,17.0,73000,18.40,16.00,17.2,-0.20,-1.16,60000,0,0
WSS,08/02/2010,17.7,17.7,17.0,17.2,90400,18.80,16.40,17.6,-0.40,-2.27,0,0,0
WSS,07/30/2010,17.6,17.7,17.3,17.6,104800,18.70,16.30,17.5,0.10,0.57,0,0,0
WSS,07/29/2010,17.6,17.7,17.2,17.5,129300,18.70,16.30,17.5,0.00,0.00,0,0,0
WSS,07/28/2010,17.6,17.8,17.0,17.5,125000,19.00,16.60,17.8,-0.30,-1.69,0,0,3600
WSS,07/27/2010,17.6,18.0,17.6,17.8,292900,18.70,16.30,17.5,0.30,1.71,0,0,0
WSS,07/26/2010,17.5,17.8,17.2,17.5,137000,18.90,16.50,17.7,-0.20,-1.13,0,0,0
WSS,07/23/2010,17.9,17.9,17.5,17.7,122300,18.90,16.50,17.7,0.00,0.00,0,2100,0
WSS,07/22/2010,17.9,18.0,17.5,17.7,153700,19.00,16.60,17.8,-0.10,-0.56,0,0,0
WSS,07/21/2010,17.9,18.1,17.5,17.8,337100,18.90,16.50,17.7,0.10,0.56,0,0,50000
WSS,07/20/2010,18.0,18.1,17.5,17.7,126900,18.90,16.50,17.7,0.00,0.00,0,1100,0
WSS,07/19/2010,17.8,17.9,17.5,17.7,131500,19.10,16.70,17.9,-0.20,-1.12,0,0,0
WSS,07/16/2010,17.9,18.6,17.7,17.9,128300,19.00,16.60,17.8,0.10,0.56,10000,0,0
WSS,07/15/2010,17.9,18.2,17.5,17.8,267300,19.60,17.20,18.4,-0.60,-3.26,0,0,0
WSS,07/14/2010,18.6,19.0,18.1,18.4,348500,19.20,16.80,18.0,0.40,2.22,0,0,0
WSS,07/13/2010,17.5,18.2,17.4,18.0,440700,18.20,16.00,17.1,0.90,5.26,0,0,0
WSS,07/12/2010,16.9,17.4,16.9,17.1,216600,18.10,15.90,17.0,0.10,0.59,0,50000,0
WSS,07/09/2010,17.4,17.5,16.8,17.0,242800,18.20,16.00,17.1,-0.10,-0.58,0,0,0
WSS,07/08/2010,17.5,17.7,16.8,17.1,276700,18.20,16.00,17.1,0.00,0.00,0,0,0
WSS,07/07/2010,17.4,17.6,16.8,17.1,280200,18.50,16.10,17.3,-0.20,-1.16,0,0,0
WSS,07/06/2010,17.7,17.7,17.0,17.3,213700,18.80,16.40,17.6,-0.30,-1.70,0,0,0
WSS,07/05/2010,17.9,17.9,17.3,17.6,466200,19.00,16.60,17.8,-0.20,-1.12,20000,0,0
