<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>,Simple 
AAA,20100729,45.9,49,44.8,49,509100,
AAA,20100728,46.9,46.9,45,45.8,164300,
AAA,20100727,46.5,47,45.4,46.1,132900,
AAA,20100726,46.1,46.8,45,46.1,231700,
AAA,20100723,47.5,47.5,45.8,46.5,115800,
AAA,20100722,45.1,48,45,45.6,147200,
AAA,20100721,45.2,45.4,44,45.1,95800,
AAA,20100720,48,48,44.5,45.2,328700,
AAA,20100719,49.5,49.5,46.3,46.9,144900,
AAA,20100716,49.5,49.5,46.5,46.6,109200,
AAA,20100715,51,53,48,49.9,174100,
