<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
ABT,20100729,53,53,52,53,40180
ABT,20100728,53.5,53.5,52,53,85430
ABT,20100727,52.5,53,52.5,53,36510
ABT,20100726,52.5,52.5,52,52.5,49320
ABT,20100723,51.5,52.5,51,52.5,101930
ABT,20100722,51,51.5,51,51.5,13300
ABT,20100721,52,52.5,51.5,51.5,32040
ABT,20100720,52,52,51,52,13810
ABT,20100719,51.5,52,51.5,52,3750
ABT,20100716,52,53,52,52.5,9870
ABT,20100715,52.5,52.5,52,52.5,7590
ABT,20100714,54,54,53,53,25060
ABT,20100713,53,53,51.5,52.5,21960
ABT,20100712,50,50.5,49.1,50.5,6290
ABT,20100709,50.5,51,48.5,48.5,11590
ABT,20100708,51.5,52,50,50,8650
ABT,20100707,52,52.5,51.5,51.5,7000
ABT,20100706,52,52,51,51.5,50450
ABT,20100705,52,53,52,53,4620
ABT,20100702,51,52,51,52,15160
ABT,20100701,51.5,51.5,51,51,18190
ABT,20100630,51,52,51,51.5,28420
ABT,20100629,53,53,52.5,52.5,27020
ABT,20100628,53.5,53.5,53,53,11850
ABT,20100625,53,53.5,53,53,26670
ABT,20100624,53,53.5,53,53.5,85740
ABT,20100623,53.5,53.5,53.5,53.5,15300
ABT,20100622,54,54,53,53.5,246730
ABT,20100621,53.5,54,53.5,54,17990
ABT,20100618,55,55,54,54.5,15360
ABT,20100617,53.5,54.5,53.5,54.5,11670
ABT,20100616,54.5,54.5,54.5,54.5,41530
ABT,20100615,54,54.5,53.5,54.5,55150
ABT,20100614,54,54.5,53.5,53.5,17290
ABT,20100611,54,54,53.5,53.5,19470
ABT,20100610,52,53.5,52,53.5,13110
ABT,20100609,53,54,53,53,19560
ABT,20100608,55,55,53,53,5330
ABT,20100607,54,55,54,55,10200
ABT,20100604,55.5,55.5,55,55,17530
ABT,20100603,55,56,54,55,32660
ABT,20100602,55,55.5,55,55.5,1800
ABT,20100601,56,56,55,55.5,6410
ABT,20100531,54,56,54,56,11130
ABT,20100528,54.5,55,54,55,32170
ABT,20100527,52.5,53.5,52,53.5,13390
ABT,20100526,52,53,51.5,52.5,15240
ABT,20100525,52,52,52,52,6750
ABT,20100524,52,52.5,52,52,106130
ABT,20100521,51.5,52,51,51,82320
ABT,20100520,51,55,51,53.5,14690
ABT,20100519,55.5,55.5,53.5,53.5,109430
ABT,20100518,54,55.5,53,55.5,50120
ABT,20100517,56,56,54,54.5,61300
ABT,20100514,55.5,56,54,56,66890
ABT,20100513,55,55.5,54,54,28040
ABT,20100512,55,56.5,54.5,55,59140
ABT,20100511,57.5,57.5,55.5,57,35980
ABT,20100510,57,57,55.5,55.5,88840
ABT,20100507,58.5,58.5,56.5,58,104490
ABT,20100506,60,60.5,58.5,59,80170
ABT,20100505,56.5,58.5,56,58.5,279010
ABT,20100504,57,57.5,56,56,70320
ABT,20100429,56.5,56.5,56,56,67810
ABT,20100428,56,56,55.5,56,37270
ABT,20100427,56.5,57,56,56.5,49000
ABT,20100426,56.5,57.5,55.5,57,97260
ABT,20100422,55.5,56.5,55,55,44080
ABT,20100421,55,55.5,55,55,22060
ABT,20100420,54.5,55,54.5,54.5,23020
ABT,20100419,54.5,54.5,54,54.5,52410
ABT,20100416,56,56,54.5,54.5,14520
ABT,20100415,54.5,55,54.5,55,22730
ABT,20100414,55,55,54.5,55,37730
ABT,20100413,55,55,55,55,36920
ABT,20100412,55,55,54.5,55,56250
ABT,20100409,55,55.5,54.5,54.5,16800
ABT,20100408,54,55.5,54,54,54080
ABT,20100407,55,55,54,54.5,22310
ABT,20100406,55.5,55.5,54.5,54.5,58510
ABT,20100405,55,55,54,54.5,61050
ABT,20100402,54.5,55,54.5,54.5,14900
ABT,20100401,52,54.5,52,54.5,12470
ABT,20100331,54,54,53,54,11670
ABT,20100330,54.5,54.5,53,54,32500
ABT,20100329,54,54,54,54,17630
ABT,20100326,54.5,54.5,53.5,54,34590
ABT,20100325,54,55,53.5,54,16670
ABT,20100324,54,55,54,55,42920
ABT,20100323,54,54,53.5,54,29750
ABT,20100322,56,56,54.5,54.5,52440
ABT,20100319,56,56,56,56,19700
ABT,20100318,57.5,57.5,56,57,12970
ABT,20100317,57,57,56,56,39640
ABT,20100316,57,58,56.5,57,51900
ABT,20100315,59,59,58,58,71220
ABT,20100312,57,57,56.5,57,35400
ABT,20100311,59,59,57,57,12910
ABT,20100310,59,59.5,58,59,78350
ABT,20100309,56.5,59,56.5,59,129680
ABT,20100308,57,57.5,56.5,56.5,41520
ABT,20100305,56,56.5,55,56.5,35960
ABT,20100304,56,57,56,56,35820
ABT,20100303,55.5,56,55,56,21120
ABT,20100302,54.5,55,53.5,55,23060
ABT,20100301,54,54.5,53.5,54,19580
ABT,20100226,53.5,53.5,52,53,64050
ABT,20100225,52.5,53.5,52,53.5,44990
ABT,20100224,52.5,54,52,52,19220
ABT,20100223,55,55,53,53,41110
ABT,20100222,57,57,55,55,48920
ABT,20100212,56,57,55.5,56,18410
ABT,20100211,55.5,55.5,55,55,77240
ABT,20100210,55,55,54.5,55,29690
ABT,20100209,54.5,55.5,53.5,54.5,43600
ABT,20100208,56,56.5,56,56,1760
ABT,20100205,56.5,57.5,56,56,50160
ABT,20100204,58,58,56.5,58,54920
ABT,20100203,58.5,58.5,57.5,58,22010
ABT,20100202,59,59.5,58,58,33950
ABT,20100201,59,59,57.5,59,50450
ABT,20100129,58.5,59,57.5,59,60360
ABT,20100128,58,58.5,57.5,58.5,80240
ABT,20100127,57.5,60,57.5,59.5,91380
ABT,20100126,57,60,57,60,303990
ABT,20100125,57.5,57.5,57,57.5,172560
ABT,20100122,55.5,57.5,55.5,57.5,144500
ABT,20100121,57,58,56.5,57.5,370540
ABT,20100120,58,59,57,58.5,315210
ABT,20100119,55,57.5,55,57.5,355460
ABT,20100118,54.5,56,54,55,279130
ABT,20100115,52.5,57,52.5,56,547570
ABT,20100114,56,56,54.5,54.5,168720
ABT,20100113,52.5,55,52,54.5,160750
ABT,20100112,56.5,56.5,54.5,54.5,179960
ABT,20100111,55.5,56.5,53.5,55.5,124510
ABT,20100108,58,58,54,54,349060
ABT,20100107,55.5,55.5,55,55.5,324660
ABT,20100106,53.5,54.5,52.5,53,139130
ABT,20100105,55,55,50,54,85700
ABT,20100104,52,52.5,50.5,52.5,153010
ABT,20091231,51,52,50,50,94720
ABT,20091230,50,50,49,50,35500
ABT,20091229,48.5,50.5,48.5,49.5,23870
ABT,20091228,48,50,48,49.5,13970
ABT,20091225,51,51,48.5,49.5,69310
ABT,20091224,49,49,47,48.5,29540
ABT,20091223,48,49,48,49,33480
ABT,20091222,48,51.5,48,49,34660
ABT,20091221,49,49,47,49,41700
ABT,20091218,46.5,47,46.4,47,21860
ABT,20091217,42.5,44.7,42.5,44.7,17980
ABT,20091216,45,46,44.6,44.7,79460
ABT,20091215,46.5,47,45.5,47,34140
ABT,20091214,43.2,46.5,43.2,46.5,46020
ABT,20091211,44.3,44.6,44.2,44.2,160100
ABT,20091210,46.5,47.3,45.5,46.4,96090
ABT,20091209,50,50,47.4,47.4,23780
ABT,20091208,48,51.5,48,50,31670
ABT,20091207,50,50.5,50,50.5,57020
ABT,20091204,50,50,50,50,53550
ABT,20091203,50.5,51,48.5,50,45660
ABT,20091202,51,52.5,49.5,50.5,83410
ABT,20091201,51,51,50.5,51,123620
ABT,20091130,50.5,51.5,50,50.5,63650
ABT,20091127,47.3,52.5,47.3,50.5,155080
ABT,20091126,50,50,50,50,71060
