<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
ALP,20100729,20.4,21,20.3,20.4,47810
ALP,20100728,21,21.1,20.4,20.5,175840
ALP,20100727,22,22,21.3,21.3,105290
ALP,20100726,22.7,22.7,21.8,21.8,79820
ALP,20100723,22.5,22.6,22.3,22.3,68360
ALP,20100722,23,23,22.5,22.5,38440
ALP,20100721,22.5,23.3,22.5,22.8,86860
ALP,20100720,22.7,23.3,22.4,23.3,156920
ALP,20100719,22.2,22.5,22.2,22.2,68570
ALP,20100716,22.6,23.5,22.5,22.5,126210
ALP,20100715,23.2,23.2,22.5,22.7,89800
ALP,20100714,24.1,24.1,23.2,23.2,46320
ALP,20100713,23.7,23.8,23,23.8,130350
ALP,20100712,23.9,23.9,23.2,23.6,63000
ALP,20100709,22.1,23.2,22,23.2,127110
ALP,20100708,23.4,23.4,22.1,22.1,183560
ALP,20100707,24.5,24.5,23.1,23.1,223760
ALP,20100706,25,25,24.3,24.3,90830
ALP,20100705,25.4,25.4,24.5,25.2,83300
ALP,20100702,25.3,25.3,24.8,25.2,64720
ALP,20100701,24.8,25.5,24.6,24.8,111490
ALP,20100630,25.5,25.9,25,25.1,204420
ALP,20100629,27.2,27.2,25.7,26,89840
ALP,20100628,27,27.3,26.7,27,194530
ALP,20100625,26.8,27.5,26.6,26.6,291970
ALP,20100624,28.3,28.3,27.8,28,487330
ALP,20100623,25.5,27,25.5,27,114980
ALP,20100622,26.9,26.9,25.8,25.8,375750
ALP,20100621,27.6,27.8,26.9,26.9,237800
ALP,20100618,27.9,27.9,27.2,27.9,231240
ALP,20100617,28.1,28.1,27.4,27.4,334080
ALP,20100616,29.3,29.8,28.8,28.8,265590
ALP,20100615,28,29,27.4,29,397020
ALP,20100614,27.9,29.6,27.9,28,521430
ALP,20100611,30.1,30.2,28.7,28.7,620230
ALP,20100610,29.8,29.9,28.8,29.8,454140
ALP,20100609,30.5,31.7,29.8,29.8,537120
ALP,20100608,31.7,32.6,30.5,31.3,346160
ALP,20100607,29.8,31.2,29.5,31.2,852130
ALP,20100604,29.5,29.8,29.5,29.8,1188630
ALP,20100603,27.1,28.4,26.6,28.4,665750
ALP,20100602,27.4,27.4,26.2,27.1,172800
ALP,20100601,26.6,27,26.5,26.6,276860
ALP,20100531,28.8,28.8,27.6,27.6,293540
ALP,20100528,29.2,29.2,28.5,29,295850
ALP,20100527,27,27.9,26.8,27.9,305530
ALP,20100526,25.3,27,25.3,27,262430
ALP,20100525,27,27.1,25.8,25.8,611420
ALP,20100524,27,28,26.3,26.9,113640
ALP,20100521,27.6,27.9,27.6,27.6,185600
ALP,20100520,27.6,29,27.6,29,235920
ALP,20100519,30.1,30.1,28.2,29,373180
ALP,20100518,27.5,28.8,27.5,28.8,419170
ALP,20100517,28.9,28.9,26.9,27.5,230960
ALP,20100514,27.5,28.5,27.5,28.3,269300
ALP,20100513,28.2,28.5,27.3,27.5,582130
ALP,20100512,27.9,29.5,27.8,28.5,434640
ALP,20100511,30.8,30.8,28,29.2,853790
ALP,20100510,29.4,29.4,29.4,29.4,240960
ALP,20100507,28,28,26.8,28,1098060
ALP,20100506,26.7,26.7,26.7,26.7,191870
ALP,20100505,25.5,25.5,25.5,25.5,160420
ALP,20100504,24.3,24.3,24.3,24.3,374740
ALP,20100429,23.2,23.2,23.2,23.2,192720
ALP,20100428,22.1,22.1,22.1,22.1,386990
ALP,20100427,21.1,21.1,21.1,21.1,479870
ALP,20100426,20,20.1,19.9,20.1,674710
ALP,20100422,19.2,19.2,19.2,19.2,417380
ALP,20100421,18.3,18.3,18.2,18.3,171880
ALP,20100420,17.5,17.5,17,17.5,297240
ALP,20100419,16.8,16.8,16.1,16.7,133150
ALP,20100416,15.6,16.3,15.5,16.3,293450
ALP,20100415,15.6,15.6,15.1,15.6,281050
ALP,20100414,14,14.9,14,14.9,281860
ALP,20100413,14,14.2,14,14.2,152750
ALP,20100412,14,14,13.8,14,273490
ALP,20100409,13,13.4,13,13.4,77950
ALP,20100408,12.8,12.9,12.8,12.8,24690
ALP,20100407,12.7,12.9,12.7,12.8,36810
ALP,20100406,12.7,13,12.7,12.7,23780
ALP,20100405,12.6,12.9,12.6,12.7,42770
ALP,20100402,12.7,12.8,12.6,12.7,32480
ALP,20100401,12.8,12.8,12.6,12.7,15160
ALP,20100331,12.6,12.7,12.6,12.6,21030
ALP,20100330,12.9,12.9,12.6,12.6,15670
ALP,20100329,12.6,12.9,12.6,12.7,9820
ALP,20100326,12.8,12.9,12.6,12.6,11180
ALP,20100325,12.9,12.9,12.6,12.6,42750
ALP,20100324,12.7,12.9,12.7,12.9,151550
