<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AMV,20100729,27.9,31.9,27.9,30.2,281200
AMV,20100728,29.9,29.9,29.9,29.9,2000
AMV,20100727,32.1,32.1,32.1,32.1,17100
AMV,20100726,34.5,34.5,34.5,34.5,30100
AMV,20100723,37.6,37.6,33,37,314400
AMV,20100722,35.2,35.2,35.2,35.2,3200
AMV,20100721,32.9,32.9,32.9,32.9,19300
AMV,20100720,30.8,30.8,30.8,30.8,11400
AMV,20100719,28.8,28.8,28.8,28.8,17600
AMV,20100716,27,27,27,27,32200
AMV,20100715,25.3,25.3,25.3,25.3,137800
AMV,20100714,23.6,23.7,23.6,23.7,108600
AMV,20100713,22.7,22.7,19.9,22.2,59000
AMV,20100712,18.9,21.7,18.9,21.3,126000
AMV,20100709,19.8,21,19.5,20.3,95700
AMV,20100708,21.8,21.8,20,20.8,179500
AMV,20100707,20.4,20.4,20.4,20.4,46600
AMV,20100706,19.1,19.1,18.9,19.1,257900
AMV,20100705,17.6,17.9,17.6,17.9,61400
AMV,20100702,16.4,16.9,16.3,16.8,216100
AMV,20100701,16,16.2,15.5,15.8,14600
AMV,20100630,16.3,16.3,15.5,15.9,4100
AMV,20100629,16,16.3,15.9,16.2,169000
AMV,20100628,15.3,15.4,15.2,15.3,26500
AMV,20100625,15.5,15.5,15,15.2,55700
AMV,20100624,16,16,15.4,15.6,23300
AMV,20100623,15.6,15.8,15.3,15.6,33100
AMV,20100622,17.2,17.2,15.9,16.3,46300
AMV,20100621,16.1,16.4,16.1,16.4,50300
AMV,20100618,15,15.9,15,15.4,85500
AMV,20100617,14.9,15,14.9,14.9,36700
AMV,20100616,15,15.3,14.7,15,59100
AMV,20100615,14.8,14.9,14.6,14.8,14700
AMV,20100614,15.2,15.2,14.8,14.9,3400
AMV,20100611,14.9,15,14.7,14.9,11800
AMV,20100610,15,15.2,14.5,14.7,20900
AMV,20100609,15,15,14.5,14.8,22100
AMV,20100608,14,14.9,13.8,14.3,9700
AMV,20100607,14.3,14.5,14.1,14.3,19300
AMV,20100604,15,15.3,15,15,41000
AMV,20100603,15.9,15.9,15.1,15.3,12200
AMV,20100602,15,15.4,15,15.1,15500
AMV,20100601,15.3,15.4,14.8,15.1,23500
AMV,20100531,15,15.3,14.9,15.1,12700
AMV,20100528,16.2,16.3,15.6,16,34700
AMV,20100527,16,16,15.2,15.5,21100
AMV,20100526,14.2,15.5,14.2,15.2,33800
AMV,20100525,14,15.1,14,14.5,29600
AMV,20100524,14.5,14.5,13.9,14.2,52700
AMV,20100521,14.8,15.2,14.8,14.9,51900
AMV,20100520,15,16.5,14.9,15.9,22500
AMV,20100519,17,17,15.7,16,64700
AMV,20100518,16.7,17,16.6,16.8,47100
AMV,20100517,17,17.7,16.1,16.9,37700
AMV,20100514,17.3,17.3,16.1,16.6,42900
AMV,20100513,17.3,17.5,17.3,17.3,32600
AMV,20100512,19,19,18.6,18.6,36500
AMV,20100511,19.6,20.1,19.5,20,188400
AMV,20100510,19.1,19.2,18,18.8,171600
AMV,20100507,18,18,17.3,18,163400
AMV,20100506,16,17,16,16.9,189500
AMV,20100505,16.1,16.1,15.6,15.9,52100
AMV,20100504,16,16.4,15.6,16.1,120700
AMV,20100429,15.1,15.7,15.1,15.4,24700
AMV,20100428,15.2,15.4,15.2,15.3,25600
AMV,20100427,15.2,15.5,15.1,15.3,9600
AMV,20100426,15.1,15.7,15.1,15.4,19500
AMV,20100422,16.5,17,15.3,15.8,49300
AMV,20100421,15.3,16.3,15.3,16.1,121100
AMV,20100420,15,15.6,14.5,15.3,58800
