<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
APG,20100729,17.1,17.3,17,17.3,8000
APG,20100728,17.6,17.6,17,17.1,15500
APG,20100727,17.4,18.1,17.3,17.7,53900
APG,20100726,17.5,17.5,17.1,17.2,8600
APG,20100723,17.5,17.7,17.1,17.4,28700
APG,20100722,17.5,17.8,17.4,17.5,17700
APG,20100721,17.6,17.7,17.5,17.5,48000
APG,20100720,18,18,17.6,17.8,59600
APG,20100719,18,18,17.7,17.8,18900
APG,20100716,18,18.3,17.8,18.1,42100
APG,20100715,19,19,18.1,18.8,2500
APG,20100714,19.2,19.2,18.5,19.2,138700
APG,20100713,18,18.2,17.9,18,21200
APG,20100712,17.5,18,17,17.1,53100
APG,20100709,18,18,17.9,17.9,11500
APG,20100708,18.8,18.8,17.7,17.9,25400
APG,20100707,18,18,17.7,17.9,9200
APG,20100706,19,19,18,18,39600
APG,20100705,18.3,18.3,18.2,18.2,36300
APG,20100702,19,19,18.4,18.6,19400
APG,20100701,18.6,19,18.5,18.5,38800
APG,20100630,19,19.1,18.5,18.6,94400
APG,20100629,19.3,19.8,19,19.3,56400
APG,20100628,18.6,18.6,18.5,18.6,1500
APG,20100625,18.6,18.7,18.5,18.6,48000
APG,20100624,18.6,18.8,18.6,18.7,20200
APG,20100623,18.8,18.9,18.5,18.7,50700
APG,20100622,19.5,19.5,18.8,18.9,87900
APG,20100621,19.8,20,19.5,19.9,66300
APG,20100618,19.8,20.5,19.5,20,34700
APG,20100617,20,20.3,19.3,20,98500
APG,20100616,18.6,19.5,18.5,19,151100
APG,20100615,18.7,18.7,18,18.3,49500
APG,20100614,18.5,19,17.5,18.6,54300
APG,20100611,19.4,19.4,18.5,18.6,41100
APG,20100610,18.7,18.7,18.4,18.6,45200
APG,20100609,19.2,19.3,18,18.4,50500
APG,20100608,18,18.5,18,18.3,26800
APG,20100607,18.5,18.6,18.2,18.3,64100
APG,20100604,19,19.8,19,19.5,143600
APG,20100603,20,20.4,19.2,19.4,62600
APG,20100602,19.3,19.4,18.9,19.2,61800
APG,20100601,20,20,19.2,19.5,71000
APG,20100531,20,20.8,20,20.4,67300
APG,20100528,19.4,19.5,19.1,19.5,81400
APG,20100527,17.3,19.2,17.3,18.3,135800
APG,20100526,17.9,18.5,17.5,18.1,172200
APG,20100525,17.4,18.8,17.4,17.9,61300
APG,20100524,19,19,17.4,18.7,153000
APG,20100521,20,20,18.5,18.6,50300
APG,20100520,20.9,20.9,18.3,19.8,388100
APG,20100519,21,21,19.5,19.6,144000
APG,20100518,20.6,21.2,20.6,20.9,32200
APG,20100517,22.9,22.9,20.2,21,164300
APG,20100514,21,22.4,19.6,21.7,169100
APG,20100513,21,22.5,21,21,284600
APG,20100512,22.6,22.6,22.5,22.5,824100
APG,20100511,25.3,26.5,23.7,24.1,192000
APG,20100510,25.6,25.6,25.1,25.4,865100
APG,20100507,24,24,23.1,24,563100
APG,20100506,22.5,22.5,22.5,22.5,72100
APG,20100505,21,21.2,20.2,21.1,325400
APG,20100504,19.9,19.9,19.9,19.9,53500
APG,20100429,18.5,19.1,18,18.6,167300
APG,20100428,18.5,18.5,17.5,17.9,94400
APG,20100427,18,18.2,17.7,17.9,76700
APG,20100426,18,18.1,17.2,17.9,252000
APG,20100422,16.5,17,16.5,17,144700
APG,20100421,16,16.1,15.8,15.9,136900
APG,20100420,16,16,15.5,15.7,146100
APG,20100419,16,16,15.6,15.8,24600
APG,20100416,15.6,16,15.5,15.7,202300
APG,20100415,15.5,15.7,15.3,15.5,63700
APG,20100414,15.4,16,15.1,15.4,19000
APG,20100413,16.6,16.6,15.7,15.9,43100
APG,20100412,16.6,16.7,16.1,16.6,24600
APG,20100409,16.3,17,16.3,16.6,68900
APG,20100408,16.1,16.4,16.1,16.3,105200
APG,20100407,15,15.8,15,15.4,85500
APG,20100406,16.1,16.1,15,15.2,63800
APG,20100405,18,18,15,15.9,120600
