<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
ATA,20100729,28.3,28.3,27.8,28,28000
ATA,20100728,28.5,28.5,27.8,27.8,55760
ATA,20100727,28.6,28.7,28,28.5,52860
ATA,20100726,28.5,28.5,28.2,28.5,57570
ATA,20100723,28.5,28.5,28.2,28.3,38710
ATA,20100722,28.3,28.5,28.1,28.3,72950
ATA,20100721,28.4,28.7,28.3,28.3,48350
ATA,20100720,28.5,28.5,28.3,28.5,24900
ATA,20100719,28,28.3,27.4,28.3,36940
ATA,20100716,28,28.2,27.5,28,57970
ATA,20100715,28.5,28.8,28.4,28.8,9530
ATA,20100714,29,30.3,29,29,150530
ATA,20100713,30.6,30.6,30,30.3,22880
ATA,20100712,30.2,30.2,30,30.2,237240
ATA,20100709,27.5,28.8,27.5,28.8,78580
ATA,20100708,27.3,27.5,27.2,27.5,696310
ATA,20100707,27,27.1,27,27,212150
ATA,20100706,27.3,27.3,27.2,27.2,10550
ATA,20100705,27.4,27.6,27.2,27.5,18060
ATA,20100702,27.3,27.3,27,27.1,11970
ATA,20100701,27.1,27.1,26.9,26.9,3300
ATA,20100630,26.8,27.1,26.8,27.1,12650
ATA,20100629,27,27.2,27,27.2,13840
ATA,20100628,27.3,28.6,27,27,11220
ATA,20100625,27.1,27.3,27.1,27.3,5260
ATA,20100624,27.1,27.4,27.1,27.4,18380
ATA,20100623,27.3,27.3,27.2,27.2,3250
ATA,20100622,27.4,27.4,27.2,27.2,12500
ATA,20100621,27.2,27.2,27.1,27.2,12700
ATA,20100618,27.1,27.1,27,27.1,15580
ATA,20100617,26.9,27.2,26.9,27.1,15000
ATA,20100616,27.4,27.4,27,27.2,38630
ATA,20100615,27.3,27.3,27,27,12160
ATA,20100614,28,28,27.1,27.3,8890
ATA,20100611,27.5,27.5,27,27.3,10860
ATA,20100610,27,27.2,27,27.2,5750
ATA,20100609,27,27,26.9,27,22890
ATA,20100608,27,27.1,26.9,27,69070
ATA,20100607,26.6,27.5,26.6,27.1,14420
ATA,20100604,27.1,27.5,27.1,27.4,18980
ATA,20100603,26.9,27.5,26.9,27.1,11810
ATA,20100602,26.5,27.5,26.4,27.5,8010
ATA,20100601,27.8,27.8,26.9,26.9,4300
ATA,20100531,27,27.8,26.8,27.8,10410
ATA,20100528,27.7,27.7,27,27.7,45610
ATA,20100527,25.7,26.4,25.2,26.4,27700
ATA,20100526,24.2,25.2,24,25.2,7150
ATA,20100525,24.2,24.3,24,24,6000
ATA,20100524,24.2,25.4,24.2,24.2,6020
ATA,20100521,24.4,24.5,24.2,24.2,105410
ATA,20100520,25,25.9,24.5,25.4,18780
ATA,20100519,26.2,26.2,25,25,117480
ATA,20100518,26,26.3,26,26.3,13420
ATA,20100517,27.8,27.8,26.7,26.7,25310
ATA,20100514,28,29,28,28.1,110520
ATA,20100513,29,29,27.9,28.2,29510
ATA,20100512,29.2,29.3,27.8,27.8,58570
ATA,20100511,29.8,29.9,29,29.2,53620
ATA,20100510,30,30.2,29.3,29.8,61840
ATA,20100507,31.8,31.8,30.2,30.2,137460
ATA,20100506,31.3,32.8,31.3,31.8,206780
ATA,20100505,30.3,31.3,30.3,31.3,163930
ATA,20100504,31.4,31.4,30.3,30.3,81360
ATA,20100429,29.9,29.9,29.9,29.9,185550
ATA,20100428,28.4,28.4,28.4,28.4,819740
ATA,20100427,27.4,28.1,27,27,45050
ATA,20100426,28.8,30.8,27.8,27.8,146920
ATA,20100422,29,29.8,28.9,29.3,49120
ATA,20100421,28.6,29,28.6,29,31470
ATA,20100420,29.2,29.2,28.6,28.6,18470
ATA,20100419,28.7,28.7,28.3,28.5,30230
ATA,20100416,28.5,28.5,28.3,28.3,31340
ATA,20100415,28.1,28.3,28.1,28.3,10620
ATA,20100414,28.3,28.3,28,28.3,18590
ATA,20100413,27.6,27.8,27.6,27.6,13380
ATA,20100412,27.4,28,27.4,27.6,4950
ATA,20100409,28,28,27.1,27.8,14500
ATA,20100408,26.4,26.8,26.4,26.8,10550
