<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
BAS,20100729,11.9,12.4,11.9,12.3,167490
BAS,20100728,12.2,12.3,11.9,11.9,205120
BAS,20100727,12.5,12.7,12.2,12.3,191290
BAS,20100726,12.6,12.7,12.4,12.4,149590
BAS,20100723,12.8,13.2,12.7,12.8,86230
BAS,20100722,13.5,13.7,13.2,13.2,400590
BAS,20100721,13.8,13.8,13.8,13.8,203590
BAS,20100720,12.6,13.2,12.6,13.2,731800
BAS,20100719,12.6,12.7,12.5,12.6,192130
BAS,20100716,12.7,12.8,12.4,12.5,94040
BAS,20100715,12.3,12.6,12.3,12.5,115320
BAS,20100714,12.8,12.8,12.5,12.5,159580
BAS,20100713,12.9,12.9,12.4,12.6,283920
BAS,20100712,12.7,12.7,12.3,12.3,58540
BAS,20100709,12.3,12.4,12.3,12.4,82720
BAS,20100708,12.4,12.6,12.3,12.4,76100
BAS,20100707,12.5,12.7,12.3,12.4,67440
BAS,20100706,12.7,12.7,12.4,12.4,74370
BAS,20100705,13,13.1,12.8,12.8,135270
BAS,20100702,12.7,12.8,12.4,12.6,50560
BAS,20100701,12.5,12.6,12.3,12.3,54820
BAS,20100630,12.4,12.5,12.3,12.3,96780
BAS,20100629,12.9,12.9,12.8,12.8,36570
BAS,20100628,13,13.2,12.8,12.9,54780
BAS,20100625,13,13.2,12.9,12.9,72120
BAS,20100624,12.9,13.2,12.9,13.2,291130
BAS,20100623,12.5,12.7,12.5,12.6,18530
BAS,20100622,12.9,13,12.6,12.6,55030
BAS,20100621,12.4,13,12.4,13,134270
BAS,20100618,12.7,12.7,12.3,12.4,28710
BAS,20100617,12.5,12.8,12.5,12.6,37560
BAS,20100616,12.7,12.8,12.6,12.8,75300
BAS,20100615,12.7,12.8,12.5,12.6,90990
BAS,20100614,12.2,12.8,12.2,12.6,43610
BAS,20100611,12.3,12.8,12.3,12.5,55650
BAS,20100610,11.8,12.3,11.8,12.3,106860
BAS,20100609,12,12,11.8,11.8,22190
BAS,20100608,12,12,11.5,11.8,53570
BAS,20100607,12,12.1,11.8,11.8,32950
BAS,20100604,12.4,12.4,12.2,12.3,58950
BAS,20100603,12.6,12.7,12.2,12.2,66820
BAS,20100602,12.3,12.5,12.3,12.4,121330
BAS,20100601,12.2,12.9,12.2,12.3,126710
BAS,20100531,12.7,12.8,12.4,12.4,70940
BAS,20100528,13.1,13.1,12.8,13,229900
BAS,20100527,12.6,12.6,12.3,12.6,181500
BAS,20100526,12.6,12.8,12.5,12.6,38040
