<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
BBC,20100729,28.9,29.4,28.7,29.4,35080
BBC,20100728,30,30.1,28.9,28.9,74840
BBC,20100727,31,31,30.3,30.3,44990
BBC,20100726,30.1,30.8,30.1,30.2,64160
BBC,20100723,30.2,30.7,30,30.4,180960
BBC,20100722,32,32,30.7,30.7,97490
BBC,20100721,34,34,32,32.3,213640
BBC,20100720,31,32.5,31,32.5,289720
BBC,20100719,31.1,31.1,30.6,31,45070
BBC,20100716,30.2,31,30.2,31,85600
BBC,20100715,31.1,31.4,30.8,31,97370
BBC,20100714,31.1,31.6,31,31.5,43170
BBC,20100713,31.9,32,31,32,34820
BBC,20100712,31,31.5,30.5,31.5,138630
BBC,20100709,29.9,30.6,29.8,30.6,116490
BBC,20100708,29,30,29,29.9,136740
BBC,20100707,28.9,29,28.4,28.9,12610
BBC,20100706,28.9,28.9,28.3,28.8,9920
BBC,20100705,28.6,29,28.4,28.9,1490
BBC,20100702,28.2,28.6,28.2,28.2,29900
BBC,20100701,28.5,29,28.2,28.2,10820
BBC,20100630,28.5,28.5,28.2,28.5,14800
BBC,20100629,29.4,29.4,28.8,28.8,6570
BBC,20100628,28.6,28.8,28.6,28.8,9080
BBC,20100625,28.7,29,28.5,29,13730
BBC,20100624,28.5,29.8,28.5,29,31110
BBC,20100623,28.9,29,28.7,29,6490
BBC,20100622,28.7,29.2,28.7,28.8,16380
BBC,20100621,29.1,29.5,29,29.1,11910
BBC,20100618,29.9,29.9,29,29,10510
BBC,20100617,30,30,29.3,29.4,39300
BBC,20100616,30.2,30.2,29.7,30.2,36860
BBC,20100615,30,30.4,29.7,30.1,40210
BBC,20100614,28.9,29.7,28.5,29.7,109690
BBC,20100611,29.4,29.4,28.2,28.3,65060
BBC,20100610,29,29.4,28,28.1,15340
BBC,20100609,29.8,29.8,28.7,28.8,11400
BBC,20100608,29,29,28.8,29,5950
BBC,20100607,29.5,29.5,28.2,29,15300
BBC,20100604,29.9,29.9,29.3,29.5,9390
BBC,20100603,29.4,29.5,29,29.5,244000
BBC,20100602,29.5,29.5,29.4,29.4,1550
BBC,20100601,29.5,29.5,29,29.4,87580
BBC,20100531,28.3,29.5,28.3,28.7,27030
BBC,20100528,28.2,29.4,28.2,29,29590
BBC,20100527,28.2,28.5,28,28.2,19890
BBC,20100526,28.5,28.5,28.2,28.2,56660
BBC,20100525,28.2,28.9,28.2,28.3,60010
BBC,20100524,28.1,28.2,27.1,28.2,188620
BBC,20100521,27.8,27.8,26.9,26.9,131100
BBC,20100520,28,28.4,27.5,28.3,94590
BBC,20100519,29.5,29.5,28.4,28.4,58480
BBC,20100518,30.4,30.4,29.7,29.8,29650
BBC,20100517,30,30.5,29.8,29.8,5850
BBC,20100514,31,31.3,30.5,30.5,37700
BBC,20100513,30.5,30.6,30.2,30.2,27650
BBC,20100512,32,32,30.5,30.5,15630
BBC,20100511,31.7,32.5,31.3,31.4,25440
BBC,20100510,32,32,31,31.1,55130
BBC,20100507,32.5,32.5,31.6,32,42530
BBC,20100506,32.4,33.4,32.4,33,39840
BBC,20100505,33.5,33.5,32.6,33,129980
BBC,20100504,33.6,33.6,33,33.5,95570
BBC,20100429,32.5,33.1,32.1,33,235500
BBC,20100428,31.5,32.7,31.5,32,118120
BBC,20100427,32.5,32.5,31.8,32.1,69290
BBC,20100426,33,33,32.3,32.3,31690
BBC,20100422,32.8,33,32.5,32.5,63050
BBC,20100421,32.1,33.3,32.1,32.5,50950
BBC,20100420,32.3,32.4,31.9,32,70750
BBC,20100419,32.6,32.6,32,32,22840
BBC,20100416,33,33,32.5,32.6,56110
BBC,20100415,32.6,32.8,32.5,32.7,124970
BBC,20100414,31.5,31.7,31.4,31.7,106690
BBC,20100413,31.1,31.9,31.1,31.3,92840
BBC,20100412,31.5,31.5,31.1,31.1,88820
BBC,20100409,31.4,31.6,31.4,31.5,77820
BBC,20100408,31.5,31.8,31.5,31.5,38840
BBC,20100407,31.3,31.9,31.1,31.9,74550
BBC,20100406,31.4,31.9,31,31.3,143340
BBC,20100405,32,32,31.3,31.3,112430
BBC,20100402,31.3,32,31,31,52690
BBC,20100401,31.5,31.5,30.5,31,35580
BBC,20100331,31,31,30.1,30.1,142240
BBC,20100330,31.8,31.9,31,31,186410
BBC,20100329,31.7,32,31.7,31.8,478640
BBC,20100326,33.4,33.8,32.8,33.4,70170
BBC,20100325,33.6,34.3,32.8,32.8,346840
BBC,20100324,34,34.3,33.6,34.3,136350
BBC,20100323,33.5,33.8,33.2,33.6,270910
BBC,20100322,32.9,33,32.8,33,183580
BBC,20100319,32.9,33.1,32.6,32.9,131640
BBC,20100318,32.5,32.8,32.3,32.6,49510
BBC,20100317,32.6,33,32.5,32.5,109440
BBC,20100316,33,33.5,32.6,32.7,152340
BBC,20100315,34.6,34.6,33.6,33.6,60440
BBC,20100312,33,33.7,33,33.5,89210
BBC,20100311,33,33.4,32.9,33,171740
BBC,20100310,32.9,33.3,32.7,33,168270
BBC,20100309,32.8,33.4,32.4,33,184760
BBC,20100308,33.2,33.2,32.6,32.7,179840
BBC,20100305,32,32.5,31.2,32,113620
